id,title,work_role_id
A0013,"Ability to communicate complex information, concepts, or ideas in a confident and well-organized manner through verbal, written, and/or visual means.  OV-TEA-001
A0015,Ability to conduct vulnerability scans and recognize vulnerabilities in security systems.,OV-TEA-001
A0018,Ability to prepare and present briefings.,OV-TEA-001
A0019,Ability to produce technical documentation.,OV-TEA-001
A0022,Ability to apply principles of adult learning.,OV-TEA-001
A0024,Ability to develop clear directions and instructional materials.,OV-TEA-001
A0032,Ability to develop curriculum for use within a virtual environment.,OV-TEA-001
A0054,Ability to apply the Instructional System Design (ISD) methodology.,OV-TEA-001
A0057,Ability to tailor curriculum that speaks to the topic at the appropriate level for the target audience.,OV-TEA-001
A0055,"Ability to operate common network tools (e.g., ping, traceroute, nslookup). OV-TEA-001
A0058,"Ability to execute OS command line (e.g., ipconfig, netstat, dir, nbtstat). OV-TEA-001
A0063,"Ability to operate different electronic communication systems and methods (e.g., e-mail, VOIP, IM, web forums, Direct Video Broadcasts). OV-TEA-001
A0070,Ability to apply critical reading/thinking skills.,OV-TEA-001
A0083,"Ability to evaluate information for reliability, validity, and relevance. OV-TEA-001
A0089,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise. OV-TEA-001
A0105,Ability to tailor technical and planning information to a customer’s level of understanding.,OV-TEA-001
A0106,Ability to think critically.,OV-TEA-001
A0112,Ability to monitor advancements in information privacy technologies to ensure organizational adaptation and compliance.,OV-TEA-001
A0114,Ability to develop or procure curriculum that speaks to the topic at the appropriate level for the target.,OV-TEA-001
A0118,"Ability to understand technology, management, and leadership issues related to organization processes and problem solving. OV-TEA-001
A0119,Ability to understand the basic concepts and issues related to cyber and its organizational impact.,OV-TEA-001
A0171,Ability to conduct training and education needs assessment.,OV-TEA-001
K0001,"Knowledge of computer networking concepts and protocols, and network security methodologies.  SP-ARC-001
K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk). SP-ARC-001
K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.  SP-ARC-001
K0004,Knowledge of cybersecurity and privacy principles.,SP-ARC-001
K0005,Knowledge of cyber threats and vulnerabilities. ,SP-ARC-001
K0006,Knowledge of specific operational impacts of cybersecurity lapses.,SP-ARC-001
K0024,Knowledge of database systems.,SP-ARC-001
K0027,Knowledge of organization's enterprise information security architecture.,SP-ARC-001
K0028,Knowledge of organization's evaluation and validation requirements.,SP-ARC-001
K0030,"Knowledge of electrical engineering as applied to computer architecture (e.g., circuit boards, processors, chips, and computer hardware). SP-ARC-001
K0035,"Knowledge of installation, integration, and optimization of system components. SP-ARC-001
K0037,Knowledge of Security Assessment and Authorization process.,SP-ARC-001
K0043,Knowledge of industry-standard and organizationally accepted analysis principles and methods.,SP-ARC-001
K0044,"Knowledge of cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation). SP-ARC-001
K0052,"Knowledge of mathematics (e.g. logarithms, trigonometry, linear algebra, calculus, statistics, and operational analysis). SP-ARC-001
K0056,"Knowledge of network access, identity, and access management (e.g., public key infrastructure, Oauth, OpenID, SAML, SPML). SP-ARC-001
K0060,Knowledge of operating systems.,SP-ARC-001
K0061,"Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol [TCP] and Internet Protocol [IP], Open System Interconnection Model [OSI], Information Technology Infrastructure Library, current version [ITIL]). SP-ARC-001
K0063,Knowledge of parallel and distributed computing concepts.,SP-ARC-001
K0074,"Knowledge of key concepts in security management (e.g., Release Management, Patch Management). SP-ARC-001
K0075,"Knowledge of security system design tools, methods, and techniques. SP-ARC-001
K0082,Knowledge of software engineering.,SP-ARC-001
K0091,Knowledge of systems testing and evaluation methods.,SP-ARC-001
K0093,"Knowledge of telecommunications concepts (e.g., Communications channel, Systems Link Budgeting, Spectral efficiency, Multiplexing). SP-ARC-001
K0102,Knowledge of the systems engineering process.,SP-ARC-001
K0170,Knowledge of critical infrastructure systems with information communication technology that were designed without system security considerations.,SP-ARC-001
K0179,"Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth). SP-ARC-001
K0180,"Knowledge of network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools. SP-ARC-001
K0198,"Knowledge of organizational process improvement concepts and process maturity models (e.g., Capability Maturity Model Integration (CMMI) for Development, CMMI for Services, and CMMI for Acquisitions). SP-ARC-001
K0200,"Knowledge of service management concepts for networks and related standards (e.g., Information Technology Infrastructure Library, current version [ITIL]). SP-ARC-001
K0203,"Knowledge of security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model). SP-ARC-001
K0207,Knowledge of circuit analysis.,SP-ARC-001
K0211,"Knowledge of confidentiality, integrity, and availability requirements. SP-ARC-001
K0212,Knowledge of cybersecurity-enabled software products.,SP-ARC-001
K0214,Knowledge of the Risk Management Framework Assessment Methodology. ,SP-ARC-001
K0227,Knowledge of various types of computer architectures.,SP-ARC-001
K0240,Knowledge of multi-level security systems and cross domain solutions.,SP-ARC-001
K0264,"Knowledge of program protection planning (e.g. information technology (IT) supply chain security/risk management policies, anti-tampering techniques, and requirements). SP-ARC-001
K0275,Knowledge of configuration management techniques.,SP-ARC-001
K0286,Knowledge of N-tiered typologies (e.g. including server and client operating systems).,SP-ARC-001
K0287,Knowledge of an organization's information classification program and procedures for information compromise.,SP-ARC-001
K0291,"Knowledge of the enterprise information technology (IT) architectural concepts and patterns (e.g., baseline, validated design, and target architectures.) SP-ARC-001
K0293,Knowledge of integrating the organization’s goals and objectives into the architecture.,SP-ARC-001
K0299,"Knowledge in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes. SP-ARC-001
K0322,Knowledge of embedded systems.,SP-ARC-001
K0323,Knowledge of system fault tolerance methodologies.,SP-ARC-001
K0325,"Knowledge of Information Theory (e.g., source coding, channel coding, algorithm complexity theory, and data compression). SP-ARC-001
K0326,Knowledge of demilitarized zones.,SP-ARC-001
K0332,"Knowledge of network protocols such as TCP/IP, Dynamic Host Configuration, Domain Name System (DNS), and directory services. SP-ARC-001
K0333,"Knowledge of network design processes, to include understanding of security objectives, operational objectives, and trade-offs. SP-ARC-001
K0487,"Knowledge of network security (e.g., encryption, firewalls, authentication, honey pots, perimeter protection). SP-ARC-001
K0516,"Knowledge of physical and logical network devices and infrastructure to include hubs, switches, routers, firewalls, etc. SP-ARC-001
S0005,Skill in applying and incorporating information technologies into proposed solutions.,SP-ARC-001
S0024,Skill in designing the integration of hardware and software solutions.,SP-ARC-001
S0027,"Skill in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes. SP-ARC-001
S0050,"Skill in design modeling and building use cases (e.g., unified modeling language). SP-ARC-001
S0060,"Skill in writing code in a currently supported programming language (e.g., Java, C++). SP-ARC-001
S0122,Skill in the use of design methods. ,SP-ARC-001
S0367,"Skill to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation). SP-ARC-001
S0374,Skill to identify cybersecurity and privacy issues that stem from connections with internal and external customers and partner organizations.,SP-ARC-001
A0008,"Ability to apply the methods, standards, and approaches for describing, analyzing, and documenting an organization's enterprise information technology (IT) architecture (e.g., Open Group Architecture Framework [TOGAF], Department of Defense Architecture Framework [DoDAF], Federal Enterprise Architecture Framework [FEAF]). SP-ARC-001
A0015,Ability to conduct vulnerability scans and recognize vulnerabilities in security systems.,SP-ARC-001
A0027,Ability to apply an organization's goals and objectives to develop and maintain architecture.,SP-ARC-001
A0038,Ability to optimize systems to meet enterprise performance requirements.,SP-ARC-001
A0051,Ability to execute technology integration processes.,SP-ARC-001
A0060,Ability to build architectures and frameworks.,SP-ARC-001
A0123,"Ability to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation). SP-ARC-001
A0170,Ability to identify critical infrastructure systems with information communication technology that were designed without system security considerations.,SP-ARC-001
A0172,Ability to set up a physical or logical sub-networks that separates an internal local area network (LAN) from other untrusted networks.,SP-ARC-001
T0014,Apply secure code documentation.,SP-DEV-002
T0022,"Capture security controls used during the requirements phase to integrate security within the process, to identify key security objectives, and to maximize software security while minimizing disruption to plans and schedules. SP-DEV-002
T0038,Develop threat model based on customer interviews and requirements.,SP-DEV-002
T0040,Consult with engineering staff to evaluate interface between hardware and software.,SP-DEV-002
T0100,"Evaluate factors such as reporting formats required, cost constraints, and need for security restrictions to determine hardware configuration. SP-DEV-002
T0111,Identify basic common coding flaws at a high level.,SP-DEV-002
T0117,Identify security implications and apply methodologies within centralized and decentralized environments across the enterprise’s computer systems in software development.,SP-DEV-002
T0118,Identify security issues around steady state operation and management of software and incorporate security measures that must be taken when a product reaches its end of life.,SP-DEV-002
T0171,Perform integrated quality assurance testing for security functionality and resiliency attack.,SP-DEV-002
T0181,"Perform risk analysis (e.g., threat, vulnerability, and probability of occurrence) whenever an application or system undergoes a major change. SP-DEV-002
T0217,"Address security implications in the software acceptance phase including completion criteria, risk acceptance and documentation, common criteria, and methods of independent testing. SP-DEV-002
T0228,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements. SP-DEV-002
T0236,"Translate security requirements into application design elements including documenting the elements of the software attack surfaces, conducting threat modeling, and defining any specific security criteria. SP-DEV-002
T0266,Perform penetration testing as required for new or updated applications.,SP-DEV-002
T0311,Consult with customers about software system design and maintenance. ,SP-DEV-002
T0324,Direct software programming and development of documentation.,SP-DEV-002
T0337,"Supervise and assign work to programmers, designers, technologists and technicians, and other engineering and scientific personnel. SP-DEV-002
T0424,Analyze and provide information to stakeholders that will support the development of security application or modification of an existing security application.,SP-DEV-002
T0428,Analyze security needs and software requirements to determine feasibility of design within time and cost constraints and security mandates.,SP-DEV-002
T0436,Conduct trial runs of programs and software applications to ensure that the desired information is produced and instructions and security levels are correct. ,SP-DEV-002
T0456,Develop secure software testing and validation procedures.,SP-DEV-002
T0457,"Develop system testing and validation procedures, programming, and documentation. SP-DEV-002
T0516,"Perform secure program testing, review, and/or assessment to identify potential flaws in codes and mitigate vulnerabilities. SP-DEV-002
T0554,Determine and document software patches or the extent of releases that would leave software vulnerable.,SP-DEV-002
T0565,Analyze incoming collection requests.,CO-CLO-002
T0568,"Analyze plans, directives, guidance and policy for factors that would influence collection management's operational structure and requirement s (e.g., duration, scope, communication requirements, interagency/international agreements). CO-CLO-002
T0577,Assess efficiency of existing information exchange and management systems.,CO-CLO-002
T0578,Assess performance of collection assets against prescribed specifications.,CO-CLO-002
T0580,"Assess the effectiveness of collections in satisfying priority information gaps, using available capabilities and methods, and adjust collection strategies and collection requirements accordingly. CO-CLO-002
T0596,Close requests for information once satisfied.,CO-CLO-002
T0602,Collaborate with customer to define information requirements.,CO-CLO-002
T0605,Compile lessons learned from collection management activity's execution of organization collection objectives.,CO-CLO-002
T0613,Conduct formal and informal coordination of collection requirements in accordance with established guidelines and procedures.,CO-CLO-002
T0651,Develop a method for comparing collection reports to outstanding requirements to identify information gaps.,CO-CLO-002
T0668,"Develop procedures for providing feedback to collection managers, asset managers, and processing, exploitation and dissemination centers. CO-CLO-002
T0673,Disseminate reports to inform decision makers on collection issues.,CO-CLO-002
T0675,Conduct and document an assessment of the collection results using established procedures.,CO-CLO-002
T0682,Validate the link between collection requests and critical information requirements and priority intelligence requirements of leadership.,CO-CLO-002
T0689,Evaluate extent to which collected information and/or produced intelligence satisfy information requests.,CO-CLO-002
T0693,Evaluate extent to which collection operations are synchronized with operational requirements.,CO-CLO-002
T0694,Evaluate the effectiveness of collection operations against the collection plan.,CO-CLO-002
T0714,"Identify collaboration forums that can serve as mechanisms for coordinating processes, functions, and outputs with specified organizations and functional groups. CO-CLO-002
T0725,"Identify and mitigate risks to collection management ability to support the plan, operations and target cycle. CO-CLO-002
T0730,"Inform stakeholders (e.g., collection managers, asset managers, processing, exploitation and dissemination centers) of evaluation results using established procedures. CO-CLO-002
T0734,Issue requests for information.,CO-CLO-002
T0746,Modify collection requirements as necessary.,CO-CLO-002
T0780,Provide advisory and advocacy support to promote collection planning as an integrated component of the strategic campaign plans and other adaptive plans.,CO-CLO-002
T0809,Review capabilities of allocated collection assets.,CO-CLO-002
T0810,Review intelligence collection guidance for accuracy/applicability.,CO-CLO-002
T0811,Review list of prioritized collection requirements and essential information.,CO-CLO-002
T0819,"Solicit and manage to completion feedback from requestors on quality, timeliness, and effectiveness of collection against collection requirements. CO-CLO-002
T0822,Submit information requests to collection requirement management section for processing as collection requests.,CO-CLO-002
T0830,"Track status of information requests, including those processed as collection requests and production requirements, using established procedures. CO-CLO-002
T0831,Translate collection requests into applicable discipline-specific collection requirements.,CO-CLO-002
T0832,"Use feedback results (e.g., lesson learned) to identify opportunities to improve collection management efficiency and effectiveness. CO-CLO-002
T0833,Validate requests for information according to established criteria.,CO-CLO-002
K0001,"Knowledge of computer networking concepts and protocols, and network security methodologies.  AN-ASA-002
K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk). AN-ASA-002
K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.  AN-ASA-002
K0004,Knowledge of cybersecurity and privacy principles.,AN-ASA-002
K0005,Knowledge of cyber threats and vulnerabilities. ,AN-ASA-002
K0006,Knowledge of specific operational impacts of cybersecurity lapses.,AN-ASA-002
K0036,Knowledge of human-computer interaction principles.,AN-ASA-002
K0058,Knowledge of network traffic analysis methods.,AN-ASA-002
K0108,"Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless). AN-ASA-002
K0109,"Knowledge of physical computer components and architectures, including the functions of various components and peripherals (e.g., CPUs, Network Interface Cards, data storage). AN-ASA-002
K0177,"Knowledge of cyber attack stages (e.g., reconnaissance, scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks). AN-ASA-002
K0349,"Knowledge of website types, administration, functions, and content management system (CMS). AN-ASA-002
K0362,"Knowledge of attack methods and techniques (DDoS, brute force, spoofing, etc.). AN-ASA-002
K0377,"Knowledge of classification and control markings standards, policies and procedures. AN-ASA-002
K0392,"Knowledge of common computer/network infections (virus, Trojan, etc.) and methods of infection (ports, attachments, etc.). AN-ASA-002
K0395,"Knowledge of computer networking fundamentals (i.e., basic computer components of a network, types of networks, etc.). AN-ASA-002
K0405,Knowledge of current computer-based intrusion sets.,AN-ASA-002
K0409,Knowledge of cyber intelligence/information collection capabilities and repositories.,AN-ASA-002
K0410,Knowledge of cyber laws and their effect on Cyber planning.,AN-ASA-002
K0414,Knowledge of cyber operations support or enabling processes.,AN-ASA-002
K0417,"Knowledge of data communications terminology (e.g., networking protocols, Ethernet, IP, encryption, optical devices, removable media). AN-ASA-002
K0427,"Knowledge of encryption algorithms and cyber capabilities/tools (e.g., SSL, PGP). AN-ASA-002
K0431,Knowledge of evolving/emerging communications technologies.,AN-ASA-002
K0436,"Knowledge of fundamental cyber operations concepts, terminology/lexicon (i.e., environment preparation, cyber-attack, cyber defense), principles, capabilities, limitations, and effects. AN-ASA-002
K0437,Knowledge of general Supervisory control and data acquisition (SCADA) system components.,AN-ASA-002
K0440,Knowledge of host-based security products and how those products affect exploitation and reduce vulnerability.,AN-ASA-002
K0444,"Knowledge of how Internet applications work (SMTP email, web-based email, chat clients, VOIP). AN-ASA-002
K0445,Knowledge of how modern digital and telephony networks impact cyber operations.,AN-ASA-002
K0446,Knowledge of how modern wireless communications systems impact cyber operations.,AN-ASA-002
K0449,"Knowledge of how to extract, analyze, and use metadata. AN-ASA-002
K0457,Knowledge of intelligence confidence levels.,AN-ASA-002
K0460,Knowledge of intelligence preparation of the environment and similar processes.,AN-ASA-002
K0464,"Knowledge of intelligence support to planning, execution, and assessment. AN-ASA-002
K0465,Knowledge of internal and external partner cyber operations capabilities and tools.,AN-ASA-002
K0469,Knowledge of internal tactics to anticipate and/or emulate threat capabilities and actions.,AN-ASA-002
K0471,"Knowledge of Internet network addressing (IP addresses, classless inter-domain routing, TCP/UDP port numbering). AN-ASA-002
K0480,Knowledge of malware.,AN-ASA-002
K0507,Knowledge of organization or partner exploitation of digital networks.,AN-ASA-002
K0511,Knowledge of organizational hierarchy and cyber decision-making processes.,AN-ASA-002
K0516,"Knowledge of physical and logical network devices and infrastructure to include hubs, switches, routers, firewalls, etc. AN-ASA-002
K0549,Knowledge of target vetting and validation procedures.,AN-ASA-002
K0551,Knowledge of targeting cycles.,AN-ASA-002
K0556,Knowledge of telecommunications fundamentals.,AN-ASA-002
K0560,"Knowledge of the basic structure, architecture, and design of modern communication networks. AN-ASA-002
K0561,"Knowledge of the basics of network security (e.g., encryption, firewalls, authentication, honey pots, perimeter protection). AN-ASA-002
K0565,"Knowledge of the common networking and routing protocols (e.g. TCP/IP), services (e.g., web, mail, DNS), and how they interact to provide network communications. AN-ASA-002
K0598,"Knowledge of the structure and intent of organization specific plans, guidance and authorizations. AN-ASA-002
K0603,Knowledge of the ways in which targets or threats use the Internet.,AN-ASA-002
K0604,Knowledge of threat and/or target systems.,AN-ASA-002
K0610,"Knowledge of virtualization products (VMware, Virtual PC). AN-ASA-002
K0612,Knowledge of what constitutes a “threat” to a network.,AN-ASA-002
K0614,"Knowledge of wireless technologies (e.g., cellular, satellite, GSM) to include the basic structure, architecture, and design of modern wireless communications systems. AN-ASA-002
S0189,Skill in assessing and/or estimating effects generated during and after cyber operations.,AN-ASA-002
S0194,Skill in conducting non-attributable research.,AN-ASA-002
S0203,Skill in defining and characterizing all pertinent aspects of the operational environment.,AN-ASA-002
S0211,Skill in developing or recommending analytic approaches or solutions to problems and situations for which information is incomplete or for which no precedent exists.,AN-ASA-002
S0216,Skill in evaluating available capabilities against desired effects to provide effective courses of action.,AN-ASA-002
S0218,"Skill in evaluating information for reliability, validity, and relevance. AN-ASA-002
S0227,Skill in identifying alternative analytical interpretations to minimize unanticipated outcomes.,AN-ASA-002
S0228,"Skill in identifying critical target elements, to include critical target elements for the cyber domain. AN-ASA-002
S0229,Skill in identifying cyber threats which may jeopardize organization and/or partner interests.,AN-ASA-002
S0249,Skill in preparing and presenting briefings.,AN-ASA-002
S0254,Skill in providing analysis to aid writing phased after action reports.,AN-ASA-002
S0256,"Skill in providing understanding of target or threat systems through the identification and link analysis of physical, functional, or behavioral relationships. AN-ASA-002
S0271,Skill in reviewing and editing assessment products.,AN-ASA-002
S0278,"Skill in tailoring analysis to the necessary levels (e.g., classification and organizational). AN-ASA-002
S0285,Skill in using Boolean operators to construct simple and complex queries.,AN-ASA-002
S0288,"Skill in using multiple analytic tools, databases, and techniques (e.g., Analyst’s Notebook, A-Space, Anchory, M3, divergent/convergent thinking, link charts, matrices, etc.). AN-ASA-002
S0289,"Skill in using multiple search engines (e.g., Google, Yahoo, LexisNexis, DataStar) and tools in conducting open-source searches. AN-ASA-002
S0292,Skill in using targeting databases and software packages.,AN-ASA-002
S0296,"Skill in utilizing feedback to improve processes, products, and services. AN-ASA-002
S0297,"Skill in utilizing virtual collaborative workspaces and/or tools (e.g., IWS, VTCs, chat rooms, SharePoint). AN-ASA-002
S0303,"Skill in writing, reviewing and editing cyber-related Intelligence/assessment products from multiple sources. AN-ASA-002
S0360,Skill to analyze and assess internal and external partner cyber operations capabilities and tools.,AN-ASA-002
A0013,"Ability to communicate complex information, concepts, or ideas in a confident and well-organized manner through verbal, written, and/or visual means.  AN-ASA-002
A0066,"Ability to accurately and completely source all data used in intelligence, assessment and/or planning products. AN-ASA-002
A0080,Ability to develop or recommend analytic approaches or solutions to problems and situations for which information is incomplete or for which no precedent exists.,AN-ASA-002
A0084,"Ability to evaluate, analyze, and synthesize large quantities of data (which may be fragmented and contradictory) into high quality, fused targeting/intelligence products. AN-ASA-002
A0072,Ability to clearly articulate intelligence requirements into well-formulated research questions and data tracking variables for inquiry tracking purposes.,AN-ASA-002
A0082,Ability to effectively collaborate via virtual teams.,AN-ASA-002
A0083,"Ability to evaluate information for reliability, validity, and relevance. AN-ASA-002
A0087,Ability to focus research efforts to meet the customer’s decision-making needs.,AN-ASA-002
A0088,"Ability to function effectively in a dynamic, fast-paced environment. AN-ASA-002
A0089,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise. AN-ASA-002
A0091,Ability to identify intelligence gaps.,AN-ASA-002
A0101,Ability to recognize and mitigate cognitive biases which may affect analysis.,AN-ASA-002
A0102,Ability to recognize and mitigate deception in reporting and analysis.,AN-ASA-002
A0106,Ability to think critically.,AN-ASA-002
A0107,Ability to think like threat actors.,AN-ASA-002
A0109,Ability to utilize multiple intelligence sources across all intelligence disciplines.,AN-ASA-002
A0085,Ability to exercise judgment when policies are not well-defined.,AN-ASA-002
A0108,Ability to understand objectives and effects.,AN-ASA-002
K0001,"Knowledge of computer networking concepts and protocols, and network security methodologies.  CO-CLO-001
K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk). CO-CLO-001
K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.  CO-CLO-001
K0004,Knowledge of cybersecurity and privacy principles.,CO-CLO-001
K0005,Knowledge of cyber threats and vulnerabilities. ,CO-CLO-001
K0006,Knowledge of specific operational impacts of cybersecurity lapses.,CO-CLO-001
K0036,Knowledge of human-computer interaction principles.,CO-CLO-001
K0058,Knowledge of network traffic analysis methods.,CO-CLO-001
K0109,"Knowledge of physical computer components and architectures, including the functions of various components and peripherals (e.g., CPUs, Network Interface Cards, data storage). CO-CLO-001
K0177,"Knowledge of cyber attack stages (e.g., reconnaissance, scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks). CO-CLO-001
K0353,Knowledge of possible circumstances that would result in changing collection management authorities.,CO-CLO-001
K0361,"Knowledge of asset availability, capabilities and limitations. CO-CLO-001
K0364,Knowledge of available databases and tools necessary to assess appropriate collection tasking.,CO-CLO-001
K0380,Knowledge of collaborative tools and environments.,CO-CLO-001
K0382,Knowledge of collection capabilities and limitations.,CO-CLO-001
K0383,"Knowledge of collection capabilities, accesses, performance specifications, and constraints utilized to satisfy collection plan. CO-CLO-001
K0386,Knowledge of collection management tools.,CO-CLO-001
K0387,Knowledge of collection planning process and collection plan.,CO-CLO-001
K0390,Knowledge of collection strategies.,CO-CLO-001
K0392,"Knowledge of common computer/network infections (virus, Trojan, etc.) and methods of infection (ports, attachments, etc.). CO-CLO-001
K0395,"Knowledge of computer networking fundamentals (i.e., basic computer components of a network, types of networks, etc.). CO-CLO-001
K0401,Knowledge of criteria for evaluating collection products.,CO-CLO-001
K0404,Knowledge of current collection requirements.,CO-CLO-001
K0405,Knowledge of current computer-based intrusion sets.,CO-CLO-001
K0412,Knowledge of cyber lexicon/terminology,CO-CLO-001
K0417,"Knowledge of data communications terminology (e.g., networking protocols, Ethernet, IP, encryption, optical devices, removable media). CO-CLO-001
K0419,Knowledge of database administration and maintenance.,CO-CLO-001
K0425,"Knowledge of different organization objectives at all levels, including subordinate, lateral and higher. CO-CLO-001
K0427,"Knowledge of encryption algorithms and cyber capabilities/tools (e.g., SSL, PGP). CO-CLO-001
K0431,Knowledge of evolving/emerging communications technologies.,CO-CLO-001
K0435,"Knowledge of fundamental cyber concepts, principles, limitations, and effects. CO-CLO-001
K0440,Knowledge of host-based security products and how those products affect exploitation and reduce vulnerability.,CO-CLO-001
K0444,"Knowledge of how Internet applications work (SMTP email, web-based email, chat clients, VOIP). CO-CLO-001
K0445,Knowledge of how modern digital and telephony networks impact cyber operations.,CO-CLO-001
K0446,Knowledge of how modern wireless communications systems impact cyber operations.,CO-CLO-001
K0448,Knowledge of how to establish priorities for resources.,CO-CLO-001
K0449,"Knowledge of how to extract, analyze, and use metadata. CO-CLO-001
K0453,Knowledge of indications and warning.,CO-CLO-001
K0454,Knowledge of information needs.,CO-CLO-001
K0467,"Knowledge of internal and external partner organization capabilities and limitations (those with tasking, collection, processing, exploitation and dissemination responsibilities). CO-CLO-001
K0471,"Knowledge of Internet network addressing (IP addresses, classless inter-domain routing, TCP/UDP port numbering). CO-CLO-001
K0474,Knowledge of key cyber threat actors and their equities.,CO-CLO-001
K0475,Knowledge of key factors of the operational environment and threat.,CO-CLO-001
K0477,Knowledge of leadership's Intent and objectives.,CO-CLO-001
K0480,Knowledge of malware.,CO-CLO-001
K0482,Knowledge of methods for ascertaining collection asset posture and availability.,CO-CLO-001
K0492,Knowledge of non-traditional collection methodologies.,CO-CLO-001
K0495,Knowledge of ongoing and future operations.,CO-CLO-001
K0496,Knowledge of operational asset constraints.,CO-CLO-001
K0498,Knowledge of operational planning processes.,CO-CLO-001
K0503,"Knowledge of organization formats of resource and asset readiness reporting, its operational relevance and intelligence collection impact. CO-CLO-001
K0505,Knowledge of organization objectives and associated demand on collection management.,CO-CLO-001
K0513,"Knowledge of organizational priorities, legal authorities and requirements submission processes. CO-CLO-001
K0516,"Knowledge of physical and logical network devices and infrastructure to include hubs, switches, routers, firewalls, etc. CO-CLO-001
K0521,"Knowledge of priority information, how it is derived, where it is published, how to access, etc. CO-CLO-001
K0522,Knowledge of production exploitation and dissemination needs and architectures. ,CO-CLO-001
K0526,Knowledge of research strategies and knowledge management.,CO-CLO-001
