altlabels,broaderconceptpt,broaderconcepturi,concepttype,concepturi,description,preferredlabel,reuselevel,skilltype
,resolving computer problems | problem-solving with digital tools,http://data.europa.eu/esco/skill/S5.2.3 | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,"Identify technical problems when operating devices and using digital environments, and solve them (from trouble-shooting to solving more complex problems). solve technical problems,transversal,skill/competence
,using digital tools for collaboration and productivity | digital content creation,http://data.europa.eu/esco/skill/S5.6.1 | http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5af49836-2269-46d9-87b9-0d3140c6c22e,"Modify, refine, improve and integrate information and content into an existing body of knowledge to create new, original and relevant content and knowledge. integrate and re-elaborate digital content,transversal,skill/competence
,digital content creation | using digital tools for collaboration and productivity,http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/skill/S5.6.1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5fd5c985-eaaa-47aa-8314-62359c54505a,"Create and edit digital content in different formats, express oneself through digital means. develop digital content,transversal,skill/competence
observe netiquette | able to use online conventions of netiquette | apply online conventions of netiquette | make use of online conventions of netiquette | utilise online conventions of netiquette | using online conventions of netiquette,demonstrate good manners | digital communication and collaboration,http://data.europa.eu/esco/skill/A2.2.0 | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/97c1895a-a890-47da-abfc-79dc272add2e,Apply behavioural norms and know-how while using digital technologies and interacting in digital environments. Adapt communication strategies to the specific audience and be aware of cultural and generational diversity in digital environments.,use online conventions of netiquette,transversal,skill/competence
use e-mail software and services | utilise online communication tools | able to use online communication tools | using online communication tools | communicate on-line | make use of online communication tools | apply online communication tools | communicate in digital environments | use online communication tools | interact through ICT,using digital tools for collaboration and productivity | digital communication and collaboration,http://data.europa.eu/esco/skill/S5.6.1 | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a12057b4-6d11-4a12-ab8e-15a028ef0a6d,Interact through a variety of digital technologies and understand appropriate digital communication means for a given context.,interact through digital technologies,transversal,skill/competence
,audio-visual techniques and media production | digital content creation,http://data.europa.eu/esco/isced-f/0211 | http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a91732ce-988e-4105-9570-f425c6ffdc82,"Understand how copyright and licences apply to data, information and digital content. copyright and licenses related to digital content,transversal,knowledge
,maintaining and enforcing physical security | digital communication and collaboration,http://data.europa.eu/esco/skill/S3.3.5 | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,"Create and manage one or multiple digital identities, be able to protect one's own reputation, deal with the data that one produces through several digital tools, environments and services. manage digital identity,transversal,skill/competence
,complying with environmental protection laws and standards | ICT safety,http://data.europa.eu/esco/skill/S3.3.2 | http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4ba12d1-4698-42fa-8abb-789462ea2586,Be aware of the environmental impact of digital technologies and their use.,protect the environment from the impact of the digital technologies,transversal,skill/competence
,ICT safety | complying with health and safety procedures,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/S3.3.1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1ed5b3a-cab5-4c5d-baf8-0214998b58fb,Be able to avoid health-risks and threats to physical and psychological well-being while using digital technologies. Be able to protect oneself and others from possible dangers in digital environments (e.g. cyber bullying). Be aware of digital technologies for social well-being and social inclusion.,protect health and well-being while using digital technologies,transversal,skill/competence
take care of ICT devices | use anti-virus software | keep ICT devices safe | protect information and communication technologies devices | set up passwords and private settings | protect personal data | protect ICT device | up-date online security measures | safeguard ICT devices | implement private ICT user security measures,protecting ict devices | ICT safety,http://data.europa.eu/esco/skill/S5.2.2 | http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/df329d70-87b0-466b-a214-3431f36e2a5e,"Protect devices and digital content, and understand risks and threats in digital environments. Know about safety and security measures and have due regard to reliability and privacy. Make use of tools and methods which maximise security of ICT devices and information by controlling access, such as passwords, digital signatures, biometry, and protecting systems such as firewall, antivirus, spam filters. protect ICT devices,transversal,skill/competence
,"browsing, searching and filtering digital data | digital data processing http://data.europa.eu/esco/skill/S5.5.1 | http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e439742d-558d-4f52-885e-afdc740b48cf,"Articulate information needs, search for data, information and content in digital environments, access them and navigate between them. Create and update personal search strategies. "browse, search and filter data, information and digital content transversal,skill/competence
