Major Group,Minor Group,Broad Occupation,Detailed Occupation,Detailed O*NET-SOC,SOC or O*NET-SOC 2019 Title
13-0000,13-2000,13-2010,13-1199,13-1199.07,Accountants and Auditors
13-0000,13-2000,13-2010,13-2011,13-1199.07,Accountants and Auditors
13-0000,13-2000,13-2020,13-2011,13-1199.07,Property Appraisers and Assessors
13-0000,13-2000,13-2020,13-2022,13-1199.07,Appraisers of Personal and Business Property
13-0000,13-2000,13-2020,13-2023,13-1199.07,Appraisers and Assessors of Real Estate
13-0000,13-2000,13-2030,13-2023,13-1199.07,Budget Analysts
13-0000,13-2000,13-2030,13-2031,13-1199.07,Budget Analysts
13-0000,13-2000,13-2040,13-2031,13-1199.07,Credit Analysts
13-0000,13-2000,13-2040,13-2041,13-1199.07,Credit Analysts
13-0000,13-2000,13-2050,13-2041,13-1199.07,Financial Analysts and Advisors
13-0000,13-2000,13-2050,13-2051,13-1199.07,Financial and Investment Analysts
13-0000,13-2000,13-2050,13-2052,13-1199.07,Personal Financial Advisors
13-0000,13-2000,13-2050,13-2053,13-1199.07,Insurance Underwriters
13-0000,13-2000,13-2050,13-2054,13-1199.07,Financial Risk Specialists
13-0000,13-2000,13-2060,13-2054,13-1199.07,Financial Examiners
13-0000,13-2000,13-2060,13-2061,13-1199.07,Financial Examiners
13-0000,13-2000,13-2070,13-2061,13-1199.07,Credit Counselors and Loan Officers
13-0000,13-2000,13-2070,13-2071,13-1199.07,Credit Counselors
13-0000,13-2000,13-2070,13-2072,13-1199.07,Loan Officers
13-0000,13-2000,13-2080,13-2072,13-1199.07,"Tax Examiners, Collectors and Preparers, and Revenue Agents"
13-0000,13-2000,13-2080,13-2081,13-1199.07,"Tax Examiners and Collectors, and Revenue Agents"
13-0000,13-2000,13-2080,13-2082,13-1199.07,Tax Preparers
13-0000,13-2000,13-2090,13-2082,13-1199.07,Miscellaneous Financial Specialists
13-0000,13-2000,13-2090,13-2099,13-1199.07,"Financial Specialists, All Other"
13-0000,13-2000,13-2090,13-2099,13-2099.01,Financial Quantitative Analysts
13-0000,13-2000,13-2090,13-2099,13-2099.04,"Fraud Examiners, Investigators and Analysts"
15-0000,13-2000,13-2090,13-2099,13-2099.04,Computer and Mathematical Occupations
15-0000,15-1200,13-2090,13-2099,13-2099.04,Computer Occupations
15-0000,15-1200,15-1210,13-2099,13-2099.04,Computer and Information Analysts
15-0000,15-1200,15-1210,15-1211,13-2099.04,Computer Systems Analysts
15-0000,15-1200,15-1210,15-1211,15-1211.01,Health Informatics Specialists
15-0000,15-1200,15-1210,15-1212,15-1211.01,Information Security Analysts
15-0000,15-1200,15-1220,15-1212,15-1211.01,Computer and Information Research Scientists
15-0000,15-1200,15-1220,15-1221,15-1211.01,Computer and Information Research Scientists
15-0000,15-1200,15-1230,15-1221,15-1211.01,Computer Support Specialists
15-0000,15-1200,15-1230,15-1231,15-1211.01,Computer Network Support Specialists
15-0000,15-1200,15-1230,15-1232,15-1211.01,Computer User Support Specialists
15-0000,15-1200,15-1240,15-1232,15-1211.01,Database and Network Administrators and Architects
15-0000,15-1200,15-1240,15-1241,15-1211.01,Computer Network Architects
15-0000,15-1200,15-1240,15-1241,15-1241.01,Telecommunications Engineering Specialists
15-0000,15-1200,15-1240,15-1242,15-1241.01,Database Administrators
15-0000,15-1200,15-1240,15-1243,15-1241.01,Database Architects
15-0000,15-1200,15-1240,15-1243,15-1243.01,Data Warehousing Specialists
15-0000,15-1200,15-1240,15-1244,15-1243.01,Network and Computer Systems Administrators
15-0000,15-1200,15-1250,15-1244,15-1243.01,"Software and Web Developers, Programmers, and Testers"
15-0000,15-1200,15-1250,15-1251,15-1243.01,Computer Programmers
15-0000,15-1200,15-1250,15-1252,15-1243.01,Software Developers
15-0000,15-1200,15-1250,15-1253,15-1243.01,Software Quality Assurance Analysts and Testers
15-0000,15-1200,15-1250,15-1254,15-1243.01,Web Developers
15-0000,15-1200,15-1250,15-1255,15-1243.01,Web and Digital Interface Designers
15-0000,15-1200,15-1250,15-1255,15-1255.01,Video Game Designers
15-0000,15-1200,15-1290,15-1255,15-1255.01,Miscellaneous Computer Occupations
15-0000,15-1200,15-1290,15-1299,15-1255.01,"Computer Occupations, All Other"
15-0000,15-1200,15-1290,15-1299,15-1299.01,Web Administrators
15-0000,15-1200,15-1290,15-1299,15-1299.02,Geographic Information Systems Technologists and Technicians
15-0000,15-1200,15-1290,15-1299,15-1299.03,Document Management Specialists
15-0000,15-1200,15-1290,15-1299,15-1299.04,Penetration Testers
15-0000,15-1200,15-1290,15-1299,15-1299.05,Information Security Engineers
15-0000,15-1200,15-1290,15-1299,15-1299.06,Digital Forensics Analysts
15-0000,15-1200,15-1290,15-1299,15-1299.07,Blockchain Engineers
15-0000,15-1200,15-1290,15-1299,15-1299.08,Computer Systems Engineers/Architects
15-0000,15-1200,15-1290,15-1299,15-1299.09,Information Technology Project Managers
15-0000,15-2000,15-1290,15-1299,15-1299.09,Mathematical Science Occupations
15-0000,15-2000,15-2010,15-1299,15-1299.09,Actuaries
15-0000,15-2000,15-2010,15-2011,15-1299.09,Actuaries
15-0000,15-2000,15-2020,15-2011,15-1299.09,Mathematicians
15-0000,15-2000,15-2020,15-2021,15-1299.09,Mathematicians
15-0000,15-2000,15-2030,15-2021,15-1299.09,Operations Research Analysts
15-0000,15-2000,15-2030,15-2031,15-1299.09,Operations Research Analysts
15-0000,15-2000,15-2040,15-2031,15-1299.09,Statisticians
15-0000,15-2000,15-2040,15-2041,15-1299.09,Statisticians
15-0000,15-2000,15-2040,15-2041,15-2041.01,Biostatisticians
15-0000,15-2000,15-2050,15-2041,15-2041.01,Data Scientists
15-0000,15-2000,15-2050,15-2051,15-2041.01,Data Scientists
15-0000,15-2000,15-2050,15-2051,15-2051.01,Business Intelligence Analysts
15-0000,15-2000,15-2050,15-2051,15-2051.02,Clinical Data Managers
15-0000,15-2000,15-2090,15-2051,15-2051.02,Miscellaneous Mathematical Science Occupations
15-0000,15-2000,15-2090,15-2099,15-2051.02,"Mathematical Science Occupations, All Other"
15-0000,15-2000,15-2090,15-2099,15-2099.01,Bioinformatics Technicians
17-0000,15-2000,15-2090,15-2099,15-2099.01,Architecture and Engineering Occupations
17-0000,17-1000,15-2090,15-2099,15-2099.01,"Architects, Surveyors, and Cartographers"
17-0000,17-1000,17-1010,15-2099,15-2099.01,"Architects, Except Naval"
17-0000,17-1000,17-1010,17-1011,15-2099.01,"Architects, Except Landscape and Naval"
17-0000,17-1000,17-1010,17-1012,15-2099.01,Landscape Architects
17-0000,17-1000,17-1020,17-1012,15-2099.01,"Surveyors, Cartographers, and Photogrammetrists"
17-0000,17-1000,17-1020,17-1021,15-2099.01,Cartographers and Photogrammetrists
17-0000,17-1000,17-1020,17-1022,15-2099.01,Surveyors
17-0000,17-1000,17-1020,17-1022,17-1022.01,Geodetic Surveyors
17-0000,17-2000,17-1020,17-1022,17-1022.01,Engineers
17-0000,17-2000,17-2010,17-1022,17-1022.01,Aerospace Engineers
17-0000,17-2000,17-2010,17-2011,17-1022.01,Aerospace Engineers
17-0000,17-2000,17-2020,17-2011,17-1022.01,Agricultural Engineers
17-0000,17-2000,17-2020,17-2021,17-1022.01,Agricultural Engineers
17-0000,17-2000,17-2030,17-2021,17-1022.01,Bioengineers and Biomedical Engineers
17-0000,17-2000,17-2030,17-2031,17-1022.01,Bioengineers and Biomedical Engineers
17-0000,17-2000,17-2040,17-2031,17-1022.01,Chemical Engineers
17-0000,17-2000,17-2040,17-2041,17-1022.01,Chemical Engineers
17-0000,17-2000,17-2050,17-2041,17-1022.01,Civil Engineers
17-0000,17-2000,17-2050,17-2051,17-1022.01,Civil Engineers
17-0000,17-2000,17-2050,17-2051,17-2051.01,Transportation Engineers
17-0000,17-2000,17-2050,17-2051,17-2051.02,Water/Wastewater Engineers
17-0000,17-2000,17-2060,17-2051,17-2051.02,Computer Hardware Engineers
17-0000,17-2000,17-2060,17-2061,17-2051.02,Computer Hardware Engineers
17-0000,17-2000,17-2070,17-2061,17-2051.02,Electrical and Electronics Engineers
17-0000,17-2000,17-2070,17-2071,17-2051.02,Electrical Engineers
17-0000,17-2000,17-2070,17-2072,17-2051.02,"Electronics Engineers, Except Computer"
17-0000,17-2000,17-2070,17-2072,17-2072.01,Radio Frequency Identification Device Specialists
17-0000,17-2000,17-2080,17-2072,17-2072.01,Environmental Engineers
17-0000,17-2000,17-2080,17-2081,17-2072.01,Environmental Engineers
17-0000,17-2000,17-2110,17-2081,17-2072.01,"Industrial Engineers, Including Health and Safety"
17-0000,17-2000,17-2110,17-2111,17-2072.01,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
17-0000,17-2000,17-2110,17-2111,17-2111.02,Fire-Prevention and Protection Engineers
17-0000,17-2000,17-2110,17-2112,17-2111.02,Industrial Engineers
17-0000,17-2000,17-2110,17-2112,17-2112.01,Human Factors Engineers and Ergonomists
17-0000,17-2000,17-2110,17-2112,17-2112.02,Validation Engineers
17-0000,17-2000,17-2110,17-2112,17-2112.03,Manufacturing Engineers
17-0000,17-2000,17-2120,17-2112,17-2112.03,Marine Engineers and Naval Architects
17-0000,17-2000,17-2120,17-2121,17-2112.03,Marine Engineers and Naval Architects
17-0000,17-2000,17-2130,17-2121,17-2112.03,Materials Engineers
17-0000,17-2000,17-2130,17-2131,17-2112.03,Materials Engineers
17-0000,17-2000,17-2140,17-2131,17-2112.03,Mechanical Engineers
17-0000,17-2000,17-2140,17-2141,17-2112.03,Mechanical Engineers
17-0000,17-2000,17-2140,17-2141,17-2141.01,Fuel Cell Engineers
17-0000,17-2000,17-2140,17-2141,17-2141.02,Automotive Engineers
17-0000,17-2000,17-2150,17-2141,17-2141.02,"Mining and Geological Engineers, Including Mining Safety Engineers"
17-0000,17-2000,17-2150,17-2151,17-2141.02,"Mining and Geological Engineers, Including Mining Safety Engineers"
17-0000,17-2000,17-2160,17-2151,17-2141.02,Nuclear Engineers
17-0000,17-2000,17-2160,17-2161,17-2141.02,Nuclear Engineers
17-0000,17-2000,17-2170,17-2161,17-2141.02,Petroleum Engineers
17-0000,17-2000,17-2170,17-2171,17-2141.02,Petroleum Engineers
17-0000,17-2000,17-2190,17-2171,17-2141.02,Miscellaneous Engineers
17-0000,17-2000,17-2190,17-2199,17-2141.02,"Engineers, All Other"
17-0000,17-2000,17-2190,17-2199,17-2199.03,"Energy Engineers, Except Wind and Solar"
17-0000,17-2000,17-2190,17-2199,17-2199.05,Mechatronics Engineers
17-0000,17-2000,17-2190,17-2199,17-2199.06,Microsystems Engineers
17-0000,17-2000,17-2190,17-2199,17-2199.07,Photonics Engineers
17-0000,17-2000,17-2190,17-2199,17-2199.08,Robotics Engineers
17-0000,17-2000,17-2190,17-2199,17-2199.09,Nanosystems Engineers
17-0000,17-2000,17-2190,17-2199,17-2199.10,Wind Energy Engineers
17-0000,17-2000,17-2190,17-2199,17-2199.11,Solar Energy Systems Engineers
17-0000,17-3000,17-2190,17-2199,17-2199.11,"Drafters, Engineering Technicians, and Mapping Technicians"
17-0000,17-3000,17-3010,17-2199,17-2199.11,Drafters
17-0000,17-3000,17-3010,17-3011,17-2199.11,Architectural and Civil Drafters
17-0000,17-3000,17-3010,17-3012,17-2199.11,Electrical and Electronics Drafters
17-0000,17-3000,17-3010,17-3013,17-2199.11,Mechanical Drafters
17-0000,17-3000,17-3010,17-3019,17-2199.11,"Drafters, All Other"
17-0000,17-3000,17-3020,17-3019,17-2199.11,"Engineering Technologists and Technicians, Except Drafters"
17-0000,17-3000,17-3020,17-3021,17-2199.11,Aerospace Engineering and Operations Technologists and Technicians
17-0000,17-3000,17-3020,17-3022,17-2199.11,Civil Engineering Technologists and Technicians
17-0000,17-3000,17-3020,17-3023,17-2199.11,Electrical and Electronic Engineering Technologists and Technicians
17-0000,17-3000,17-3020,17-3024,17-2199.11,Electro-Mechanical and Mechatronics Technologists and Technicians
17-0000,17-3000,17-3020,17-3024,17-3024.01,Robotics Technicians
17-0000,17-3000,17-3020,17-3025,17-3024.01,Environmental Engineering Technologists and Technicians
17-0000,17-3000,17-3020,17-3026,17-3024.01,Industrial Engineering Technologists and Technicians
17-0000,17-3000,17-3020,17-3026,17-3026.01,Nanotechnology Engineering Technologists and Technicians
17-0000,17-3000,17-3020,17-3027,17-3026.01,Mechanical Engineering Technologists and Technicians
17-0000,17-3000,17-3020,17-3027,17-3027.01,Automotive Engineering Technicians
17-0000,17-3000,17-3020,17-3028,17-3027.01,Calibration Technologists and Technicians
17-0000,17-3000,17-3020,17-3029,17-3027.01,"Engineering Technologists and Technicians, Except Drafters, All Other"
17-0000,17-3000,17-3020,17-3029,17-3029.01,Non-Destructive Testing Specialists
17-0000,17-3000,17-3020,17-3029,17-3029.08,Photonics Technicians
17-0000,17-3000,17-3030,17-3029,17-3029.08,Surveying and Mapping Technicians
17-0000,17-3000,17-3030,17-3031,17-3029.08,Surveying and Mapping Technicians
19-0000,17-3000,17-3030,17-3031,17-3029.08,"Life, Physical, and Social Science Occupations"
19-0000,19-1000,17-3030,17-3031,17-3029.08,Life Scientists
19-0000,19-1000,19-1010,17-3031,17-3029.08,Agricultural and Food Scientists
19-0000,19-1000,19-1010,19-1011,17-3029.08,Animal Scientists
19-0000,19-1000,19-1010,19-1012,17-3029.08,Food Scientists and Technologists
19-0000,19-1000,19-1010,19-1013,17-3029.08,Soil and Plant Scientists
19-0000,19-1000,19-1020,19-1013,17-3029.08,Biological Scientists
19-0000,19-1000,19-1020,19-1021,17-3029.08,Biochemists and Biophysicists
19-0000,19-1000,19-1020,19-1022,17-3029.08,Microbiologists
19-0000,19-1000,19-1020,19-1023,17-3029.08,Zoologists and Wildlife Biologists
19-0000,19-1000,19-1020,19-1029,17-3029.08,"Biological Scientists, All Other"
19-0000,19-1000,19-1020,19-1029,19-1029.01,Bioinformatics Scientists
19-0000,19-1000,19-1020,19-1029,19-1029.02,Molecular and Cellular Biologists
19-0000,19-1000,19-1020,19-1029,19-1029.03,Geneticists
19-0000,19-1000,19-1020,19-1029,19-1029.04,Biologists
19-0000,19-1000,19-1030,19-1029,19-1029.04,Conservation Scientists and Foresters
19-0000,19-1000,19-1030,19-1031,19-1029.04,Conservation Scientists
19-0000,19-1000,19-1030,19-1031,19-1031.02,Range Managers
19-0000,19-1000,19-1030,19-1031,19-1031.03,Park Naturalists
19-0000,19-1000,19-1030,19-1032,19-1031.03,Foresters
19-0000,19-1000,19-1040,19-1032,19-1031.03,Medical Scientists
19-0000,19-1000,19-1040,19-1041,19-1031.03,Epidemiologists
19-0000,19-1000,19-1040,19-1042,19-1031.03,"Medical Scientists, Except Epidemiologists"
19-0000,19-1000,19-1090,19-1042,19-1031.03,Miscellaneous Life Scientists
19-0000,19-1000,19-1090,19-1099,19-1031.03,"Life Scientists, All Other"
19-0000,19-2000,19-1090,19-1099,19-1031.03,Physical Scientists
19-0000,19-2000,19-2010,19-1099,19-1031.03,Astronomers and Physicists
19-0000,19-2000,19-2010,19-2011,19-1031.03,Astronomers
19-0000,19-2000,19-2010,19-2012,19-1031.03,Physicists
19-0000,19-2000,19-2020,19-2012,19-1031.03,Atmospheric and Space Scientists
19-0000,19-2000,19-2020,19-2021,19-1031.03,Atmospheric and Space Scientists
19-0000,19-2000,19-2030,19-2021,19-1031.03,Chemists and Materials Scientists
19-0000,19-2000,19-2030,19-2031,19-1031.03,Chemists
19-0000,19-2000,19-2030,19-2032,19-1031.03,Materials Scientists
19-0000,19-2000,19-2040,19-2032,19-1031.03,Environmental Scientists and Geoscientists
19-0000,19-2000,19-2040,19-2041,19-1031.03,"Environmental Scientists and Specialists, Including Health"
19-0000,19-2000,19-2040,19-2041,19-2041.01,Climate Change Policy Analysts
19-0000,19-2000,19-2040,19-2041,19-2041.02,Environmental Restoration Planners
19-0000,19-2000,19-2040,19-2041,19-2041.03,Industrial Ecologists
19-0000,19-2000,19-2040,19-2042,19-2041.03,"Geoscientists, Except Hydrologists and Geographers"
19-0000,19-2000,19-2040,19-2043,19-2041.03,Hydrologists
19-0000,19-2000,19-2090,19-2043,19-2041.03,Miscellaneous Physical Scientists
19-0000,19-2000,19-2090,19-2099,19-2041.03,"Physical Scientists, All Other"
19-0000,19-2000,19-2090,19-2099,19-2099.01,Remote Sensing Scientists and Technologists
19-0000,19-3000,19-2090,19-2099,19-2099.01,Social Scientists and Related Workers
19-0000,19-3000,19-3010,19-2099,19-2099.01,Economists
