broad_occupation,detailed_occupation,detailed_onet_soc,major_group,minor_group,soc_or_onet_soc_2019_title
13-1190,13-1161,13-1161.01,13-0000,13-1000,Miscellaneous Business Operations Specialists
13-1190,13-1199,13-1161.01,13-0000,13-1000,"Business Operations Specialists, All Other"
13-1190,13-1199,13-1199.04,13-0000,13-1000,Business Continuity Planners
13-1190,13-1199,13-1199.05,13-0000,13-1000,Sustainability Specialists
13-1190,13-1199,13-1199.06,13-0000,13-1000,Online Merchants
13-1190,13-1199,13-1199.07,13-0000,13-1000,Security Management Specialists
13-1190,13-1199,13-1199.07,13-0000,13-2000,Financial Specialists
13-2010,13-1199,13-1199.07,13-0000,13-2000,Accountants and Auditors
13-2010,13-2011,13-1199.07,13-0000,13-2000,Accountants and Auditors
13-2020,13-2011,13-1199.07,13-0000,13-2000,Property Appraisers and Assessors
13-2020,13-2022,13-1199.07,13-0000,13-2000,Appraisers of Personal and Business Property
13-2020,13-2023,13-1199.07,13-0000,13-2000,Appraisers and Assessors of Real Estate
13-2030,13-2023,13-1199.07,13-0000,13-2000,Budget Analysts
13-2030,13-2031,13-1199.07,13-0000,13-2000,Budget Analysts
13-2040,13-2031,13-1199.07,13-0000,13-2000,Credit Analysts
13-2040,13-2041,13-1199.07,13-0000,13-2000,Credit Analysts
13-2050,13-2041,13-1199.07,13-0000,13-2000,Financial Analysts and Advisors
13-2050,13-2051,13-1199.07,13-0000,13-2000,Financial and Investment Analysts
13-2050,13-2052,13-1199.07,13-0000,13-2000,Personal Financial Advisors
13-2050,13-2053,13-1199.07,13-0000,13-2000,Insurance Underwriters
13-2050,13-2054,13-1199.07,13-0000,13-2000,Financial Risk Specialists
13-2060,13-2054,13-1199.07,13-0000,13-2000,Financial Examiners
13-2060,13-2061,13-1199.07,13-0000,13-2000,Financial Examiners
13-2070,13-2061,13-1199.07,13-0000,13-2000,Credit Counselors and Loan Officers
13-2070,13-2071,13-1199.07,13-0000,13-2000,Credit Counselors
13-2070,13-2072,13-1199.07,13-0000,13-2000,Loan Officers
13-2080,13-2072,13-1199.07,13-0000,13-2000,"Tax Examiners, Collectors and Preparers, and Revenue Agents"
13-2080,13-2081,13-1199.07,13-0000,13-2000,"Tax Examiners and Collectors, and Revenue Agents"
13-2080,13-2082,13-1199.07,13-0000,13-2000,Tax Preparers
13-2090,13-2082,13-1199.07,13-0000,13-2000,Miscellaneous Financial Specialists
13-2090,13-2099,13-1199.07,13-0000,13-2000,"Financial Specialists, All Other"
13-2090,13-2099,13-2099.01,13-0000,13-2000,Financial Quantitative Analysts
13-2090,13-2099,13-2099.04,13-0000,13-2000,"Fraud Examiners, Investigators and Analysts"
13-2090,13-2099,13-2099.04,15-0000,13-2000,Computer and Mathematical Occupations
13-2090,13-2099,13-2099.04,15-0000,15-1200,Computer Occupations
15-1210,13-2099,13-2099.04,15-0000,15-1200,Computer and Information Analysts
15-1210,15-1211,13-2099.04,15-0000,15-1200,Computer Systems Analysts
15-1210,15-1211,15-1211.01,15-0000,15-1200,Health Informatics Specialists
15-1210,15-1212,15-1211.01,15-0000,15-1200,Information Security Analysts
15-1220,15-1212,15-1211.01,15-0000,15-1200,Computer and Information Research Scientists
15-1220,15-1221,15-1211.01,15-0000,15-1200,Computer and Information Research Scientists
15-1230,15-1221,15-1211.01,15-0000,15-1200,Computer Support Specialists
15-1230,15-1231,15-1211.01,15-0000,15-1200,Computer Network Support Specialists
15-1230,15-1232,15-1211.01,15-0000,15-1200,Computer User Support Specialists
15-1240,15-1232,15-1211.01,15-0000,15-1200,Database and Network Administrators and Architects
15-1240,15-1241,15-1211.01,15-0000,15-1200,Computer Network Architects
15-1240,15-1241,15-1241.01,15-0000,15-1200,Telecommunications Engineering Specialists
15-1240,15-1242,15-1241.01,15-0000,15-1200,Database Administrators
15-1240,15-1243,15-1241.01,15-0000,15-1200,Database Architects
15-1240,15-1243,15-1243.01,15-0000,15-1200,Data Warehousing Specialists
15-1240,15-1244,15-1243.01,15-0000,15-1200,Network and Computer Systems Administrators
15-1250,15-1244,15-1243.01,15-0000,15-1200,"Software and Web Developers, Programmers, and Testers"
15-1250,15-1251,15-1243.01,15-0000,15-1200,Computer Programmers
15-1250,15-1252,15-1243.01,15-0000,15-1200,Software Developers
15-1250,15-1253,15-1243.01,15-0000,15-1200,Software Quality Assurance Analysts and Testers
15-1250,15-1254,15-1243.01,15-0000,15-1200,Web Developers
15-1250,15-1255,15-1243.01,15-0000,15-1200,Web and Digital Interface Designers
15-1250,15-1255,15-1255.01,15-0000,15-1200,Video Game Designers
15-1290,15-1255,15-1255.01,15-0000,15-1200,Miscellaneous Computer Occupations
15-1290,15-1299,15-1255.01,15-0000,15-1200,"Computer Occupations, All Other"
15-1290,15-1299,15-1299.01,15-0000,15-1200,Web Administrators
15-1290,15-1299,15-1299.02,15-0000,15-1200,Geographic Information Systems Technologists and Technicians
15-1290,15-1299,15-1299.03,15-0000,15-1200,Document Management Specialists
15-1290,15-1299,15-1299.04,15-0000,15-1200,Penetration Testers
15-1290,15-1299,15-1299.05,15-0000,15-1200,Information Security Engineers
15-1290,15-1299,15-1299.06,15-0000,15-1200,Digital Forensics Analysts
15-1290,15-1299,15-1299.07,15-0000,15-1200,Blockchain Engineers
15-1290,15-1299,15-1299.08,15-0000,15-1200,Computer Systems Engineers/Architects
15-1290,15-1299,15-1299.09,15-0000,15-1200,Information Technology Project Managers
15-1290,15-1299,15-1299.09,15-0000,15-2000,Mathematical Science Occupations
15-2010,15-1299,15-1299.09,15-0000,15-2000,Actuaries
15-2010,15-2011,15-1299.09,15-0000,15-2000,Actuaries
15-2020,15-2011,15-1299.09,15-0000,15-2000,Mathematicians
15-2020,15-2021,15-1299.09,15-0000,15-2000,Mathematicians
15-2030,15-2021,15-1299.09,15-0000,15-2000,Operations Research Analysts
15-2030,15-2031,15-1299.09,15-0000,15-2000,Operations Research Analysts
15-2040,15-2031,15-1299.09,15-0000,15-2000,Statisticians
15-2040,15-2041,15-1299.09,15-0000,15-2000,Statisticians
15-2040,15-2041,15-2041.01,15-0000,15-2000,Biostatisticians
15-2050,15-2041,15-2041.01,15-0000,15-2000,Data Scientists
15-2050,15-2051,15-2041.01,15-0000,15-2000,Data Scientists
15-2050,15-2051,15-2051.01,15-0000,15-2000,Business Intelligence Analysts
15-2050,15-2051,15-2051.02,15-0000,15-2000,Clinical Data Managers
15-2090,15-2051,15-2051.02,15-0000,15-2000,Miscellaneous Mathematical Science Occupations
15-2090,15-2099,15-2051.02,15-0000,15-2000,"Mathematical Science Occupations, All Other"
15-2090,15-2099,15-2099.01,15-0000,15-2000,Bioinformatics Technicians
15-2090,15-2099,15-2099.01,17-0000,15-2000,Architecture and Engineering Occupations
15-2090,15-2099,15-2099.01,17-0000,17-1000,"Architects, Surveyors, and Cartographers"
17-1010,15-2099,15-2099.01,17-0000,17-1000,"Architects, Except Naval"
17-1010,17-1011,15-2099.01,17-0000,17-1000,"Architects, Except Landscape and Naval"
17-1010,17-1012,15-2099.01,17-0000,17-1000,Landscape Architects
17-1020,17-1012,15-2099.01,17-0000,17-1000,"Surveyors, Cartographers, and Photogrammetrists"
17-1020,17-1021,15-2099.01,17-0000,17-1000,Cartographers and Photogrammetrists
17-1020,17-1022,15-2099.01,17-0000,17-1000,Surveyors
17-1020,17-1022,17-1022.01,17-0000,17-1000,Geodetic Surveyors
17-1020,17-1022,17-1022.01,17-0000,17-2000,Engineers
17-2010,17-1022,17-1022.01,17-0000,17-2000,Aerospace Engineers
17-2010,17-2011,17-1022.01,17-0000,17-2000,Aerospace Engineers
17-2020,17-2011,17-1022.01,17-0000,17-2000,Agricultural Engineers
17-2020,17-2021,17-1022.01,17-0000,17-2000,Agricultural Engineers
17-2030,17-2021,17-1022.01,17-0000,17-2000,Bioengineers and Biomedical Engineers
17-2030,17-2031,17-1022.01,17-0000,17-2000,Bioengineers and Biomedical Engineers
17-2040,17-2031,17-1022.01,17-0000,17-2000,Chemical Engineers
17-2040,17-2041,17-1022.01,17-0000,17-2000,Chemical Engineers
17-2050,17-2041,17-1022.01,17-0000,17-2000,Civil Engineers
17-2050,17-2051,17-1022.01,17-0000,17-2000,Civil Engineers
17-2050,17-2051,17-2051.01,17-0000,17-2000,Transportation Engineers
17-2050,17-2051,17-2051.02,17-0000,17-2000,Water/Wastewater Engineers
17-2060,17-2051,17-2051.02,17-0000,17-2000,Computer Hardware Engineers
17-2060,17-2061,17-2051.02,17-0000,17-2000,Computer Hardware Engineers
17-2070,17-2061,17-2051.02,17-0000,17-2000,Electrical and Electronics Engineers
17-2070,17-2071,17-2051.02,17-0000,17-2000,Electrical Engineers
17-2070,17-2072,17-2051.02,17-0000,17-2000,"Electronics Engineers, Except Computer"
17-2070,17-2072,17-2072.01,17-0000,17-2000,Radio Frequency Identification Device Specialists
17-2080,17-2072,17-2072.01,17-0000,17-2000,Environmental Engineers
17-2080,17-2081,17-2072.01,17-0000,17-2000,Environmental Engineers
17-2110,17-2081,17-2072.01,17-0000,17-2000,"Industrial Engineers, Including Health and Safety"
17-2110,17-2111,17-2072.01,17-0000,17-2000,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
17-2110,17-2111,17-2111.02,17-0000,17-2000,Fire-Prevention and Protection Engineers
17-2110,17-2112,17-2111.02,17-0000,17-2000,Industrial Engineers
17-2110,17-2112,17-2112.01,17-0000,17-2000,Human Factors Engineers and Ergonomists
17-2110,17-2112,17-2112.02,17-0000,17-2000,Validation Engineers
17-2110,17-2112,17-2112.03,17-0000,17-2000,Manufacturing Engineers
17-2120,17-2112,17-2112.03,17-0000,17-2000,Marine Engineers and Naval Architects
17-2120,17-2121,17-2112.03,17-0000,17-2000,Marine Engineers and Naval Architects
17-2130,17-2121,17-2112.03,17-0000,17-2000,Materials Engineers
17-2130,17-2131,17-2112.03,17-0000,17-2000,Materials Engineers
17-2140,17-2131,17-2112.03,17-0000,17-2000,Mechanical Engineers
17-2140,17-2141,17-2112.03,17-0000,17-2000,Mechanical Engineers
17-2140,17-2141,17-2141.01,17-0000,17-2000,Fuel Cell Engineers
17-2140,17-2141,17-2141.02,17-0000,17-2000,Automotive Engineers
17-2150,17-2141,17-2141.02,17-0000,17-2000,"Mining and Geological Engineers, Including Mining Safety Engineers"
17-2150,17-2151,17-2141.02,17-0000,17-2000,"Mining and Geological Engineers, Including Mining Safety Engineers"
17-2160,17-2151,17-2141.02,17-0000,17-2000,Nuclear Engineers
17-2160,17-2161,17-2141.02,17-0000,17-2000,Nuclear Engineers
17-2170,17-2161,17-2141.02,17-0000,17-2000,Petroleum Engineers
17-2170,17-2171,17-2141.02,17-0000,17-2000,Petroleum Engineers
17-2190,17-2171,17-2141.02,17-0000,17-2000,Miscellaneous Engineers
17-2190,17-2199,17-2141.02,17-0000,17-2000,"Engineers, All Other"
17-2190,17-2199,17-2199.03,17-0000,17-2000,"Energy Engineers, Except Wind and Solar"
17-2190,17-2199,17-2199.05,17-0000,17-2000,Mechatronics Engineers
17-2190,17-2199,17-2199.06,17-0000,17-2000,Microsystems Engineers
17-2190,17-2199,17-2199.07,17-0000,17-2000,Photonics Engineers
17-2190,17-2199,17-2199.08,17-0000,17-2000,Robotics Engineers
17-2190,17-2199,17-2199.09,17-0000,17-2000,Nanosystems Engineers
17-2190,17-2199,17-2199.10,17-0000,17-2000,Wind Energy Engineers
17-2190,17-2199,17-2199.11,17-0000,17-2000,Solar Energy Systems Engineers
17-2190,17-2199,17-2199.11,17-0000,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians"
17-3010,17-2199,17-2199.11,17-0000,17-3000,Drafters
17-3010,17-3011,17-2199.11,17-0000,17-3000,Architectural and Civil Drafters
17-3010,17-3012,17-2199.11,17-0000,17-3000,Electrical and Electronics Drafters
17-3010,17-3013,17-2199.11,17-0000,17-3000,Mechanical Drafters
17-3010,17-3019,17-2199.11,17-0000,17-3000,"Drafters, All Other"
17-3020,17-3019,17-2199.11,17-0000,17-3000,"Engineering Technologists and Technicians, Except Drafters"
17-3020,17-3021,17-2199.11,17-0000,17-3000,Aerospace Engineering and Operations Technologists and Technicians
17-3020,17-3022,17-2199.11,17-0000,17-3000,Civil Engineering Technologists and Technicians
17-3020,17-3023,17-2199.11,17-0000,17-3000,Electrical and Electronic Engineering Technologists and Technicians
17-3020,17-3024,17-2199.11,17-0000,17-3000,Electro-Mechanical and Mechatronics Technologists and Technicians
17-3020,17-3024,17-3024.01,17-0000,17-3000,Robotics Technicians
17-3020,17-3025,17-3024.01,17-0000,17-3000,Environmental Engineering Technologists and Technicians
17-3020,17-3026,17-3024.01,17-0000,17-3000,Industrial Engineering Technologists and Technicians
17-3020,17-3026,17-3026.01,17-0000,17-3000,Nanotechnology Engineering Technologists and Technicians
17-3020,17-3027,17-3026.01,17-0000,17-3000,Mechanical Engineering Technologists and Technicians
17-3020,17-3027,17-3027.01,17-0000,17-3000,Automotive Engineering Technicians
17-3020,17-3028,17-3027.01,17-0000,17-3000,Calibration Technologists and Technicians
17-3020,17-3029,17-3027.01,17-0000,17-3000,"Engineering Technologists and Technicians, Except Drafters, All Other"
17-3020,17-3029,17-3029.01,17-0000,17-3000,Non-Destructive Testing Specialists
17-3020,17-3029,17-3029.08,17-0000,17-3000,Photonics Technicians
17-3030,17-3029,17-3029.08,17-0000,17-3000,Surveying and Mapping Technicians
17-3030,17-3031,17-3029.08,17-0000,17-3000,Surveying and Mapping Technicians
17-3030,17-3031,17-3029.08,19-0000,17-3000,"Life, Physical, and Social Science Occupations"
17-3030,17-3031,17-3029.08,19-0000,19-1000,Life Scientists
19-1010,17-3031,17-3029.08,19-0000,19-1000,Agricultural and Food Scientists
19-1010,19-1011,17-3029.08,19-0000,19-1000,Animal Scientists
19-1010,19-1012,17-3029.08,19-0000,19-1000,Food Scientists and Technologists
19-1010,19-1013,17-3029.08,19-0000,19-1000,Soil and Plant Scientists
19-1020,19-1013,17-3029.08,19-0000,19-1000,Biological Scientists
19-1020,19-1021,17-3029.08,19-0000,19-1000,Biochemists and Biophysicists
19-1020,19-1022,17-3029.08,19-0000,19-1000,Microbiologists
19-1020,19-1023,17-3029.08,19-0000,19-1000,Zoologists and Wildlife Biologists
19-1020,19-1029,17-3029.08,19-0000,19-1000,"Biological Scientists, All Other"
19-1020,19-1029,19-1029.01,19-0000,19-1000,Bioinformatics Scientists
19-1020,19-1029,19-1029.02,19-0000,19-1000,Molecular and Cellular Biologists
19-1020,19-1029,19-1029.03,19-0000,19-1000,Geneticists
19-1020,19-1029,19-1029.04,19-0000,19-1000,Biologists
19-1030,19-1029,19-1029.04,19-0000,19-1000,Conservation Scientists and Foresters
19-1030,19-1031,19-1029.04,19-0000,19-1000,Conservation Scientists
19-1030,19-1031,19-1031.02,19-0000,19-1000,Range Managers
19-1030,19-1031,19-1031.03,19-0000,19-1000,Park Naturalists
19-1030,19-1032,19-1031.03,19-0000,19-1000,Foresters
19-1040,19-1032,19-1031.03,19-0000,19-1000,Medical Scientists
19-1040,19-1041,19-1031.03,19-0000,19-1000,Epidemiologists
19-1040,19-1042,19-1031.03,19-0000,19-1000,"Medical Scientists, Except Epidemiologists"
19-1090,19-1042,19-1031.03,19-0000,19-1000,Miscellaneous Life Scientists
19-1090,19-1099,19-1031.03,19-0000,19-1000,"Life Scientists, All Other"
19-1090,19-1099,19-1031.03,19-0000,19-2000,Physical Scientists
19-2010,19-1099,19-1031.03,19-0000,19-2000,Astronomers and Physicists
19-2010,19-2011,19-1031.03,19-0000,19-2000,Astronomers
19-2010,19-2012,19-1031.03,19-0000,19-2000,Physicists
19-2020,19-2012,19-1031.03,19-0000,19-2000,Atmospheric and Space Scientists
19-2020,19-2021,19-1031.03,19-0000,19-2000,Atmospheric and Space Scientists
19-2030,19-2021,19-1031.03,19-0000,19-2000,Chemists and Materials Scientists
19-2030,19-2031,19-1031.03,19-0000,19-2000,Chemists
19-2030,19-2032,19-1031.03,19-0000,19-2000,Materials Scientists
19-2040,19-2032,19-1031.03,19-0000,19-2000,Environmental Scientists and Geoscientists
19-2040,19-2041,19-1031.03,19-0000,19-2000,"Environmental Scientists and Specialists, Including Health"
19-2040,19-2041,19-2041.01,19-0000,19-2000,Climate Change Policy Analysts
19-2040,19-2041,19-2041.02,19-0000,19-2000,Environmental Restoration Planners
19-2040,19-2041,19-2041.03,19-0000,19-2000,Industrial Ecologists
19-2040,19-2042,19-2041.03,19-0000,19-2000,"Geoscientists, Except Hydrologists and Geographers"
