date,domain_source,incumbents_responding,onet_soc_code,task,task_id,task_type,title
08/2023,Incumbent,94,11-1011.00,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",8853,Supplemental,Chief Executives
08/2023,Incumbent,94,11-1011.00,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",8844,Supplemental,Chief Executives
08/2023,Incumbent,94,11-1011.00,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",20461,Supplemental,Chief Executives
08/2023,Incumbent,94,11-1011.00,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",8838,Supplemental,Chief Executives
08/2023,Incumbent,94,11-1011.00,Refer major policy matters to elected representatives for final decisions.,8845,Supplemental,Chief Executives
08/2023,Incumbent,94,11-1011.00,Direct or conduct studies or research on issues affecting areas of responsibility.,8848,Supplemental,Chief Executives
08/2023,Incumbent,94,11-1011.00,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",8846,Supplemental,Chief Executives
08/2023,Incumbent,94,11-1011.00,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so.",8852,Supplemental,Chief Executives
08/2021,Occupational Expert,27,11-1011.03,Monitor and evaluate effectiveness of sustainability programs.,15382,Core,Chief Sustainability Officers
08/2021,Occupational Expert,27,11-1011.03,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",15384,Core,Chief Sustainability Officers
08/2021,Occupational Expert,27,11-1011.03,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",15379,Core,Chief Sustainability Officers
08/2021,Occupational Expert,27,11-1011.03,Supervise employees or volunteers working on sustainability projects.,15372,Core,Chief Sustainability Officers
08/2021,Occupational Expert,27,11-1011.03,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",15378,Core,Chief Sustainability Officers
08/2021,Occupational Expert,27,11-1011.03,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",15380,Core,Chief Sustainability Officers
08/2021,Occupational Expert,27,11-1011.03,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,15368,Core,Chief Sustainability Officers
08/2021,Occupational Expert,27,11-1011.03,"Create and maintain sustainability program documents, such as schedules and budgets.",15370,Core,Chief Sustainability Officers
08/2021,Occupational Expert,27,11-1011.03,Formulate or implement sustainability campaign or marketing strategies.,15375,Core,Chief Sustainability Officers
08/2021,Occupational Expert,27,11-1011.03,"Research environmental sustainability issues, concerns, or stakeholder interests.",15376,Core,Chief Sustainability Officers
08/2021,Occupational Expert,27,11-1011.03,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,15383,Core,Chief Sustainability Officers
08/2021,Occupational Expert,27,11-1011.03,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",15377,Core,Chief Sustainability Officers
08/2021,Occupational Expert,27,11-1011.03,Develop methodologies to assess the viability or success of sustainability initiatives.,15381,Core,Chief Sustainability Officers
08/2021,Occupational Expert,27,11-1011.03,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",15374,Core,Chief Sustainability Officers
08/2021,Occupational Expert,27,11-1011.03,Write and distribute financial or environmental impact reports.,15373,Core,Chief Sustainability Officers
08/2021,Occupational Expert,27,11-1011.03,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",15371,Core,Chief Sustainability Officers
08/2021,Occupational Expert,27,11-1011.03,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",15367,Core,Chief Sustainability Officers
08/2021,Occupational Expert,27,11-1011.03,Conduct risk assessments related to sustainability and the environment.,15369,Core,Chief Sustainability Officers
08/2023,Incumbent,82,11-1021.00,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",20699,Core,General and Operations Managers
08/2023,Incumbent,82,11-1021.00,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",933,Core,General and Operations Managers
08/2023,Incumbent,82,11-1021.00,Direct administrative activities directly related to making products or providing services.,20700,Core,General and Operations Managers
08/2023,Incumbent,82,11-1021.00,Prepare staff work schedules and assign specific duties.,20701,Core,General and Operations Managers
08/2023,Incumbent,82,11-1021.00,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",20703,Core,General and Operations Managers
08/2023,Incumbent,82,11-1021.00,"Plan or direct activities, such as sales promotions, that require coordination with other department managers.",20706,Core,General and Operations Managers
08/2023,Incumbent,82,11-1021.00,"Perform personnel functions, such as selection, training, or evaluation.",20705,Core,General and Operations Managers
08/2023,Incumbent,82,11-1021.00,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",20704,Core,General and Operations Managers
08/2023,Incumbent,82,11-1021.00,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,20702,Core,General and Operations Managers
08/2023,Incumbent,82,11-1021.00,"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",20708,Supplemental,General and Operations Managers
08/2023,Incumbent,81,11-1021.00,"Set prices or credit terms for goods or services, based on forecasts of customer demand.",20707,Supplemental,General and Operations Managers
08/2023,Incumbent,82,11-1021.00,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",944,Supplemental,General and Operations Managers
08/2023,Incumbent,81,11-1021.00,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",945,Supplemental,General and Operations Managers
08/2023,Incumbent,82,11-1021.00,"Direct non-merchandising departments of businesses, such as advertising or purchasing.",947,Supplemental,General and Operations Managers
08/2023,Incumbent,82,11-1021.00,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",19501,Supplemental,General and Operations Managers
08/2023,Incumbent,82,11-1021.00,Plan store layouts or design displays.,949,Supplemental,General and Operations Managers
08/2023,Incumbent,82,11-1021.00,"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.",948,Supplemental,General and Operations Managers
06/2006,Analyst,82,11-1031.00,Analyze and understand the local and national implications of proposed legislation.,15267,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Appoint nominees to leadership posts, or approve such appointments.",15268,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,Confer with colleagues to formulate positions and strategies pertaining to pending issues.,15269,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure.",15270,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,Develop expertise in subject matters related to committee assignments.,15271,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration.",15272,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts.",15273,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,Maintain knowledge of relevant national and international current events.,15274,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Make decisions that balance the perspectives of private citizens, public officials, and party leaders.",15275,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements.",15276,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.",15277,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,Read and review concerns of constituents or the general public and determine if governmental action is necessary.,15278,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.",15279,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Review bills in committee, and make recommendations about their future.",15280,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,Seek federal funding for local projects and programs.,15281,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action.",15282,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor.",15283,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Write, prepare, and deliver statements for the Congressional Record.",15284,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Alert constituents of government actions and programs by way of newsletters, personal appearances at town meetings, phone calls, and individual meetings.",15285,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships.",15286,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Conduct ""head counts"" to help predict the outcome of upcoming votes.",15287,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Determine campaign strategies for media advertising, positions on issues, and public appearances.",15288,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,Encourage and support party candidates for political office.,15289,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Establish personal offices in local districts or states, and manage office staff.",15290,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Evaluate the structure, efficiency, activities, and performance of government agencies.",15291,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election.",15292,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year.",15293,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,Promote the industries and products of their electoral districts.,15294,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,"Represent their government at local, national, and international meetings and conferences.",15295,Supplemental,Legislators
06/2006,Analyst,82,11-1031.00,Speak to students to encourage and support the development of future political leaders.,15296,Supplemental,Legislators
08/2018,Incumbent,73,11-2011.00,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",3224,Core,Advertising and Promotions Managers
08/2018,Incumbent,72,11-2011.00,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",3226,Core,Advertising and Promotions Managers
08/2018,Incumbent,72,11-2011.00,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",3231,Core,Advertising and Promotions Managers
08/2018,Incumbent,71,11-2011.00,Coordinate with the media to disseminate advertising.,3242,Core,Advertising and Promotions Managers
08/2018,Incumbent,71,11-2011.00,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",3227,Core,Advertising and Promotions Managers
08/2018,Incumbent,71,11-2011.00,Plan and execute advertising policies and strategies for organizations.,3238,Core,Advertising and Promotions Managers
08/2018,Incumbent,72,11-2011.00,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",3237,Core,Advertising and Promotions Managers
08/2018,Incumbent,71,11-2011.00,Prepare budgets and submit estimates for program costs as part of campaign plan development.,3223,Core,Advertising and Promotions Managers
08/2018,Incumbent,74,11-2011.00,Contact organizations to explain services and facilities offered.,3243,Core,Advertising and Promotions Managers
08/2018,Incumbent,71,11-2011.00,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,3233,Core,Advertising and Promotions Managers
08/2018,Incumbent,73,11-2011.00,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",3229,Core,Advertising and Promotions Managers
08/2018,Incumbent,72,11-2011.00,"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.",3239,Core,Advertising and Promotions Managers
08/2018,Incumbent,72,11-2011.00,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",3234,Core,Advertising and Promotions Managers
08/2018,Incumbent,72,11-2011.00,"Manage sales team, including setting goals, providing incentives, and evaluating employee performance.",18586,Supplemental,Advertising and Promotions Managers
08/2018,Incumbent,72,11-2011.00,Prepare and negotiate advertising and sales contracts.,3228,Supplemental,Advertising and Promotions Managers
08/2018,Incumbent,69,11-2011.00,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,3235,Supplemental,Advertising and Promotions Managers
08/2018,Incumbent,72,11-2011.00,Train and direct workers engaged in developing and producing advertisements.,3241,Supplemental,Advertising and Promotions Managers
08/2018,Incumbent,72,11-2011.00,"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.",3240,Supplemental,Advertising and Promotions Managers
08/2018,Incumbent,72,11-2011.00,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,3236,Supplemental,Advertising and Promotions Managers
08/2018,Incumbent,74,11-2011.00,Represent company at trade association meetings to promote products.,3245,Supplemental,Advertising and Promotions Managers
08/2018,Incumbent,71,11-2011.00,Direct and coordinate product research and development.,3244,Supplemental,Advertising and Promotions Managers
11/2020,Analyst,71,11-2011.00,Analyze marketing or sales trends to forecast future conditions.,21217,Supplemental,Advertising and Promotions Managers
11/2020,Analyst,71,11-2011.00,Analyze the effectiveness of marketing tactics or channels.,21218,Supplemental,Advertising and Promotions Managers
11/2020,Analyst,71,11-2011.00,"Attend or participate in conferences, community events, and promotional events related to products or technologies.",21219,Supplemental,Advertising and Promotions Managers
11/2020,Analyst,71,11-2011.00,"Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies.",21220,Supplemental,Advertising and Promotions Managers
11/2020,Analyst,71,11-2011.00,"Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs.",21221,Supplemental,Advertising and Promotions Managers
11/2020,Analyst,71,11-2011.00,"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services.",21222,Supplemental,Advertising and Promotions Managers
11/2020,Analyst,71,11-2011.00,"Develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations.",21223,Supplemental,Advertising and Promotions Managers
11/2020,Analyst,71,11-2011.00,"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",21224,Supplemental,Advertising and Promotions Managers
11/2020,Analyst,71,11-2011.00,"Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.",21225,Supplemental,Advertising and Promotions Managers
07/2015,Incumbent,117,11-2021.00,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",951,Core,Marketing Managers
07/2015,Incumbent,117,11-2021.00,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",20709,Core,Marketing Managers
07/2015,Incumbent,116,11-2021.00,"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",952,Core,Marketing Managers
07/2015,Incumbent,117,11-2021.00,"Develop pricing strategies, balancing firm objectives and customer satisfaction.",950,Core,Marketing Managers
07/2015,Incumbent,116,11-2021.00,Compile lists describing product or service offerings.,957,Core,Marketing Managers
07/2015,Incumbent,117,11-2021.00,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",954,Core,Marketing Managers
07/2015,Incumbent,113,11-2021.00,"Consult with product development personnel on product specifications, such as design, color, or packaging.",956,Core,Marketing Managers
07/2015,Incumbent,116,11-2021.00,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",958,Core,Marketing Managers
07/2015,Incumbent,115,11-2021.00,"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",955,Core,Marketing Managers
07/2015,Incumbent,116,11-2021.00,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",961,Core,Marketing Managers
07/2015,Incumbent,116,11-2021.00,"Initiate market research studies, or analyze their findings.",963,Core,Marketing Managers
07/2015,Incumbent,115,11-2021.00,"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",960,Core,Marketing Managers
07/2015,Incumbent,116,11-2021.00,Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.,964,Supplemental,Marketing Managers
07/2015,Incumbent,116,11-2021.00,Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.,19502,Supplemental,Marketing Managers
07/2015,Incumbent,116,11-2021.00,Conduct economic or commercial surveys to identify potential markets for products or services.,965,Supplemental,Marketing Managers
07/2015,Incumbent,116,11-2021.00,"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",19505,Supplemental,Marketing Managers
07/2015,Incumbent,113,11-2021.00,"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",962,Supplemental,Marketing Managers
07/2015,Incumbent,115,11-2021.00,Select products or accessories to be displayed at trade or special production shows.,959,Supplemental,Marketing Managers
07/2015,Incumbent,115,11-2021.00,Develop business cases for environmental marketing strategies.,19503,Supplemental,Marketing Managers
07/2015,Incumbent,116,11-2021.00,"Integrate environmental information into product or company marketing strategies, policies, or activities.",19504,Supplemental,Marketing Managers
07/2016,Occupational Expert,23,11-2022.00,"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate, or other subjects of sale.",3,Core,Sales Managers
07/2016,Occupational Expert,23,11-2022.00,Resolve customer complaints regarding sales and service.,1,Core,Sales Managers
07/2016,Occupational Expert,23,11-2022.00,Review operational records and reports to project sales and determine profitability.,5,Core,Sales Managers
07/2016,Occupational Expert,23,11-2022.00,Oversee regional and local sales managers and their staffs.,14,Core,Sales Managers
07/2016,Occupational Expert,23,11-2022.00,Determine price schedules and discount rates.,4,Core,Sales Managers
07/2016,Occupational Expert,23,11-2022.00,Prepare budgets and approve budget expenditures.,9,Core,Sales Managers
07/2016,Occupational Expert,23,11-2022.00,Monitor customer preferences to determine focus of sales efforts.,2,Core,Sales Managers
07/2016,Occupational Expert,22,11-2022.00,"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",11,Core,Sales Managers
07/2016,Occupational Expert,23,11-2022.00,"Direct, coordinate, and review sales and service accounting and record-keeping, as well as receiving and shipping.",6,Core,Sales Managers
07/2016,Occupational Expert,23,11-2022.00,"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",15,Core,Sales Managers
07/2016,Occupational Expert,23,11-2022.00,Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,8,Core,Sales Managers
07/2016,Occupational Expert,23,11-2022.00,Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,7,Core,Sales Managers
07/2016,Occupational Expert,22,11-2022.00,Represent company at trade association meetings to promote products.,10,Core,Sales Managers
07/2016,Occupational Expert,23,11-2022.00,"Confer with potential customers regarding equipment needs, and advise customers on types of equipment to purchase.",13,Supplemental,Sales Managers
07/2016,Occupational Expert,22,11-2022.00,"Assess marketing potential of new and existing store locations, considering statistics and expenditures.",17,Supplemental,Sales Managers
07/2016,Occupational Expert,23,11-2022.00,Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,12,Supplemental,Sales Managers
07/2016,Occupational Expert,22,11-2022.00,Direct foreign sales and service outlets of an organization.,16,Supplemental,Sales Managers
11/2020,Analyst,22,11-2032.00,"Assign, supervise, and review the activities of public relations staff.",21226,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,Confer with labor relations managers to develop internal communications that keep employees informed of company activities.,21227,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,"Design and edit promotional publications, such as brochures.",21228,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,"Develop and maintain the company's corporate image and identity, which includes the use of logos and signage.",21229,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,"Develop, implement, or maintain crisis communication plans.",21230,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,"Direct activities of external agencies, establishments, or departments that develop and implement communication strategies and information programs.",21231,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,Draft speeches for company executives and arrange interviews and other forms of contact for them.,21232,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new business opportunities.",21233,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,Evaluate advertising and promotion programs for compatibility with public relations efforts.,21234,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,"Facilitate consumer relations or the relationship between parts of the company, such as the managers and employees, or different branch offices.",21235,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,"Formulate policies and procedures related to public information programs, working with public relations executives.",21236,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,"Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.",21237,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,Maintain company archives.,21238,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,Manage communications budgets.,21239,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,Manage in-house communication courses.,21240,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,"Manage special events, such as sponsorship of races, parties introducing new products, or other activities the firm supports, to gain public attention through the media without advertising directly.",21241,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,"Observe and report on social, economic, and political trends that might affect employers.",21242,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,"Produce films and other video products, regulate their distribution, and operate film library.",21243,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,Respond to requests for information about employers' activities or status.,21244,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2032.00,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet web pages.",21245,Supplemental,Public Relations Managers
11/2020,Analyst,22,11-2033.00,"Assign, supervise, and review the activities of fundraising staff.",21246,Supplemental,Fundraising Managers
11/2020,Analyst,22,11-2033.00,Compile or develop materials to submit to granting or other funding organizations.,21247,Supplemental,Fundraising Managers
11/2020,Analyst,22,11-2033.00,"Conduct research to identify the goals, net worth, charitable donation history, or other data related to potential donors, potential investors, or general donor markets.",21248,Supplemental,Fundraising Managers
11/2020,Analyst,22,11-2033.00,"Contact corporate representatives, government officials, or community leaders to increase awareness of organizational causes, activities, or needs.",21249,Supplemental,Fundraising Managers
11/2020,Analyst,22,11-2033.00,"Design and edit promotional publications, such as brochures.",21250,Supplemental,Fundraising Managers
11/2020,Analyst,22,11-2033.00,Develop fundraising activity plans that maximize participation or contributions and minimize costs.,21251,Supplemental,Fundraising Managers
11/2020,Analyst,22,11-2033.00,Develop strategies to encourage new or increased contributions.,21252,Supplemental,Fundraising Managers
11/2020,Analyst,22,11-2033.00,"Direct activities of external agencies, establishments, or departments that develop and implement fundraising strategies and programs.",21253,Supplemental,Fundraising Managers
11/2020,Analyst,22,11-2033.00,"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new fundraising opportunities.",21254,Supplemental,Fundraising Managers
11/2020,Analyst,22,11-2033.00,"Establish goals for soliciting funds, develop policies for collection and safeguarding of contributions, and coordinate disbursement of funds.",21255,Supplemental,Fundraising Managers
11/2020,Analyst,22,11-2033.00,Evaluate advertising and promotion programs for compatibility with fundraising efforts.,21256,Supplemental,Fundraising Managers
11/2020,Analyst,22,11-2033.00,Formulate policies and procedures related to fundraising programs.,21257,Supplemental,Fundraising Managers
11/2020,Analyst,22,11-2033.00,Manage fundraising budgets.,21258,Supplemental,Fundraising Managers
11/2020,Analyst,22,11-2033.00,"Plan and direct special events for fundraising, such as silent auctions, dances, golf events, or walks.",21259,Supplemental,Fundraising Managers
11/2020,Analyst,22,11-2033.00,"Produce films and other video products, regulate their distribution, and operate film library.",21260,Supplemental,Fundraising Managers
11/2020,Analyst,22,11-2033.00,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet Web pages.",21261,Supplemental,Fundraising Managers
07/2017,Incumbent,133,11-3012.00,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,21,Core,Administrative Services Managers
07/2017,Incumbent,133,11-3012.00,Set goals and deadlines for the department.,20,Core,Administrative Services Managers
07/2017,Incumbent,133,11-3012.00,"Acquire, distribute and store supplies.",23,Core,Administrative Services Managers
07/2017,Incumbent,134,11-3012.00,"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",22,Core,Administrative Services Managers
07/2017,Incumbent,134,11-3012.00,Conduct classes to teach procedures to staff.,30,Core,Administrative Services Managers
07/2017,Incumbent,133,11-3012.00,"Plan, administer, and control budgets for contracts, equipment, and supplies.",24,Supplemental,Administrative Services Managers
07/2017,Incumbent,133,11-3012.00,Hire and terminate clerical and administrative personnel.,26,Supplemental,Administrative Services Managers
