data_value,date,domain_source,element_id,element_name,onet_soc_code,scale_id,scale_name,title
5.0,06/2008,Analyst,1.B.1.g,First Interest High-Point,11-1021.00,IH,Occupational Interest High-Point,General and Operations Managers
6.0,06/2008,Analyst,1.B.1.h,Second Interest High-Point,11-1021.00,IH,Occupational Interest High-Point,General and Operations Managers
4.0,06/2008,Analyst,1.B.1.i,Third Interest High-Point,11-1021.00,IH,Occupational Interest High-Point,General and Operations Managers
1.0,06/2008,Analyst,1.B.1.a,Realistic,11-1031.00,OI,Occupational Interests,Legislators
3.67,06/2008,Analyst,1.B.1.b,Investigative,11-1031.00,OI,Occupational Interests,Legislators
3.67,06/2008,Analyst,1.B.1.c,Artistic,11-1031.00,OI,Occupational Interests,Legislators
4.67,06/2008,Analyst,1.B.1.d,Social,11-1031.00,OI,Occupational Interests,Legislators
7.0,06/2008,Analyst,1.B.1.e,Enterprising,11-1031.00,OI,Occupational Interests,Legislators
3.0,06/2008,Analyst,1.B.1.f,Conventional,11-1031.00,OI,Occupational Interests,Legislators
5.0,06/2008,Analyst,1.B.1.g,First Interest High-Point,11-1031.00,IH,Occupational Interest High-Point,Legislators
4.0,06/2008,Analyst,1.B.1.h,Second Interest High-Point,11-1031.00,IH,Occupational Interest High-Point,Legislators
0.0,06/2008,Analyst,1.B.1.i,Third Interest High-Point,11-1031.00,IH,Occupational Interest High-Point,Legislators
1.67,06/2008,Analyst,1.B.1.a,Realistic,11-2011.00,OI,Occupational Interests,Advertising and Promotions Managers
2.0,06/2008,Analyst,1.B.1.b,Investigative,11-2011.00,OI,Occupational Interests,Advertising and Promotions Managers
5.33,06/2008,Analyst,1.B.1.c,Artistic,11-2011.00,OI,Occupational Interests,Advertising and Promotions Managers
2.33,06/2008,Analyst,1.B.1.d,Social,11-2011.00,OI,Occupational Interests,Advertising and Promotions Managers
7.0,06/2008,Analyst,1.B.1.e,Enterprising,11-2011.00,OI,Occupational Interests,Advertising and Promotions Managers
4.67,06/2008,Analyst,1.B.1.f,Conventional,11-2011.00,OI,Occupational Interests,Advertising and Promotions Managers
5.0,06/2008,Analyst,1.B.1.g,First Interest High-Point,11-2011.00,IH,Occupational Interest High-Point,Advertising and Promotions Managers
3.0,06/2008,Analyst,1.B.1.h,Second Interest High-Point,11-2011.00,IH,Occupational Interest High-Point,Advertising and Promotions Managers
6.0,06/2008,Analyst,1.B.1.i,Third Interest High-Point,11-2011.00,IH,Occupational Interest High-Point,Advertising and Promotions Managers
1.0,06/2008,Analyst,1.B.1.a,Realistic,11-2021.00,OI,Occupational Interests,Marketing Managers
2.33,06/2008,Analyst,1.B.1.b,Investigative,11-2021.00,OI,Occupational Interests,Marketing Managers
3.67,06/2008,Analyst,1.B.1.c,Artistic,11-2021.00,OI,Occupational Interests,Marketing Managers
2.67,06/2008,Analyst,1.B.1.d,Social,11-2021.00,OI,Occupational Interests,Marketing Managers
7.0,06/2008,Analyst,1.B.1.e,Enterprising,11-2021.00,OI,Occupational Interests,Marketing Managers
5.33,06/2008,Analyst,1.B.1.f,Conventional,11-2021.00,OI,Occupational Interests,Marketing Managers
5.0,06/2008,Analyst,1.B.1.g,First Interest High-Point,11-2021.00,IH,Occupational Interest High-Point,Marketing Managers
6.0,06/2008,Analyst,1.B.1.h,Second Interest High-Point,11-2021.00,IH,Occupational Interest High-Point,Marketing Managers
0.0,06/2008,Analyst,1.B.1.i,Third Interest High-Point,11-2021.00,IH,Occupational Interest High-Point,Marketing Managers
3.0,06/2008,Analyst,1.B.1.a,Realistic,11-2022.00,OI,Occupational Interests,Sales Managers
2.0,06/2008,Analyst,1.B.1.b,Investigative,11-2022.00,OI,Occupational Interests,Sales Managers
2.0,06/2008,Analyst,1.B.1.c,Artistic,11-2022.00,OI,Occupational Interests,Sales Managers
3.67,06/2008,Analyst,1.B.1.d,Social,11-2022.00,OI,Occupational Interests,Sales Managers
7.0,06/2008,Analyst,1.B.1.e,Enterprising,11-2022.00,OI,Occupational Interests,Sales Managers
4.67,06/2008,Analyst,1.B.1.f,Conventional,11-2022.00,OI,Occupational Interests,Sales Managers
5.0,06/2008,Analyst,1.B.1.g,First Interest High-Point,11-2022.00,IH,Occupational Interest High-Point,Sales Managers
6.0,06/2008,Analyst,1.B.1.h,Second Interest High-Point,11-2022.00,IH,Occupational Interest High-Point,Sales Managers
0.0,06/2008,Analyst,1.B.1.i,Third Interest High-Point,11-2022.00,IH,Occupational Interest High-Point,Sales Managers
2.0,06/2008,Analyst,1.B.1.a,Realistic,11-3012.00,OI,Occupational Interests,Administrative Services Managers
2.33,06/2008,Analyst,1.B.1.b,Investigative,11-3012.00,OI,Occupational Interests,Administrative Services Managers
1.0,06/2008,Analyst,1.B.1.c,Artistic,11-3012.00,OI,Occupational Interests,Administrative Services Managers
2.67,06/2008,Analyst,1.B.1.d,Social,11-3012.00,OI,Occupational Interests,Administrative Services Managers
7.0,06/2008,Analyst,1.B.1.e,Enterprising,11-3012.00,OI,Occupational Interests,Administrative Services Managers
5.33,06/2008,Analyst,1.B.1.f,Conventional,11-3012.00,OI,Occupational Interests,Administrative Services Managers
5.0,06/2008,Analyst,1.B.1.g,First Interest High-Point,11-3012.00,IH,Occupational Interest High-Point,Administrative Services Managers
6.0,06/2008,Analyst,1.B.1.h,Second Interest High-Point,11-3012.00,IH,Occupational Interest High-Point,Administrative Services Managers
0.0,06/2008,Analyst,1.B.1.i,Third Interest High-Point,11-3012.00,IH,Occupational Interest High-Point,Administrative Services Managers
4.0,06/2008,Analyst,1.B.1.a,Realistic,11-3021.00,OI,Occupational Interests,Computer and Information Systems Managers
4.33,06/2008,Analyst,1.B.1.b,Investigative,11-3021.00,OI,Occupational Interests,Computer and Information Systems Managers
1.67,06/2008,Analyst,1.B.1.c,Artistic,11-3021.00,OI,Occupational Interests,Computer and Information Systems Managers
1.67,06/2008,Analyst,1.B.1.d,Social,11-3021.00,OI,Occupational Interests,Computer and Information Systems Managers
6.67,06/2008,Analyst,1.B.1.e,Enterprising,11-3021.00,OI,Occupational Interests,Computer and Information Systems Managers
5.33,06/2008,Analyst,1.B.1.f,Conventional,11-3021.00,OI,Occupational Interests,Computer and Information Systems Managers
5.0,06/2008,Analyst,1.B.1.g,First Interest High-Point,11-3021.00,IH,Occupational Interest High-Point,Computer and Information Systems Managers
6.0,06/2008,Analyst,1.B.1.h,Second Interest High-Point,11-3021.00,IH,Occupational Interest High-Point,Computer and Information Systems Managers
2.0,06/2008,Analyst,1.B.1.i,Third Interest High-Point,11-3021.00,IH,Occupational Interest High-Point,Computer and Information Systems Managers
1.67,11/2020,Analyst - Transition,1.B.1.a,Realistic,11-3031.00,OI,Occupational Interests,Financial Managers
1.67,11/2020,Analyst - Transition,1.B.1.b,Investigative,11-3031.00,OI,Occupational Interests,Financial Managers
1.33,11/2020,Analyst - Transition,1.B.1.c,Artistic,11-3031.00,OI,Occupational Interests,Financial Managers
3.33,11/2020,Analyst - Transition,1.B.1.d,Social,11-3031.00,OI,Occupational Interests,Financial Managers
7.0,11/2020,Analyst - Transition,1.B.1.e,Enterprising,11-3031.00,OI,Occupational Interests,Financial Managers
5.0,11/2020,Analyst - Transition,1.B.1.f,Conventional,11-3031.00,OI,Occupational Interests,Financial Managers
5.0,11/2020,Analyst - Transition,1.B.1.g,First Interest High-Point,11-3031.00,IH,Occupational Interest High-Point,Financial Managers
6.0,11/2020,Analyst - Transition,1.B.1.h,Second Interest High-Point,11-3031.00,IH,Occupational Interest High-Point,Financial Managers
4.0,11/2020,Analyst - Transition,1.B.1.i,Third Interest High-Point,11-3031.00,IH,Occupational Interest High-Point,Financial Managers
1.67,06/2008,Analyst,1.B.1.a,Realistic,11-3031.01,OI,Occupational Interests,Treasurers and Controllers
2.67,06/2008,Analyst,1.B.1.b,Investigative,11-3031.01,OI,Occupational Interests,Treasurers and Controllers
1.0,06/2008,Analyst,1.B.1.c,Artistic,11-3031.01,OI,Occupational Interests,Treasurers and Controllers
2.67,06/2008,Analyst,1.B.1.d,Social,11-3031.01,OI,Occupational Interests,Treasurers and Controllers
6.0,06/2008,Analyst,1.B.1.e,Enterprising,11-3031.01,OI,Occupational Interests,Treasurers and Controllers
7.0,06/2008,Analyst,1.B.1.f,Conventional,11-3031.01,OI,Occupational Interests,Treasurers and Controllers
6.0,06/2008,Analyst,1.B.1.g,First Interest High-Point,11-3031.01,IH,Occupational Interest High-Point,Treasurers and Controllers
5.0,06/2008,Analyst,1.B.1.h,Second Interest High-Point,11-3031.01,IH,Occupational Interest High-Point,Treasurers and Controllers
0.0,06/2008,Analyst,1.B.1.i,Third Interest High-Point,11-3031.01,IH,Occupational Interest High-Point,Treasurers and Controllers
1.0,06/2009,Analyst,1.B.1.a,Realistic,11-3031.03,OI,Occupational Interests,Investment Fund Managers
1.67,06/2009,Analyst,1.B.1.b,Investigative,11-3031.03,OI,Occupational Interests,Investment Fund Managers
1.0,06/2009,Analyst,1.B.1.c,Artistic,11-3031.03,OI,Occupational Interests,Investment Fund Managers
2.67,06/2009,Analyst,1.B.1.d,Social,11-3031.03,OI,Occupational Interests,Investment Fund Managers
7.0,06/2009,Analyst,1.B.1.e,Enterprising,11-3031.03,OI,Occupational Interests,Investment Fund Managers
4.67,06/2009,Analyst,1.B.1.f,Conventional,11-3031.03,OI,Occupational Interests,Investment Fund Managers
5.0,06/2009,Analyst,1.B.1.g,First Interest High-Point,11-3031.03,IH,Occupational Interest High-Point,Investment Fund Managers
6.0,06/2009,Analyst,1.B.1.h,Second Interest High-Point,11-3031.03,IH,Occupational Interest High-Point,Investment Fund Managers
0.0,06/2009,Analyst,1.B.1.i,Third Interest High-Point,11-3031.03,IH,Occupational Interest High-Point,Investment Fund Managers
2.67,06/2008,Analyst,1.B.1.a,Realistic,11-3051.00,OI,Occupational Interests,Industrial Production Managers
2.33,06/2008,Analyst,1.B.1.b,Investigative,11-3051.00,OI,Occupational Interests,Industrial Production Managers
1.33,06/2008,Analyst,1.B.1.c,Artistic,11-3051.00,OI,Occupational Interests,Industrial Production Managers
3.33,06/2008,Analyst,1.B.1.d,Social,11-3051.00,OI,Occupational Interests,Industrial Production Managers
7.0,06/2008,Analyst,1.B.1.e,Enterprising,11-3051.00,OI,Occupational Interests,Industrial Production Managers
6.0,06/2008,Analyst,1.B.1.f,Conventional,11-3051.00,OI,Occupational Interests,Industrial Production Managers
5.0,06/2008,Analyst,1.B.1.g,First Interest High-Point,11-3051.00,IH,Occupational Interest High-Point,Industrial Production Managers
6.0,06/2008,Analyst,1.B.1.h,Second Interest High-Point,11-3051.00,IH,Occupational Interest High-Point,Industrial Production Managers
0.0,06/2008,Analyst,1.B.1.i,Third Interest High-Point,11-3051.00,IH,Occupational Interest High-Point,Industrial Production Managers
4.33,06/2009,Analyst,1.B.1.a,Realistic,11-3051.01,OI,Occupational Interests,Quality Control Systems Managers
3.33,06/2009,Analyst,1.B.1.b,Investigative,11-3051.01,OI,Occupational Interests,Quality Control Systems Managers
1.33,06/2009,Analyst,1.B.1.c,Artistic,11-3051.01,OI,Occupational Interests,Quality Control Systems Managers
2.0,06/2009,Analyst,1.B.1.d,Social,11-3051.01,OI,Occupational Interests,Quality Control Systems Managers
7.0,06/2009,Analyst,1.B.1.e,Enterprising,11-3051.01,OI,Occupational Interests,Quality Control Systems Managers
5.67,06/2009,Analyst,1.B.1.f,Conventional,11-3051.01,OI,Occupational Interests,Quality Control Systems Managers
5.0,06/2009,Analyst,1.B.1.g,First Interest High-Point,11-3051.01,IH,Occupational Interest High-Point,Quality Control Systems Managers
6.0,06/2009,Analyst,1.B.1.h,Second Interest High-Point,11-3051.01,IH,Occupational Interest High-Point,Quality Control Systems Managers
1.0,06/2009,Analyst,1.B.1.i,Third Interest High-Point,11-3051.01,IH,Occupational Interest High-Point,Quality Control Systems Managers
3.67,07/2013,Analyst,1.B.1.a,Realistic,11-3051.02,OI,Occupational Interests,Geothermal Production Managers
3.33,07/2013,Analyst,1.B.1.b,Investigative,11-3051.02,OI,Occupational Interests,Geothermal Production Managers
2.0,07/2013,Analyst,1.B.1.c,Artistic,11-3051.02,OI,Occupational Interests,Geothermal Production Managers
1.67,07/2013,Analyst,1.B.1.d,Social,11-3051.02,OI,Occupational Interests,Geothermal Production Managers
7.0,07/2013,Analyst,1.B.1.e,Enterprising,11-3051.02,OI,Occupational Interests,Geothermal Production Managers
5.67,07/2013,Analyst,1.B.1.f,Conventional,11-3051.02,OI,Occupational Interests,Geothermal Production Managers
5.0,07/2013,Analyst,1.B.1.g,First Interest High-Point,11-3051.02,IH,Occupational Interest High-Point,Geothermal Production Managers
6.0,07/2013,Analyst,1.B.1.h,Second Interest High-Point,11-3051.02,IH,Occupational Interest High-Point,Geothermal Production Managers
0.0,07/2013,Analyst,1.B.1.i,Third Interest High-Point,11-3051.02,IH,Occupational Interest High-Point,Geothermal Production Managers
4.0,07/2013,Analyst,1.B.1.a,Realistic,11-3051.03,OI,Occupational Interests,Biofuels Production Managers
3.33,07/2013,Analyst,1.B.1.b,Investigative,11-3051.03,OI,Occupational Interests,Biofuels Production Managers
1.33,07/2013,Analyst,1.B.1.c,Artistic,11-3051.03,OI,Occupational Interests,Biofuels Production Managers
2.0,07/2013,Analyst,1.B.1.d,Social,11-3051.03,OI,Occupational Interests,Biofuels Production Managers
7.0,07/2013,Analyst,1.B.1.e,Enterprising,11-3051.03,OI,Occupational Interests,Biofuels Production Managers
5.67,07/2013,Analyst,1.B.1.f,Conventional,11-3051.03,OI,Occupational Interests,Biofuels Production Managers
5.0,07/2013,Analyst,1.B.1.g,First Interest High-Point,11-3051.03,IH,Occupational Interest High-Point,Biofuels Production Managers
6.0,07/2013,Analyst,1.B.1.h,Second Interest High-Point,11-3051.03,IH,Occupational Interest High-Point,Biofuels Production Managers
1.0,07/2013,Analyst,1.B.1.i,Third Interest High-Point,11-3051.03,IH,Occupational Interest High-Point,Biofuels Production Managers
5.0,07/2013,Analyst,1.B.1.a,Realistic,11-3051.04,OI,Occupational Interests,Biomass Power Plant Managers
3.0,07/2013,Analyst,1.B.1.b,Investigative,11-3051.04,OI,Occupational Interests,Biomass Power Plant Managers
1.33,07/2013,Analyst,1.B.1.c,Artistic,11-3051.04,OI,Occupational Interests,Biomass Power Plant Managers
2.0,07/2013,Analyst,1.B.1.d,Social,11-3051.04,OI,Occupational Interests,Biomass Power Plant Managers
7.0,07/2013,Analyst,1.B.1.e,Enterprising,11-3051.04,OI,Occupational Interests,Biomass Power Plant Managers
5.67,07/2013,Analyst,1.B.1.f,Conventional,11-3051.04,OI,Occupational Interests,Biomass Power Plant Managers
5.0,07/2013,Analyst,1.B.1.g,First Interest High-Point,11-3051.04,IH,Occupational Interest High-Point,Biomass Power Plant Managers
6.0,07/2013,Analyst,1.B.1.h,Second Interest High-Point,11-3051.04,IH,Occupational Interest High-Point,Biomass Power Plant Managers
1.0,07/2013,Analyst,1.B.1.i,Third Interest High-Point,11-3051.04,IH,Occupational Interest High-Point,Biomass Power Plant Managers
3.67,07/2013,Analyst,1.B.1.a,Realistic,11-3051.06,OI,Occupational Interests,Hydroelectric Production Managers
3.0,07/2013,Analyst,1.B.1.b,Investigative,11-3051.06,OI,Occupational Interests,Hydroelectric Production Managers
1.33,07/2013,Analyst,1.B.1.c,Artistic,11-3051.06,OI,Occupational Interests,Hydroelectric Production Managers
1.33,07/2013,Analyst,1.B.1.d,Social,11-3051.06,OI,Occupational Interests,Hydroelectric Production Managers
7.0,07/2013,Analyst,1.B.1.e,Enterprising,11-3051.06,OI,Occupational Interests,Hydroelectric Production Managers
5.67,07/2013,Analyst,1.B.1.f,Conventional,11-3051.06,OI,Occupational Interests,Hydroelectric Production Managers
5.0,07/2013,Analyst,1.B.1.g,First Interest High-Point,11-3051.06,IH,Occupational Interest High-Point,Hydroelectric Production Managers
6.0,07/2013,Analyst,1.B.1.h,Second Interest High-Point,11-3051.06,IH,Occupational Interest High-Point,Hydroelectric Production Managers
0.0,07/2013,Analyst,1.B.1.i,Third Interest High-Point,11-3051.06,IH,Occupational Interest High-Point,Hydroelectric Production Managers
2.67,06/2008,Analyst,1.B.1.a,Realistic,11-3061.00,OI,Occupational Interests,Purchasing Managers
2.0,06/2008,Analyst,1.B.1.b,Investigative,11-3061.00,OI,Occupational Interests,Purchasing Managers
1.33,06/2008,Analyst,1.B.1.c,Artistic,11-3061.00,OI,Occupational Interests,Purchasing Managers
2.67,06/2008,Analyst,1.B.1.d,Social,11-3061.00,OI,Occupational Interests,Purchasing Managers
7.0,06/2008,Analyst,1.B.1.e,Enterprising,11-3061.00,OI,Occupational Interests,Purchasing Managers
5.33,06/2008,Analyst,1.B.1.f,Conventional,11-3061.00,OI,Occupational Interests,Purchasing Managers
5.0,06/2008,Analyst,1.B.1.g,First Interest High-Point,11-3061.00,IH,Occupational Interest High-Point,Purchasing Managers
6.0,06/2008,Analyst,1.B.1.h,Second Interest High-Point,11-3061.00,IH,Occupational Interest High-Point,Purchasing Managers
0.0,06/2008,Analyst,1.B.1.i,Third Interest High-Point,11-3061.00,IH,Occupational Interest High-Point,Purchasing Managers
3.0,11/2020,Analyst - Transition,1.B.1.a,Realistic,11-3071.00,OI,Occupational Interests,"Transportation, Storage, and Distribution Managers"
1.67,11/2020,Analyst - Transition,1.B.1.b,Investigative,11-3071.00,OI,Occupational Interests,"Transportation, Storage, and Distribution Managers"
1.33,11/2020,Analyst - Transition,1.B.1.c,Artistic,11-3071.00,OI,Occupational Interests,"Transportation, Storage, and Distribution Managers"
1.89,11/2020,Analyst - Transition,1.B.1.d,Social,11-3071.00,OI,Occupational Interests,"Transportation, Storage, and Distribution Managers"
7.0,11/2020,Analyst - Transition,1.B.1.e,Enterprising,11-3071.00,OI,Occupational Interests,"Transportation, Storage, and Distribution Managers"
5.22,11/2020,Analyst - Transition,1.B.1.f,Conventional,11-3071.00,OI,Occupational Interests,"Transportation, Storage, and Distribution Managers"
5.0,11/2020,Analyst - Transition,1.B.1.g,First Interest High-Point,11-3071.00,IH,Occupational Interest High-Point,"Transportation, Storage, and Distribution Managers"
6.0,11/2020,Analyst - Transition,1.B.1.h,Second Interest High-Point,11-3071.00,IH,Occupational Interest High-Point,"Transportation, Storage, and Distribution Managers"
1.0,11/2020,Analyst - Transition,1.B.1.i,Third Interest High-Point,11-3071.00,IH,Occupational Interest High-Point,"Transportation, Storage, and Distribution Managers"
2.67,06/2009,Analyst,1.B.1.a,Realistic,11-3071.04,OI,Occupational Interests,Supply Chain Managers
2.0,06/2009,Analyst,1.B.1.b,Investigative,11-3071.04,OI,Occupational Interests,Supply Chain Managers
1.67,06/2009,Analyst,1.B.1.c,Artistic,11-3071.04,OI,Occupational Interests,Supply Chain Managers
2.33,06/2009,Analyst,1.B.1.d,Social,11-3071.04,OI,Occupational Interests,Supply Chain Managers
7.0,06/2009,Analyst,1.B.1.e,Enterprising,11-3071.04,OI,Occupational Interests,Supply Chain Managers
4.67,06/2009,Analyst,1.B.1.f,Conventional,11-3071.04,OI,Occupational Interests,Supply Chain Managers
5.0,06/2009,Analyst,1.B.1.g,First Interest High-Point,11-3071.04,IH,Occupational Interest High-Point,Supply Chain Managers
6.0,06/2009,Analyst,1.B.1.h,Second Interest High-Point,11-3071.04,IH,Occupational Interest High-Point,Supply Chain Managers
0.0,06/2009,Analyst,1.B.1.i,Third Interest High-Point,11-3071.04,IH,Occupational Interest High-Point,Supply Chain Managers
1.0,06/2008,Analyst,1.B.1.a,Realistic,11-3111.00,OI,Occupational Interests,Compensation and Benefits Managers
1.33,06/2008,Analyst,1.B.1.b,Investigative,11-3111.00,OI,Occupational Interests,Compensation and Benefits Managers
1.67,06/2008,Analyst,1.B.1.c,Artistic,11-3111.00,OI,Occupational Interests,Compensation and Benefits Managers
4.67,06/2008,Analyst,1.B.1.d,Social,11-3111.00,OI,Occupational Interests,Compensation and Benefits Managers
7.0,06/2008,Analyst,1.B.1.e,Enterprising,11-3111.00,OI,Occupational Interests,Compensation and Benefits Managers
5.33,06/2008,Analyst,1.B.1.f,Conventional,11-3111.00,OI,Occupational Interests,Compensation and Benefits Managers
5.0,06/2008,Analyst,1.B.1.g,First Interest High-Point,11-3111.00,IH,Occupational Interest High-Point,Compensation and Benefits Managers
6.0,06/2008,Analyst,1.B.1.h,Second Interest High-Point,11-3111.00,IH,Occupational Interest High-Point,Compensation and Benefits Managers
4.0,06/2008,Analyst,1.B.1.i,Third Interest High-Point,11-3111.00,IH,Occupational Interest High-Point,Compensation and Benefits Managers
1.33,06/2008,Analyst,1.B.1.a,Realistic,11-3121.00,OI,Occupational Interests,Human Resources Managers
2.33,06/2008,Analyst,1.B.1.b,Investigative,11-3121.00,OI,Occupational Interests,Human Resources Managers
2.33,06/2008,Analyst,1.B.1.c,Artistic,11-3121.00,OI,Occupational Interests,Human Resources Managers
5.67,06/2008,Analyst,1.B.1.d,Social,11-3121.00,OI,Occupational Interests,Human Resources Managers
7.0,06/2008,Analyst,1.B.1.e,Enterprising,11-3121.00,OI,Occupational Interests,Human Resources Managers
5.0,06/2008,Analyst,1.B.1.f,Conventional,11-3121.00,OI,Occupational Interests,Human Resources Managers
5.0,06/2008,Analyst,1.B.1.g,First Interest High-Point,11-3121.00,IH,Occupational Interest High-Point,Human Resources Managers
4.0,06/2008,Analyst,1.B.1.h,Second Interest High-Point,11-3121.00,IH,Occupational Interest High-Point,Human Resources Managers
6.0,06/2008,Analyst,1.B.1.i,Third Interest High-Point,11-3121.00,IH,Occupational Interest High-Point,Human Resources Managers
1.33,06/2008,Analyst,1.B.1.a,Realistic,11-3131.00,OI,Occupational Interests,Training and Development Managers
2.0,06/2008,Analyst,1.B.1.b,Investigative,11-3131.00,OI,Occupational Interests,Training and Development Managers
3.67,06/2008,Analyst,1.B.1.c,Artistic,11-3131.00,OI,Occupational Interests,Training and Development Managers
6.0,06/2008,Analyst,1.B.1.d,Social,11-3131.00,OI,Occupational Interests,Training and Development Managers
7.0,06/2008,Analyst,1.B.1.e,Enterprising,11-3131.00,OI,Occupational Interests,Training and Development Managers
4.0,06/2008,Analyst,1.B.1.f,Conventional,11-3131.00,OI,Occupational Interests,Training and Development Managers
5.0,06/2008,Analyst,1.B.1.g,First Interest High-Point,11-3131.00,IH,Occupational Interest High-Point,Training and Development Managers
4.0,06/2008,Analyst,1.B.1.h,Second Interest High-Point,11-3131.00,IH,Occupational Interest High-Point,Training and Development Managers
0.0,06/2008,Analyst,1.B.1.i,Third Interest High-Point,11-3131.00,IH,Occupational Interest High-Point,Training and Development Managers
6.22,11/2020,Analyst - Transition,1.B.1.a,Realistic,11-9013.00,OI,Occupational Interests,"Farmers, Ranchers, and Other Agricultural Managers"
2.89,11/2020,Analyst - Transition,1.B.1.b,Investigative,11-9013.00,OI,Occupational Interests,"Farmers, Ranchers, and Other Agricultural Managers"
1.89,11/2020,Analyst - Transition,1.B.1.c,Artistic,11-9013.00,OI,Occupational Interests,"Farmers, Ranchers, and Other Agricultural Managers"
2.0,11/2020,Analyst - Transition,1.B.1.d,Social,11-9013.00,OI,Occupational Interests,"Farmers, Ranchers, and Other Agricultural Managers"
7.0,11/2020,Analyst - Transition,1.B.1.e,Enterprising,11-9013.00,OI,Occupational Interests,"Farmers, Ranchers, and Other Agricultural Managers"
4.78,11/2020,Analyst - Transition,1.B.1.f,Conventional,11-9013.00,OI,Occupational Interests,"Farmers, Ranchers, and Other Agricultural Managers"
5.0,11/2020,Analyst - Transition,1.B.1.g,First Interest High-Point,11-9013.00,IH,Occupational Interest High-Point,"Farmers, Ranchers, and Other Agricultural Managers"
1.0,11/2020,Analyst - Transition,1.B.1.h,Second Interest High-Point,11-9013.00,IH,Occupational Interest High-Point,"Farmers, Ranchers, and Other Agricultural Managers"
6.0,11/2020,Analyst - Transition,1.B.1.i,Third Interest High-Point,11-9013.00,IH,Occupational Interest High-Point,"Farmers, Ranchers, and Other Agricultural Managers"
5.67,06/2008,Analyst,1.B.1.a,Realistic,11-9021.00,OI,Occupational Interests,Construction Managers
2.0,06/2008,Analyst,1.B.1.b,Investigative,11-9021.00,OI,Occupational Interests,Construction Managers
1.33,06/2008,Analyst,1.B.1.c,Artistic,11-9021.00,OI,Occupational Interests,Construction Managers
2.0,06/2008,Analyst,1.B.1.d,Social,11-9021.00,OI,Occupational Interests,Construction Managers
7.0,06/2008,Analyst,1.B.1.e,Enterprising,11-9021.00,OI,Occupational Interests,Construction Managers
4.67,06/2008,Analyst,1.B.1.f,Conventional,11-9021.00,OI,Occupational Interests,Construction Managers
5.0,06/2008,Analyst,1.B.1.g,First Interest High-Point,11-9021.00,IH,Occupational Interest High-Point,Construction Managers
1.0,06/2008,Analyst,1.B.1.h,Second Interest High-Point,11-9021.00,IH,Occupational Interest High-Point,Construction Managers
6.0,06/2008,Analyst,1.B.1.i,Third Interest High-Point,11-9021.00,IH,Occupational Interest High-Point,Construction Managers
1.0,06/2008,Analyst,1.B.1.a,Realistic,11-9031.00,OI,Occupational Interests,"Education and Childcare Administrators, Preschool and Daycare"
