onet_soc_2019_code,onet_soc_2019_description,onet_soc_2019_title
17-3027.01,"Assist engineers in determining the practicality of proposed product design changes and plan and carry out tests on experimental test devices or equipment for performance, durability, or efficiency.",Automotive Engineering Technicians
17-3029.01,"Test the safety of structures, vehicles, or vessels using x-ray, ultrasound, fiber optic or related equipment.",Non-Destructive Testing Specialists
17-3029.08,"Build, install, test, or maintain optical or fiber optic equipment, such as lasers, lenses, or mirrors, using spectrometers, interferometers, or related equipment.",Photonics Technicians
19-1029.01,"Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.",Bioinformatics Scientists
19-1029.02,Research and study cellular molecules and organelles to understand cell function and organization.,Molecular and Cellular Biologists
19-1029.03,"Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders.",Geneticists
19-1029.04,"Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.",Biologists
19-1031.02,"Research or study range land management practices to provide sustained production of forage, livestock, and wildlife.",Range Managers
19-1031.03,"Plan, develop, and conduct programs to inform public of historical, natural, and scientific features of national, state, or local park.",Park Naturalists
19-2041.01,"Research and analyze policy developments related to climate change. Make climate-related recommendations for actions such as legislation, awareness campaigns, or fundraising approaches.",Climate Change Policy Analysts
19-2041.02,"Collaborate with field and biology staff to oversee the implementation of restoration projects and to develop new products. Process and synthesize complex scientific data into practical strategies for restoration, monitoring or management.",Environmental Restoration Planners
19-2041.03,Apply principles and processes of natural ecosystems to develop models for efficient industrial systems. Use knowledge from the physical and social sciences to maximize effective use of natural resources in the production and use of goods and services. Examine societal issues and their relationship with both technical systems and the environment.,Industrial Ecologists
19-2099.01,"Apply remote sensing principles and methods to analyze data and solve problems in areas such as natural resource management, urban planning, or homeland security. May develop new sensor systems, analytical techniques, or new applications for existing systems.",Remote Sensing Scientists and Technologists
19-3011.01,"Conduct economic analysis related to environmental protection and use of the natural environment, such as water, air, land, and renewable energy resources. Evaluate and quantify benefits, costs, incentives, and impacts of alternative options using economic principles and statistical techniques.",Environmental Economists
19-3039.02,"Apply theories and principles of neuropsychology to evaluate and diagnose disorders of higher cerebral functioning, often in research and medical settings. Study the human brain and the effect of physiological states on human cognition and behavior. May formulate and administer programs of treatment.",Neuropsychologists
19-3039.03,"Assess and diagnose patients with neurobehavioral problems related to acquired or developmental disorders of the nervous system, such as neurodegenerative disorders, traumatic brain injury, seizure disorders, and learning disabilities. Recommend treatment after diagnosis, such as therapy, medication, or surgery. Assist with evaluation before and after neurosurgical procedures, such as deep brain stimulation.",Clinical Neuropsychologists
19-3099.01,"Prepare studies for proposed transportation projects. Gather, compile, and analyze data. Study the use and operation of transportation systems. Develop transportation models or simulations.",Transportation Planners
19-4012.01,"Apply geospatial technologies, including geographic information systems (GIS) and Global Positioning System (GPS), to agricultural production or management activities, such as pest scouting, site-specific pesticide application, yield mapping, or variable-rate irrigation. May use computers to develop or analyze maps or remote sensing images to compare physical topography with data on soils, fertilizer, pests, or weather.",Precision Agriculture Technicians
19-4051.02,"Collect and test samples to monitor results of nuclear experiments and contamination of humans, facilities, and environment.",Nuclear Monitoring Technicians
19-4099.01,"Conduct tests to determine quality of raw materials, bulk intermediate and finished products. May conduct stability sample tests.",Quality Control Analysts
19-4099.03,"Apply remote sensing technologies to assist scientists in areas such as natural resources, urban planning, or homeland security. May prepare flight plans or sensor configurations for flight trips.",Remote Sensing Technicians
25-2059.01,"Provide individualized physical education instruction or services to children, youth, or adults with exceptional physical needs due to gross motor developmental delays or other impairments.",Adapted Physical Education Specialists
27-2012.03,"Direct and coordinate activities of personnel engaged in preparation of radio or television station program schedules and programs, such as sports or news.",Media Programming Directors
27-2012.04,"Audition and interview performers to select most appropriate talent for parts in stage, television, radio, or motion picture productions.",Talent Directors
27-2012.05,"Coordinate activities of technical departments, such as taping, editing, engineering, and maintenance, to produce radio or television programs.",Media Technical Directors/Managers
27-3043.05,"Create original written works, such as scripts, essays, prose, poetry or song lyrics, for publication or performance.","Poets, Lyricists and Creative Writers"
29-1071.01,Assist anesthesiologists in the administration of anesthesia for surgical and non-surgical procedures. Monitor patient status and provide patient care during surgical treatment.,Anesthesiologist Assistants
29-1122.01,"Provide therapy to patients with visual impairments to improve their functioning in daily life activities. May train patients in activities such as computer use, communication skills, or home management skills.","Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
29-1129.01,"Plan or conduct art therapy sessions or programs to improve clients' physical, cognitive, or emotional well-being.",Art Therapists
29-1129.02,"Plan, organize, direct, or assess clinical and evidenced-based music therapy interventions to positively influence individuals' physical, psychological, cognitive, or behavioral status.",Music Therapists
29-1141.01,"Provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock. May care for pre- and post-operative patients or perform advanced, invasive diagnostic or therapeutic procedures.",Acute Care Nurses
29-1141.02,"Assess, diagnose, and treat individuals and families with mental health or substance use disorders or the potential for such disorders. Apply therapeutic activities, including the prescription of medication, per state regulations, and the administration of psychotherapy.",Advanced Practice Psychiatric Nurses
29-1141.03,Provide specialized nursing care for patients in critical or coronary care units.,Critical Care Nurses
29-1141.04,"Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards.",Clinical Nurse Specialists
29-1229.01,"Diagnose, treat, and help prevent allergic diseases and disease processes affecting the immune system.",Allergists and Immunologists
29-1229.02,"Provide inpatient care predominantly in settings such as medical wards, acute care units, intensive care units, rehabilitation centers, or emergency rooms. Manage and coordinate patient care throughout treatment.",Hospitalists
29-1229.03,"Diagnose, treat, and help prevent benign and malignant medical and surgical disorders of the genitourinary system and the renal glands.",Urologists
29-1229.04,"Diagnose and treat disorders requiring physiotherapy to provide physical, mental, and occupational rehabilitation.",Physical Medicine and Rehabilitation Physicians
29-1229.05,"Apply knowledge of general preventive medicine and public health issues to promote health care to groups or individuals, and aid in the prevention or reduction of risk of disease, injury, disability, or death. May practice population-based medicine or diagnose and treat patients in the context of clinical health promotion and disease prevention.",Preventive Medicine Physicians
29-1229.06,"Diagnose, treat, and help prevent injuries that occur during sporting events, athletic training, and physical activities.",Sports Medicine Physicians
29-1299.01,"Diagnose, treat, and help prevent diseases using a system of practice that is based on the natural healing capacity of individuals. May use physiological, psychological or mechanical methods. May also use natural medicines, prescription or legend drugs, foods, herbs, or other natural remedies.",Naturopathic Physicians
29-1299.02,Diagnose and treat visual system disorders such as binocular vision and eye movement impairments.,Orthoptists
29-2011.01,"Analyze chromosomes or chromosome segments found in biological specimens, such as amniotic fluids, bone marrow, solid tumors, and blood to aid in the study, diagnosis, classification, or treatment of inherited or acquired genetic diseases. Conduct analyses through classical cytogenetic, fluorescent in situ hybridization (FISH) or array comparative genome hybridization (aCGH) techniques.",Cytogenetic Technologists
29-2011.02,"Stain, mount, and study cells to detect evidence of cancer, hormonal abnormalities, and other pathological conditions following established standards and practices.",Cytotechnologists
29-2011.04,Apply knowledge of health and disease causes to evaluate new laboratory techniques and procedures to examine tissue samples. Process and prepare histological slides from tissue sections for microscopic examination and diagnosis by pathologists. May solve technical or instrument problems or assist with research studies.,Histotechnologists
29-2012.01,Prepare histological slides from tissue sections for microscopic examination and diagnosis by pathologists.  May assist with research studies.,Histology Technicians
29-2099.01,"Conduct electroneurodiagnostic (END) tests such as electroencephalograms, evoked potentials, polysomnograms, or electronystagmograms. May perform nerve conduction studies.",Neurodiagnostic Technologists
29-2099.05,"Assist ophthalmologists by performing ophthalmic clinical functions and ophthalmic photography. Provide instruction and supervision to other ophthalmic personnel. Assist with minor surgical procedures, applying aseptic techniques and preparing instruments. May perform eye exams, administer eye medications, and instruct patients in care and use of corrective lenses.",Ophthalmic Medical Technologists
29-2099.08,"Assist patients in obtaining services, understanding policies and making health care decisions.",Patient Representatives
29-9099.01,Provide prenatal care and childbirth assistance.,Midwives
31-9099.01,"Assist speech-language pathologists in the assessment and treatment of speech, language, voice, and fluency disorders. Implement speech and language programs or activities as planned and directed by speech-language pathologists. Monitor the use of alternative communication devices and systems.",Speech-Language Pathology Assistants
31-9099.02,Maintain a sterile field to provide support for physicians and nurses during endoscopy procedures. Prepare and maintain instruments and equipment. May obtain specimens.,Endoscopy Technicians
33-3021.02,"Collect evidence at crime scene, classify and identify fingerprints, and photograph evidence for use in criminal and civil cases.",Police Identification and Records Officers
33-3021.06,"Gather, analyze, or evaluate information from a variety of sources, such as law enforcement databases, surveillance, intelligence networks or geographic information systems. Use intelligence data to anticipate and prevent organized crime activities, such as terrorism.",Intelligence Analysts
33-3051.04,"Investigate and inspect persons, common carriers, goods, and merchandise, arriving in or departing from the United States or between states to detect violations of immigration and customs laws and regulations.",Customs and Border Protection Officers
33-9099.02,"Implement procedures and systems to prevent merchandise loss. Conduct audits and investigations of employee activity. May assist in developing policies, procedures, and systems for safeguarding assets.",Retail Loss Prevention Specialists
35-3023.01,Prepare or serve specialty coffee or other beverages. Serve food such as baked goods or sandwiches to patrons.,Baristas
39-9011.01,"Care for children in private households and provide support and expertise to parents in satisfying children's physical, emotional, intellectual, and social needs. Duties may include meal planning and preparation, laundry and clothing care, organization of play activities and outings, discipline, intellectual stimulation, language activities, and transportation.",Nannies
41-4011.07,"Contact new or existing customers to determine their solar equipment needs, suggest systems or equipment, or estimate costs.",Solar Sales Representatives and Assessors
43-5011.01,"Research rates, routings, or modes of transport for shipment of products. Maintain awareness of regulations affecting the international movement of cargo. Make arrangements for additional services, such as storage or inland transportation.",Freight Forwarders
47-1011.03,Direct work crews installing residential or commercial solar photovoltaic or thermal systems.,Solar Energy Installation Managers
47-2152.04,"Install or repair solar energy systems designed to collect, store, and circulate solar-heated water for residential, commercial or industrial use.",Solar Thermal Installers and Technicians
47-4011.01,"Conduct energy audits of buildings, building systems, or process systems. May also conduct investment grade audits of buildings or systems.",Energy Auditors
47-4099.03,"Perform a variety of activities to weatherize homes and make them more energy efficient. Duties include repairing windows, insulating ducts, and performing heating, ventilating, and air-conditioning (HVAC) work. May perform energy audits and advise clients on energy conservation measures.",Weatherization Installers and Technicians
49-9099.01,"Perform technical activities at power plants or individual installations necessary for the generation of power from geothermal energy sources. Monitor and control operating activities at geothermal power generation facilities and perform maintenance and repairs as necessary. Install, test, and maintain residential and commercial geothermal heat pumps.",Geothermal Technicians
51-8013.03,Control and monitor biomass plant activities and perform maintenance as needed.,Biomass Plant Technicians
51-8013.04,"Monitor and control activities associated with hydropower generation. Operate plant equipment, such as turbines, pumps, valves, gates, fans, electric control boards, and battery banks. Monitor equipment operation and performance and make necessary adjustments to ensure optimal performance. Perform equipment maintenance and repair as necessary.",Hydroelectric Plant Technicians
51-8099.01,"Calculate, measure, load, mix, and process refined feedstock with additives in fermentation or reaction process vessels and monitor production process. Perform, and keep records of, plant maintenance, repairs, and safety inspections.",Biofuels Processing Technicians
51-9071.06,"Fabricate, finish, or evaluate the quality of gems and diamonds used in jewelry or industrial tools.",Gem and Diamond Workers
51-9195.03,Cut or carve stone according to diagrams and patterns.,"Stone Cutters and Carvers, Manufacturing"
51-9195.04,Shape molten glass according to patterns.,"Glass Blowers, Molders, Benders, and Finishers"
51-9195.05,"Operate production machines such as pug mill, jigger machine, or potter's wheel to process clay in manufacture of ceramic, pottery and stoneware products.","Potters, Manufacturing"
53-1042.01,Supervise curbside and drop-off recycling programs for municipal governments or private firms.,Recycling Coordinators
53-6051.01,"Inspect aircraft, maintenance procedures, air navigational aids, air traffic controls, and communications equipment to ensure conformance with Federal safety regulations.",Aviation Inspectors
53-6051.07,"Inspect and monitor transportation equipment, vehicles, or systems to ensure compliance with regulations and safety standards.","Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
53-7062.04,Prepare and sort materials or products for recycling. Identify and remove hazardous substances. Dismantle components of products such as appliances.,Recycling and Reclamation Workers
