commodity_code,commodity_title,example,hot_technology,in_demand,onet_soc_code,title
43232306,Data base user interface and query software,Microsoft Access,Y,N,11-1011.03,Chief Sustainability Officers
43231602,Enterprise resource planning ERP software,Microsoft Dynamics GP,N,N,11-1011.03,Chief Sustainability Officers
43232110,Spreadsheet software,Microsoft Excel,Y,Y,11-1011.03,Chief Sustainability Officers
43231513,Office suite software,Microsoft Office software,Y,Y,11-1011.03,Chief Sustainability Officers
43233501,Electronic mail software,Microsoft Outlook,Y,Y,11-1011.03,Chief Sustainability Officers
43232106,Presentation software,Microsoft PowerPoint,Y,Y,11-1011.03,Chief Sustainability Officers
43231507,Project management software,Microsoft Project,Y,N,11-1011.03,Chief Sustainability Officers
43233513,Cloud-based data access and sharing software,Microsoft SharePoint,Y,N,11-1011.03,Chief Sustainability Officers
43232104,Word processing software,Microsoft Word,Y,N,11-1011.03,Chief Sustainability Officers
43232303,Customer relationship management CRM software,Salesforce software,N,N,11-1011.03,Chief Sustainability Officers
43231602,Enterprise resource planning ERP software,SAP software,Y,N,11-1011.03,Chief Sustainability Officers
43232108,Calendar and scheduling software,Scheduling software,N,N,11-1011.03,Chief Sustainability Officers
43232306,Data base user interface and query software,Structure query language SQL,N,N,11-1011.03,Chief Sustainability Officers
43232314,Business intelligence and data analysis software,Tableau,Y,N,11-1011.03,Chief Sustainability Officers
43233502,Video conferencing software,Teleconferencing software,N,N,11-1011.03,Chief Sustainability Officers
43232705,Internet browser software,Web browser software,N,N,11-1011.03,Chief Sustainability Officers
43232303,Customer relationship management CRM software,Act!,N,N,11-1021.00,General and Operations Managers
43232303,Customer relationship management CRM software,ActionWare,N,N,11-1021.00,General and Operations Managers
43232202,Document management software,Adobe Systems Adobe Acrobat,Y,N,11-1021.00,General and Operations Managers
43232102,Graphics or photo imaging software,Adobe Systems Adobe Creative Cloud software,Y,N,11-1021.00,General and Operations Managers
43232102,Graphics or photo imaging software,Adobe Systems Adobe Photoshop,Y,N,11-1021.00,General and Operations Managers
43231505,Human resources software,ADP Workforce Now,N,N,11-1021.00,General and Operations Managers
43232306,Data base user interface and query software,Airtable,N,N,11-1021.00,General and Operations Managers
43232306,Data base user interface and query software,Amazon Web Services AWS software,Y,N,11-1021.00,General and Operations Managers
43232303,Customer relationship management CRM software,AMG Teleran SalesInSync,N,N,11-1021.00,General and Operations Managers
43232304,Data base management system software,Apache Hadoop,Y,N,11-1021.00,General and Operations Managers
43232103,Video creation and editing software,Apple Final Cut Pro,N,N,11-1021.00,General and Operations Managers
43232106,Presentation software,Apple Keynote,N,N,11-1021.00,General and Operations Managers
43233004,Operating system software,Apple macOS,Y,N,11-1021.00,General and Operations Managers
43231507,Project management software,Atlassian Confluence,Y,N,11-1021.00,General and Operations Managers
43232201,Content workflow software,Atlassian JIRA,Y,N,11-1021.00,General and Operations Managers
43232604,Computer aided design CAD software,Autodesk AutoCAD,Y,N,11-1021.00,General and Operations Managers
43232303,Customer relationship management CRM software,Avidian Technologies Prophet,N,N,11-1021.00,General and Operations Managers
43232303,Customer relationship management CRM software,Blackbaud The Raiser's Edge,N,N,11-1021.00,General and Operations Managers
43232306,Data base user interface and query software,Blackboard software,N,N,11-1021.00,General and Operations Managers
43232310,Metadata management software,CA Erwin Data Modeler,N,N,11-1021.00,General and Operations Managers
43232108,Calendar and scheduling software,Calendar and scheduling software,N,N,11-1021.00,General and Operations Managers
43232901,Access software,Citrix cloud computing software,N,N,11-1021.00,General and Operations Managers
43232612,Computer aided manufacturing CAM software,CNC Mastercam,N,N,11-1021.00,General and Operations Managers
43232612,Computer aided manufacturing CAM software,Computer aided manufacturing CAM software,N,N,11-1021.00,General and Operations Managers
43232313,Transaction server software,Customer information control system CICS,N,N,11-1021.00,General and Operations Managers
43232306,Data base user interface and query software,Database software,N,N,11-1021.00,General and Operations Managers
43232307,Data mining software,Datawatch Monarch,N,N,11-1021.00,General and Operations Managers
43231602,Enterprise resource planning ERP software,Deacom ERP,N,N,11-1021.00,General and Operations Managers
43231604,Financial analysis software,Delphi Technology,N,N,11-1021.00,General and Operations Managers
43233513,Cloud-based data access and sharing software,Dropbox,N,N,11-1021.00,General and Operations Managers
43232610,Medical software,Dynamic Energy Systems MedAct,N,N,11-1021.00,General and Operations Managers
43232702,Desktop communications software,Eko,N,N,11-1021.00,General and Operations Managers
43232104,Word processing software,Evernote,N,N,11-1021.00,General and Operations Managers
43232403,Enterprise application integration software,Extensible markup language XML,Y,N,11-1021.00,General and Operations Managers
43232107,Web page creation and editing software,Facebook,Y,N,11-1021.00,General and Operations Managers
43232306,Data base user interface and query software,FileMaker Pro,N,N,11-1021.00,General and Operations Managers
43232103,Video creation and editing software,Flipgrid,N,N,11-1021.00,General and Operations Managers
43231601,Accounting software,Fund accounting software,N,N,11-1021.00,General and Operations Managers
43232510,Geographic information system,Geographic information system GIS software,N,N,11-1021.00,General and Operations Managers
43231514,Sales and marketing software,Google Ads,N,N,11-1021.00,General and Operations Managers
43232307,Data mining software,Google Analytics,N,N,11-1021.00,General and Operations Managers
43232104,Word processing software,Google Docs,Y,N,11-1021.00,General and Operations Managers
43233513,Cloud-based data access and sharing software,Google Drive,N,N,11-1021.00,General and Operations Managers
43232106,Presentation software,Google Slides,N,N,11-1021.00,General and Operations Managers
43233504,Instant messaging software,GroupMe,N,N,11-1021.00,General and Operations Managers
43232303,Customer relationship management CRM software,HEAT Software GoldMine,N,N,11-1021.00,General and Operations Managers
43231514,Sales and marketing software,HubSpot software,Y,N,11-1021.00,General and Operations Managers
43231505,Human resources software,Human resource management software HRMS,N,N,11-1021.00,General and Operations Managers
43231505,Human resources software,Human resources software,N,N,11-1021.00,General and Operations Managers
43232314,Business intelligence and data analysis software,IBM Cognos Impromptu,N,N,11-1021.00,General and Operations Managers
43232902,Communications server software,IBM Domino,N,N,11-1021.00,General and Operations Managers
43232403,Enterprise application integration software,IBM InfoSphere DataStage,N,N,11-1021.00,General and Operations Managers
43233501,Electronic mail software,IBM Notes,N,N,11-1021.00,General and Operations Managers
43233701,Enterprise system management software,IBM Power Systems software,N,N,11-1021.00,General and Operations Managers
43232605,Analytical or scientific software,IBM SPSS Statistics,Y,N,11-1021.00,General and Operations Managers
43232603,Facilities management software,InnQuest Software roomMaster,N,N,11-1021.00,General and Operations Managers
43231601,Accounting software,Intuit QuickBooks,Y,N,11-1021.00,General and Operations Managers
43231508,Inventory management software,Inventory management software,N,N,11-1021.00,General and Operations Managers
43233004,Operating system software,Job control language JCL,N,N,11-1021.00,General and Operations Managers
43231605,Time accounting software,Kronos Workforce Payroll,N,N,11-1021.00,General and Operations Managers
43231605,Time accounting software,Kronos Workforce Timekeeper,Y,N,11-1021.00,General and Operations Managers
43232309,Information retrieval or search software,LexisNexis,N,N,11-1021.00,General and Operations Managers
43232107,Web page creation and editing software,LinkedIn,Y,N,11-1021.00,General and Operations Managers
43231506,Materials requirements planning logistics and supply chain software,LSA Visual Easy Lean,N,N,11-1021.00,General and Operations Managers
43231514,Sales and marketing software,Marketo Marketing Automation,Y,N,11-1021.00,General and Operations Managers
43232303,Customer relationship management CRM software,Maximizer Software Maximizer Enterprise,N,N,11-1021.00,General and Operations Managers
43233205,Transaction security and virus protection software,McAfee,N,N,11-1021.00,General and Operations Managers
43232610,Medical software,Medical condition coding software,N,N,11-1021.00,General and Operations Managers
43232306,Data base user interface and query software,Microsoft Access,Y,N,11-1021.00,General and Operations Managers
43231602,Enterprise resource planning ERP software,Microsoft Dynamics,Y,N,11-1021.00,General and Operations Managers
43231602,Enterprise resource planning ERP software,Microsoft Dynamics GP,N,N,11-1021.00,General and Operations Managers
43232110,Spreadsheet software,Microsoft Excel,Y,Y,11-1021.00,General and Operations Managers
43233501,Electronic mail software,Microsoft Exchange,N,N,11-1021.00,General and Operations Managers
43232107,Web page creation and editing software,Microsoft FrontPage,N,N,11-1021.00,General and Operations Managers
43232705,Internet browser software,Microsoft Internet Explorer,N,N,11-1021.00,General and Operations Managers
43231513,Office suite software,Microsoft Office software,Y,Y,11-1021.00,General and Operations Managers
43232104,Word processing software,Microsoft OneNote,N,N,11-1021.00,General and Operations Managers
43233501,Electronic mail software,Microsoft Outlook,Y,Y,11-1021.00,General and Operations Managers
43232106,Presentation software,Microsoft PowerPoint,Y,Y,11-1021.00,General and Operations Managers
43231507,Project management software,Microsoft Project,Y,N,11-1021.00,General and Operations Managers
43232112,Desktop publishing software,Microsoft Publisher,N,N,11-1021.00,General and Operations Managers
43233513,Cloud-based data access and sharing software,Microsoft SharePoint,Y,N,11-1021.00,General and Operations Managers
43232306,Data base user interface and query software,Microsoft SQL Server,Y,N,11-1021.00,General and Operations Managers
43231518,Process mapping and design software,Microsoft Visio,Y,N,11-1021.00,General and Operations Managers
43232402,Development environment software,Microsoft Visual Basic,Y,N,11-1021.00,General and Operations Managers
43232402,Development environment software,Microsoft Visual Basic for Applications VBA,Y,N,11-1021.00,General and Operations Managers
43233004,Operating system software,Microsoft Windows,Y,N,11-1021.00,General and Operations Managers
43232104,Word processing software,Microsoft Word,Y,N,11-1021.00,General and Operations Managers
43232314,Business intelligence and data analysis software,MicroStrategy,Y,N,11-1021.00,General and Operations Managers
43232605,Analytical or scientific software,Minitab,N,N,11-1021.00,General and Operations Managers
43232705,Internet browser software,Mozilla Firefox,N,N,11-1021.00,General and Operations Managers
43233501,Electronic mail software,Mozilla Thunderbird,N,N,11-1021.00,General and Operations Managers
43232801,Network monitoring software,Nagios,N,N,11-1021.00,General and Operations Managers
43231602,Enterprise resource planning ERP software,NetSuite ERP,N,N,11-1021.00,General and Operations Managers
43232303,Customer relationship management CRM software,NetSuite NetCRM,N,N,11-1021.00,General and Operations Managers
43233205,Transaction security and virus protection software,NortonLifeLock cybersecurity software,N,N,11-1021.00,General and Operations Managers
43232314,Business intelligence and data analysis software,Oracle Business Intelligence Enterprise Edition,N,N,11-1021.00,General and Operations Managers
43232306,Data base user interface and query software,Oracle Database,Y,N,11-1021.00,General and Operations Managers
43231604,Financial analysis software,Oracle E-Business Suite Financials,N,N,11-1021.00,General and Operations Managers
43232303,Customer relationship management CRM software,Oracle Eloqua,N,N,11-1021.00,General and Operations Managers
43231602,Enterprise resource planning ERP software,Oracle Fusion Applications,N,N,11-1021.00,General and Operations Managers
43231602,Enterprise resource planning ERP software,Oracle Hyperion,N,N,11-1021.00,General and Operations Managers
43231602,Enterprise resource planning ERP software,Oracle JD Edwards EnterpriseOne,N,N,11-1021.00,General and Operations Managers
43231602,Enterprise resource planning ERP software,Oracle PeopleSoft,N,N,11-1021.00,General and Operations Managers
43231602,Enterprise resource planning ERP software,Oracle PeopleSoft Financials,N,N,11-1021.00,General and Operations Managers
43231507,Project management software,Oracle Primavera Enterprise Project Portfolio Management,Y,N,11-1021.00,General and Operations Managers
43233004,Operating system software,Oracle Solaris,N,N,11-1021.00,General and Operations Managers
43231505,Human resources software,Oracle Taleo,N,N,11-1021.00,General and Operations Managers
43231605,Time accounting software,Payroll software,N,N,11-1021.00,General and Operations Managers
43231505,Human resources software,Personnel scheduling software,N,N,11-1021.00,General and Operations Managers
43232611,Point of sale POS software,Point of sale POS software,N,N,11-1021.00,General and Operations Managers
43232311,Object oriented data base management software,PostgreSQL,Y,N,11-1021.00,General and Operations Managers
43232401,Configuration management software,Puppet,Y,N,11-1021.00,General and Operations Managers
43232314,Business intelligence and data analysis software,Qlik Tech QlikView,Y,N,11-1021.00,General and Operations Managers
43232405,Object or component oriented development software,R,Y,N,11-1021.00,General and Operations Managers
43231507,Project management software,Realization Streamliner,N,N,11-1021.00,General and Operations Managers
43231601,Accounting software,Sage 50 Accounting,N,N,11-1021.00,General and Operations Managers
43231604,Financial analysis software,Sage MAS 500,N,N,11-1021.00,General and Operations Managers
43232303,Customer relationship management CRM software,Salesforce software,N,N,11-1021.00,General and Operations Managers
43232303,Customer relationship management CRM software,Salesforce.com Salesforce CRM,N,N,11-1021.00,General and Operations Managers
43231602,Enterprise resource planning ERP software,SAP Business Objects,N,N,11-1021.00,General and Operations Managers
43232305,Data base reporting software,SAP Crystal Reports,N,N,11-1021.00,General and Operations Managers
43231602,Enterprise resource planning ERP software,SAP software,Y,N,11-1021.00,General and Operations Managers
43232605,Analytical or scientific software,SAS,Y,N,11-1021.00,General and Operations Managers
43232306,Data base user interface and query software,Savant MobileRanger,N,N,11-1021.00,General and Operations Managers
43232103,Video creation and editing software,Screencastify,N,N,11-1021.00,General and Operations Managers
43232705,Internet browser software,SeaMonkey,N,N,11-1021.00,General and Operations Managers
43233004,Operating system software,Shell script,Y,N,11-1021.00,General and Operations Managers
43232612,Computer aided manufacturing CAM software,Siemens NX,N,N,11-1021.00,General and Operations Managers
43233513,Cloud-based data access and sharing software,Slack,Y,N,11-1021.00,General and Operations Managers
43232107,Web page creation and editing software,Social media sites,N,N,11-1021.00,General and Operations Managers
43232303,Customer relationship management CRM software,Software on Sailboats Desktop Sales Manager,N,N,11-1021.00,General and Operations Managers
43232806,Cloud-based management software,Splunk Enterprise,Y,N,11-1021.00,General and Operations Managers
43232605,Analytical or scientific software,StataCorp Stata,N,N,11-1021.00,General and Operations Managers
43232306,Data base user interface and query software,Structured query language SQL,Y,N,11-1021.00,General and Operations Managers
43232303,Customer relationship management CRM software,Sugar CRM,N,N,11-1021.00,General and Operations Managers
43232608,Industrial control software,Supervisory control and data acquisition SCADA software,N,N,11-1021.00,General and Operations Managers
43232314,Business intelligence and data analysis software,Tableau,Y,N,11-1021.00,General and Operations Managers
43231601,Accounting software,Tax software,N,N,11-1021.00,General and Operations Managers
43232304,Data base management system software,Teradata Database,Y,N,11-1021.00,General and Operations Managers
43232605,Analytical or scientific software,The MathWorks MATLAB,Y,N,11-1021.00,General and Operations Managers
43232303,Customer relationship management CRM software,Vanguard Software Vanguard Sales Manager,N,N,11-1021.00,General and Operations Managers
43233415,Backup or archival software,Veritas NetBackup,N,N,11-1021.00,General and Operations Managers
43232303,Customer relationship management CRM software,vtiger CRM,N,N,11-1021.00,General and Operations Managers
43232306,Data base user interface and query software,Yardi software,Y,N,11-1021.00,General and Operations Managers
43232103,Video creation and editing software,YouTube,N,N,11-1021.00,General and Operations Managers
43232202,Document management software,Adobe Systems Adobe Acrobat,Y,N,11-1031.00,Legislators
43232112,Desktop publishing software,Adobe Systems Adobe FrameMaker,N,N,11-1031.00,Legislators
43232112,Desktop publishing software,Antenna House,N,N,11-1031.00,Legislators
43232106,Presentation software,Apple iWork Keynote,N,N,11-1031.00,Legislators
43232104,Word processing software,Apple iWork Pages,N,N,11-1031.00,Legislators
43232110,Spreadsheet software,Apple Numbers for Mac,N,N,11-1031.00,Legislators
43232901,Access software,Cisco AnyConnect,N,N,11-1031.00,Legislators
43233502,Video conferencing software,Cisco Webex,Y,N,11-1031.00,Legislators
43231513,Office suite software,Corel WordPerfect Office Suite,N,N,11-1031.00,Legislators
43232104,Word processing software,GoodReader,N,N,11-1031.00,Legislators
43232104,Word processing software,iAnnotate,N,N,11-1031.00,Legislators
43232902,Communications server software,IBM Domino,N,N,11-1031.00,Legislators
43232306,Data base user interface and query software,Legislative Automative Workflow System LAWS,N,N,11-1031.00,Legislators
43233502,Video conferencing software,LogMeIn GoToMeeting,N,N,11-1031.00,Legislators
43233506,Map creation software,Mapping software,N,N,11-1031.00,Legislators
43232108,Calendar and scheduling software,Meeting scheduling software,N,N,11-1031.00,Legislators
43232306,Data base user interface and query software,Microsoft Access,Y,N,11-1031.00,Legislators
43232110,Spreadsheet software,Microsoft Excel,Y,N,11-1031.00,Legislators
43233501,Electronic mail software,Microsoft Exchange,N,N,11-1031.00,Legislators
43231513,Office suite software,Microsoft Office software,Y,N,11-1031.00,Legislators
43233501,Electronic mail software,Microsoft Outlook,Y,N,11-1031.00,Legislators
43233513,Cloud-based data access and sharing software,Microsoft SharePoint,Y,N,11-1031.00,Legislators
43232306,Data base user interface and query software,Microsoft SQL Server,Y,N,11-1031.00,Legislators
43232402,Development environment software,Microsoft Visual Basic,Y,N,11-1031.00,Legislators
43232104,Word processing software,Microsoft Word,Y,N,11-1031.00,Legislators
43232104,Word processing software,Penultimate,N,N,11-1031.00,Legislators
43232104,Word processing software,PTC Arbortext,N,N,11-1031.00,Legislators
43232112,Desktop publishing software,Rocket/Folio NXT,N,N,11-1031.00,Legislators
43232306,Data base user interface and query software,Structured query language SQL,Y,N,11-1031.00,Legislators
43232705,Internet browser software,Web browser software,N,N,11-1031.00,Legislators
43232005,Music or sound editing software,Windows Media Player,N,N,11-1031.00,Legislators
43232104,Word processing software,XMetaL Author,N,N,11-1031.00,Legislators
43232314,Business intelligence and data analysis software,Actuate BIRT,N,N,11-2011.00,Advertising and Promotions Managers
43232202,Document management software,Adobe Systems Adobe Acrobat,Y,N,11-2011.00,Advertising and Promotions Managers
43232202,Document management software,Adobe Systems Adobe Acrobat Reader,N,N,11-2011.00,Advertising and Promotions Managers
43232103,Video creation and editing software,Adobe Systems Adobe After Effects,Y,N,11-2011.00,Advertising and Promotions Managers
43232402,Development environment software,Adobe Systems Adobe Creative Suite,N,N,11-2011.00,Advertising and Promotions Managers
43232107,Web page creation and editing software,Adobe Systems Adobe Dreamweaver,N,N,11-2011.00,Advertising and Promotions Managers
43232107,Web page creation and editing software,Adobe Systems Adobe Experience Manager (AEM),N,N,11-2011.00,Advertising and Promotions Managers
43232102,Graphics or photo imaging software,Adobe Systems Adobe Illustrator,Y,N,11-2011.00,Advertising and Promotions Managers
43232112,Desktop publishing software,Adobe Systems Adobe InDesign,Y,N,11-2011.00,Advertising and Promotions Managers
43232112,Desktop publishing software,Adobe Systems Adobe PageMaker,N,N,11-2011.00,Advertising and Promotions Managers
43232102,Graphics or photo imaging software,Adobe Systems Adobe Photoshop,Y,Y,11-2011.00,Advertising and Promotions Managers
43232103,Video creation and editing software,Adobe Systems Adobe Premiere Pro,N,N,11-2011.00,Advertising and Promotions Managers
43232305,Data base reporting software,AdRelevance,N,N,11-2011.00,Advertising and Promotions Managers
43232103,Video creation and editing software,Apple Final Cut Pro,N,N,11-2011.00,Advertising and Promotions Managers
43232103,Video creation and editing software,Apple iMovie,N,N,11-2011.00,Advertising and Promotions Managers
43232103,Video creation and editing software,Avid Media Composer,N,N,11-2011.00,Advertising and Promotions Managers
43231602,Enterprise resource planning ERP software,Brainworks,N,N,11-2011.00,Advertising and Promotions Managers
43232605,Analytical or scientific software,Business analysis software,N,N,11-2011.00,Advertising and Promotions Managers
43232303,Customer relationship management CRM software,Constant Contact,N,N,11-2011.00,Advertising and Promotions Managers
43232303,Customer relationship management CRM software,Customer relationship management CRM software,N,N,11-2011.00,Advertising and Promotions Managers
43232605,Analytical or scientific software,Data visualization software,N,N,11-2011.00,Advertising and Promotions Managers
43232202,Document management software,Data warehousing software,N,N,11-2011.00,Advertising and Promotions Managers
43232306,Data base user interface and query software,Database software,N,N,11-2011.00,Advertising and Promotions Managers
43232408,Web platform development software,Drupal,Y,N,11-2011.00,Advertising and Promotions Managers
43233501,Electronic mail software,Email software,N,N,11-2011.00,Advertising and Promotions Managers
43231507,Project management software,Experience in Software Webplanner,N,N,11-2011.00,Advertising and Promotions Managers
43232403,Enterprise application integration software,Extensible markup language XML,Y,N,11-2011.00,Advertising and Promotions Managers
43232107,Web page creation and editing software,Facebook,Y,N,11-2011.00,Advertising and Promotions Managers
43231514,Sales and marketing software,Google Ads,N,N,11-2011.00,Advertising and Promotions Managers
43232605,Analytical or scientific software,Google Analytics,N,N,11-2011.00,Advertising and Promotions Managers
43232314,Business intelligence and data analysis software,Google DoubleClick,N,N,11-2011.00,Advertising and Promotions Managers
43232403,Enterprise application integration software,Hootsuite,N,N,11-2011.00,Advertising and Promotions Managers
43231514,Sales and marketing software,HubSpot software,Y,N,11-2011.00,Advertising and Promotions Managers
43232408,Web platform development software,Hypertext markup language HTML,Y,Y,11-2011.00,Advertising and Promotions Managers
43233501,Electronic mail software,IBM Lotus Notes,N,N,11-2011.00,Advertising and Promotions Managers
43231508,Inventory management software,Inventory tracking software,N,N,11-2011.00,Advertising and Promotions Managers
43232408,Web platform development software,JavaScript,Y,N,11-2011.00,Advertising and Promotions Managers
43232107,Web page creation and editing software,LinkedIn,Y,N,11-2011.00,Advertising and Promotions Managers
43233501,Electronic mail software,MailChimp,N,N,11-2011.00,Advertising and Promotions Managers
43231514,Sales and marketing software,Marketo Marketing Automation,Y,N,11-2011.00,Advertising and Promotions Managers
43232303,Customer relationship management CRM software,MarketSharp,N,N,11-2011.00,Advertising and Promotions Managers
43232306,Data base user interface and query software,Microsoft Access,Y,N,11-2011.00,Advertising and Promotions Managers
43231602,Enterprise resource planning ERP software,Microsoft Dynamics,Y,N,11-2011.00,Advertising and Promotions Managers
43232306,Data base user interface and query software,Microsoft Dynamics Marketing,N,N,11-2011.00,Advertising and Promotions Managers
43232110,Spreadsheet software,Microsoft Excel,Y,Y,11-2011.00,Advertising and Promotions Managers
43231513,Office suite software,Microsoft Office software,Y,Y,11-2011.00,Advertising and Promotions Managers
43233501,Electronic mail software,Microsoft Outlook,Y,Y,11-2011.00,Advertising and Promotions Managers
43232106,Presentation software,Microsoft PowerPoint,Y,Y,11-2011.00,Advertising and Promotions Managers
43231507,Project management software,Microsoft Project,Y,N,11-2011.00,Advertising and Promotions Managers
43232112,Desktop publishing software,Microsoft Publisher,N,N,11-2011.00,Advertising and Promotions Managers
43233513,Cloud-based data access and sharing software,Microsoft SharePoint,Y,N,11-2011.00,Advertising and Promotions Managers
43232304,Data base management system software,Microsoft SQL Server,Y,N,11-2011.00,Advertising and Promotions Managers
43233004,Operating system software,Microsoft Windows,Y,N,11-2011.00,Advertising and Promotions Managers
43232104,Word processing software,Microsoft Word,Y,Y,11-2011.00,Advertising and Promotions Managers
43232303,Customer relationship management CRM software,Oracle Eloqua,N,N,11-2011.00,Advertising and Promotions Managers
43232306,Data base user interface and query software,PaloAlto Advertising Plan Pro,N,N,11-2011.00,Advertising and Promotions Managers
43232309,Information retrieval or search software,Pinterest,N,N,11-2011.00,Advertising and Promotions Managers
43232112,Desktop publishing software,Quark enterprise publishing software,N,N,11-2011.00,Advertising and Promotions Managers
43232605,Analytical or scientific software,Relex Weibull,N,N,11-2011.00,Advertising and Promotions Managers
43232303,Customer relationship management CRM software,Salesforce software,N,N,11-2011.00,Advertising and Promotions Managers
43231602,Enterprise resource planning ERP software,SAP software,Y,N,11-2011.00,Advertising and Promotions Managers
43232108,Calendar and scheduling software,Scheduling software,N,N,11-2011.00,Advertising and Promotions Managers
43232107,Web page creation and editing software,Social media software,N,N,11-2011.00,Advertising and Promotions Managers
43232306,Data base user interface and query software,Structure query language SQL,N,N,11-2011.00,Advertising and Promotions Managers
43232314,Business intelligence and data analysis software,Tableau,Y,N,11-2011.00,Advertising and Promotions Managers
43233504,Instant messaging software,Twitter,N,N,11-2011.00,Advertising and Promotions Managers
43232103,Video creation and editing software,Vimeo,N,N,11-2011.00,Advertising and Promotions Managers
43232705,Internet browser software,Web browser software,N,N,11-2011.00,Advertising and Promotions Managers
43232605,Analytical or scientific software,WebTrends Analytics,N,N,11-2011.00,Advertising and Promotions Managers
43231514,Sales and marketing software,Webtrends software,N,N,11-2011.00,Advertising and Promotions Managers
