data_value,date,domain_source,element_id,element_name,lower_ci_bound,n,onet_soc_code,recommend_suppress,scale_id,scale_name,standard_error,title,upper_ci_bound
4.15,08/2021,Occupational Expert,1.C.4.a,Self-Control,4.46,27,11-1011.03,N,IM,Importance,0.12,Chief Sustainability Officers,4.95
3.96,08/2021,Occupational Expert,1.C.4.b,Stress Tolerance,4.46,27,11-1011.03,N,IM,Importance,0.12,Chief Sustainability Officers,4.95
4.48,08/2021,Occupational Expert,1.C.4.c,Adaptability/Flexibility,4.46,27,11-1011.03,N,IM,Importance,0.12,Chief Sustainability Officers,4.95
4.19,08/2021,Occupational Expert,1.C.5.a,Dependability,4.46,27,11-1011.03,N,IM,Importance,0.12,Chief Sustainability Officers,4.95
3.89,08/2021,Occupational Expert,1.C.5.b,Attention to Detail,4.46,27,11-1011.03,N,IM,Importance,0.12,Chief Sustainability Officers,4.95
4.56,08/2021,Occupational Expert,1.C.5.c,Integrity,4.46,27,11-1011.03,N,IM,Importance,0.12,Chief Sustainability Officers,4.95
4.26,08/2021,Occupational Expert,1.C.6,Independence,4.46,27,11-1011.03,N,IM,Importance,0.12,Chief Sustainability Officers,4.95
4.48,08/2021,Occupational Expert,1.C.7.a,Innovation,4.46,27,11-1011.03,N,IM,Importance,0.12,Chief Sustainability Officers,4.95
4.52,08/2021,Occupational Expert,1.C.7.b,Analytical Thinking,4.46,27,11-1011.03,N,IM,Importance,0.12,Chief Sustainability Officers,4.95
4.29,08/2023,Incumbent,1.C.1.a,Achievement/Effort,3.98,28,11-1021.00,N,IM,Importance,0.15,General and Operations Managers,4.59
4.17,08/2023,Incumbent,1.C.1.b,Persistence,3.82,28,11-1021.00,N,IM,Importance,0.17,General and Operations Managers,4.52
4.47,08/2023,Incumbent,1.C.1.c,Initiative,4.2,28,11-1021.00,N,IM,Importance,0.14,General and Operations Managers,4.75
4.6,08/2023,Incumbent,1.C.2.b,Leadership,4.27,28,11-1021.00,N,IM,Importance,0.16,General and Operations Managers,4.93
4.41,08/2023,Incumbent,1.C.3.a,Cooperation,4.12,28,11-1021.00,N,IM,Importance,0.14,General and Operations Managers,4.71
4.28,08/2023,Incumbent,1.C.3.b,Concern for Others,3.92,28,11-1021.00,N,IM,Importance,0.17,General and Operations Managers,4.63
3.89,08/2023,Incumbent,1.C.3.c,Social Orientation,3.37,28,11-1021.00,N,IM,Importance,0.25,General and Operations Managers,4.4
4.35,08/2023,Incumbent,1.C.4.a,Self-Control,3.97,28,11-1021.00,N,IM,Importance,0.19,General and Operations Managers,4.74
4.44,08/2023,Incumbent,1.C.4.b,Stress Tolerance,4.09,28,11-1021.00,N,IM,Importance,0.17,General and Operations Managers,4.79
4.35,08/2023,Incumbent,1.C.4.c,Adaptability/Flexibility,4.0,28,11-1021.00,N,IM,Importance,0.17,General and Operations Managers,4.69
4.83,08/2023,Incumbent,1.C.5.a,Dependability,4.62,28,11-1021.00,N,IM,Importance,0.1,General and Operations Managers,5.0
4.74,08/2023,Incumbent,1.C.5.b,Attention to Detail,4.48,27,11-1021.00,N,IM,Importance,0.13,General and Operations Managers,4.99
4.84,08/2023,Incumbent,1.C.5.c,Integrity,4.64,28,11-1021.00,N,IM,Importance,0.1,General and Operations Managers,5.0
4.14,08/2023,Incumbent,1.C.6,Independence,3.73,28,11-1021.00,N,IM,Importance,0.2,General and Operations Managers,4.54
4.13,08/2023,Incumbent,1.C.7.a,Innovation,3.73,28,11-1021.00,N,IM,Importance,0.19,General and Operations Managers,4.52
4.17,08/2023,Incumbent,1.C.7.b,Analytical Thinking,3.68,28,11-1021.00,N,IM,Importance,0.23,General and Operations Managers,4.65
4.1,08/2018,Incumbent,1.C.1.a,Achievement/Effort,3.77,27,11-2011.00,N,IM,Importance,0.16,Advertising and Promotions Managers,4.43
4.32,08/2018,Incumbent,1.C.1.b,Persistence,4.0,27,11-2011.00,N,IM,Importance,0.16,Advertising and Promotions Managers,4.65
4.56,08/2018,Incumbent,1.C.1.c,Initiative,4.34,27,11-2011.00,N,IM,Importance,0.11,Advertising and Promotions Managers,4.78
4.03,08/2018,Incumbent,1.C.2.b,Leadership,3.64,27,11-2011.00,N,IM,Importance,0.19,Advertising and Promotions Managers,4.41
4.51,08/2018,Incumbent,1.C.3.a,Cooperation,4.19,27,11-2011.00,N,IM,Importance,0.16,Advertising and Promotions Managers,4.82
3.81,08/2018,Incumbent,1.C.3.b,Concern for Others,3.39,27,11-2011.00,N,IM,Importance,0.21,Advertising and Promotions Managers,4.24
3.7,08/2018,Incumbent,1.C.3.c,Social Orientation,3.21,27,11-2011.00,N,IM,Importance,0.24,Advertising and Promotions Managers,4.2
4.18,08/2018,Incumbent,1.C.4.a,Self-Control,3.77,26,11-2011.00,N,IM,Importance,0.2,Advertising and Promotions Managers,4.6
4.35,08/2018,Incumbent,1.C.4.b,Stress Tolerance,4.04,27,11-2011.00,N,IM,Importance,0.15,Advertising and Promotions Managers,4.66
4.42,08/2018,Incumbent,1.C.4.c,Adaptability/Flexibility,4.13,27,11-2011.00,N,IM,Importance,0.14,Advertising and Promotions Managers,4.72
4.51,08/2018,Incumbent,1.C.5.a,Dependability,4.22,27,11-2011.00,N,IM,Importance,0.14,Advertising and Promotions Managers,4.8
4.48,08/2018,Incumbent,1.C.5.b,Attention to Detail,4.2,27,11-2011.00,N,IM,Importance,0.14,Advertising and Promotions Managers,4.76
4.17,08/2018,Incumbent,1.C.5.c,Integrity,3.83,27,11-2011.00,N,IM,Importance,0.16,Advertising and Promotions Managers,4.51
4.04,08/2018,Incumbent,1.C.6,Independence,3.74,27,11-2011.00,N,IM,Importance,0.15,Advertising and Promotions Managers,4.35
3.99,08/2018,Incumbent,1.C.7.a,Innovation,3.61,27,11-2011.00,N,IM,Importance,0.18,Advertising and Promotions Managers,4.37
3.88,08/2018,Incumbent,1.C.7.b,Analytical Thinking,3.56,27,11-2011.00,N,IM,Importance,0.15,Advertising and Promotions Managers,4.19
4.32,07/2015,Incumbent,1.C.1.a,Achievement/Effort,4.1,37,11-2021.00,N,IM,Importance,0.11,Marketing Managers,4.55
4.23,07/2015,Incumbent,1.C.1.b,Persistence,3.88,37,11-2021.00,N,IM,Importance,0.17,Marketing Managers,4.59
4.53,07/2015,Incumbent,1.C.1.c,Initiative,4.01,37,11-2021.00,N,IM,Importance,0.26,Marketing Managers,5.0
4.37,07/2015,Incumbent,1.C.2.b,Leadership,3.98,37,11-2021.00,N,IM,Importance,0.19,Marketing Managers,4.75
4.08,07/2015,Incumbent,1.C.3.a,Cooperation,3.68,37,11-2021.00,N,IM,Importance,0.2,Marketing Managers,4.48
3.37,07/2015,Incumbent,1.C.3.b,Concern for Others,2.89,36,11-2021.00,N,IM,Importance,0.23,Marketing Managers,3.84
3.8,07/2015,Incumbent,1.C.3.c,Social Orientation,3.37,37,11-2021.00,N,IM,Importance,0.21,Marketing Managers,4.23
3.87,07/2015,Incumbent,1.C.4.a,Self-Control,3.48,37,11-2021.00,N,IM,Importance,0.19,Marketing Managers,4.26
4.01,07/2015,Incumbent,1.C.4.b,Stress Tolerance,3.57,37,11-2021.00,N,IM,Importance,0.22,Marketing Managers,4.46
4.31,07/2015,Incumbent,1.C.4.c,Adaptability/Flexibility,4.04,37,11-2021.00,N,IM,Importance,0.14,Marketing Managers,4.59
4.35,07/2015,Incumbent,1.C.5.a,Dependability,4.0,37,11-2021.00,N,IM,Importance,0.17,Marketing Managers,4.7
4.32,07/2015,Incumbent,1.C.5.b,Attention to Detail,3.99,37,11-2021.00,N,IM,Importance,0.16,Marketing Managers,4.64
4.17,07/2015,Incumbent,1.C.5.c,Integrity,3.82,37,11-2021.00,N,IM,Importance,0.17,Marketing Managers,4.52
3.88,07/2015,Incumbent,1.C.6,Independence,3.54,37,11-2021.00,N,IM,Importance,0.17,Marketing Managers,4.22
4.15,07/2015,Incumbent,1.C.7.a,Innovation,3.86,37,11-2021.00,N,IM,Importance,0.14,Marketing Managers,4.44
4.0,07/2015,Incumbent,1.C.7.b,Analytical Thinking,3.69,37,11-2021.00,N,IM,Importance,0.15,Marketing Managers,4.3
4.35,07/2016,Occupational Expert,1.C.1.a,Achievement/Effort,3.69,23,11-2022.00,N,IM,Importance,0.15,Sales Managers,4.3
4.48,07/2016,Occupational Expert,1.C.1.b,Persistence,3.69,23,11-2022.00,N,IM,Importance,0.15,Sales Managers,4.3
4.78,07/2016,Occupational Expert,1.C.1.c,Initiative,3.69,23,11-2022.00,N,IM,Importance,0.15,Sales Managers,4.3
4.57,07/2016,Occupational Expert,1.C.2.b,Leadership,3.69,23,11-2022.00,N,IM,Importance,0.15,Sales Managers,4.3
4.35,07/2016,Occupational Expert,1.C.3.a,Cooperation,3.69,23,11-2022.00,N,IM,Importance,0.15,Sales Managers,4.3
3.74,07/2016,Occupational Expert,1.C.3.b,Concern for Others,3.69,23,11-2022.00,N,IM,Importance,0.15,Sales Managers,4.3
3.83,07/2016,Occupational Expert,1.C.3.c,Social Orientation,3.69,23,11-2022.00,N,IM,Importance,0.15,Sales Managers,4.3
4.3,07/2016,Occupational Expert,1.C.4.a,Self-Control,3.69,23,11-2022.00,N,IM,Importance,0.15,Sales Managers,4.3
4.52,07/2016,Occupational Expert,1.C.4.b,Stress Tolerance,3.69,23,11-2022.00,N,IM,Importance,0.15,Sales Managers,4.3
4.57,07/2016,Occupational Expert,1.C.4.c,Adaptability/Flexibility,3.69,23,11-2022.00,N,IM,Importance,0.15,Sales Managers,4.3
4.57,07/2016,Occupational Expert,1.C.5.a,Dependability,3.69,23,11-2022.00,N,IM,Importance,0.15,Sales Managers,4.3
4.09,07/2016,Occupational Expert,1.C.5.b,Attention to Detail,3.69,23,11-2022.00,N,IM,Importance,0.15,Sales Managers,4.3
4.64,07/2016,Occupational Expert,1.C.5.c,Integrity,3.69,22,11-2022.00,N,IM,Importance,0.15,Sales Managers,4.3
4.3,07/2016,Occupational Expert,1.C.6,Independence,3.69,23,11-2022.00,N,IM,Importance,0.15,Sales Managers,4.3
4.13,07/2016,Occupational Expert,1.C.7.a,Innovation,3.69,23,11-2022.00,N,IM,Importance,0.15,Sales Managers,4.3
4.14,07/2016,Occupational Expert,1.C.7.b,Analytical Thinking,3.69,22,11-2022.00,N,IM,Importance,0.15,Sales Managers,4.3
3.97,07/2017,Incumbent,1.C.1.a,Achievement/Effort,3.8,45,11-3012.00,N,IM,Importance,0.09,Administrative Services Managers,4.14
3.98,07/2017,Incumbent,1.C.1.b,Persistence,3.71,45,11-3012.00,N,IM,Importance,0.13,Administrative Services Managers,4.25
4.24,07/2017,Incumbent,1.C.1.c,Initiative,4.07,44,11-3012.00,N,IM,Importance,0.09,Administrative Services Managers,4.41
3.95,07/2017,Incumbent,1.C.2.b,Leadership,3.48,45,11-3012.00,N,IM,Importance,0.23,Administrative Services Managers,4.42
4.3,07/2017,Incumbent,1.C.3.a,Cooperation,4.11,45,11-3012.00,N,IM,Importance,0.09,Administrative Services Managers,4.48
4.03,07/2017,Incumbent,1.C.3.b,Concern for Others,3.57,45,11-3012.00,N,IM,Importance,0.23,Administrative Services Managers,4.5
3.65,07/2017,Incumbent,1.C.3.c,Social Orientation,3.31,45,11-3012.00,N,IM,Importance,0.17,Administrative Services Managers,4.0
4.53,07/2017,Incumbent,1.C.4.a,Self-Control,4.28,44,11-3012.00,N,IM,Importance,0.13,Administrative Services Managers,4.78
4.44,07/2017,Incumbent,1.C.4.b,Stress Tolerance,4.15,45,11-3012.00,N,IM,Importance,0.14,Administrative Services Managers,4.73
4.19,07/2017,Incumbent,1.C.4.c,Adaptability/Flexibility,4.02,45,11-3012.00,N,IM,Importance,0.09,Administrative Services Managers,4.37
4.69,07/2017,Incumbent,1.C.5.a,Dependability,4.5,45,11-3012.00,N,IM,Importance,0.09,Administrative Services Managers,4.88
4.34,07/2017,Incumbent,1.C.5.b,Attention to Detail,4.11,45,11-3012.00,N,IM,Importance,0.12,Administrative Services Managers,4.57
4.73,07/2017,Incumbent,1.C.5.c,Integrity,4.54,45,11-3012.00,N,IM,Importance,0.09,Administrative Services Managers,4.92
4.11,07/2017,Incumbent,1.C.6,Independence,3.89,45,11-3012.00,N,IM,Importance,0.11,Administrative Services Managers,4.34
3.85,07/2017,Incumbent,1.C.7.a,Innovation,3.66,45,11-3012.00,N,IM,Importance,0.09,Administrative Services Managers,4.04
4.04,07/2017,Incumbent,1.C.7.b,Analytical Thinking,3.8,45,11-3012.00,N,IM,Importance,0.12,Administrative Services Managers,4.28
3.91,07/2016,Incumbent,1.C.1.a,Achievement/Effort,3.45,26,11-3021.00,N,IM,Importance,0.22,Computer and Information Systems Managers,4.37
4.03,07/2016,Incumbent,1.C.1.b,Persistence,3.67,26,11-3021.00,N,IM,Importance,0.17,Computer and Information Systems Managers,4.38
4.36,07/2016,Incumbent,1.C.1.c,Initiative,4.05,26,11-3021.00,N,IM,Importance,0.15,Computer and Information Systems Managers,4.67
4.15,07/2016,Incumbent,1.C.2.b,Leadership,3.57,26,11-3021.00,N,IM,Importance,0.29,Computer and Information Systems Managers,4.74
4.33,07/2016,Incumbent,1.C.3.a,Cooperation,3.95,26,11-3021.00,N,IM,Importance,0.18,Computer and Information Systems Managers,4.71
3.71,07/2016,Incumbent,1.C.3.b,Concern for Others,2.98,26,11-3021.00,N,IM,Importance,0.36,Computer and Information Systems Managers,4.44
3.69,07/2016,Incumbent,1.C.3.c,Social Orientation,2.88,26,11-3021.00,N,IM,Importance,0.4,Computer and Information Systems Managers,4.51
4.1,07/2016,Incumbent,1.C.4.a,Self-Control,3.75,26,11-3021.00,N,IM,Importance,0.17,Computer and Information Systems Managers,4.46
4.16,07/2016,Incumbent,1.C.4.b,Stress Tolerance,3.7,26,11-3021.00,N,IM,Importance,0.22,Computer and Information Systems Managers,4.63
4.19,07/2016,Incumbent,1.C.4.c,Adaptability/Flexibility,3.95,26,11-3021.00,N,IM,Importance,0.12,Computer and Information Systems Managers,4.44
4.54,07/2016,Incumbent,1.C.5.a,Dependability,4.28,26,11-3021.00,N,IM,Importance,0.13,Computer and Information Systems Managers,4.79
4.67,07/2016,Incumbent,1.C.5.b,Attention to Detail,4.4,25,11-3021.00,N,IM,Importance,0.13,Computer and Information Systems Managers,4.93
4.67,07/2016,Incumbent,1.C.5.c,Integrity,4.39,26,11-3021.00,N,IM,Importance,0.13,Computer and Information Systems Managers,4.94
3.8,07/2016,Incumbent,1.C.6,Independence,3.43,26,11-3021.00,N,IM,Importance,0.18,Computer and Information Systems Managers,4.17
3.7,07/2016,Incumbent,1.C.7.a,Innovation,3.29,26,11-3021.00,N,IM,Importance,0.2,Computer and Information Systems Managers,4.12
4.25,07/2016,Incumbent,1.C.7.b,Analytical Thinking,3.91,26,11-3021.00,N,IM,Importance,0.17,Computer and Information Systems Managers,4.6
4.06,08/2022,Incumbent,1.C.1.a,Achievement/Effort,3.8,17,11-3031.00,N,IM,Importance,0.12,Financial Managers,4.31
3.92,08/2022,Incumbent,1.C.1.b,Persistence,3.78,17,11-3031.00,N,IM,Importance,0.07,Financial Managers,4.07
4.07,08/2022,Incumbent,1.C.1.c,Initiative,3.92,17,11-3031.00,N,IM,Importance,0.07,Financial Managers,4.23
4.47,08/2022,Incumbent,1.C.2.b,Leadership,4.27,17,11-3031.00,N,IM,Importance,0.1,Financial Managers,4.68
4.47,08/2022,Incumbent,1.C.3.a,Cooperation,4.28,17,11-3031.00,N,IM,Importance,0.09,Financial Managers,4.66
4.31,08/2022,Incumbent,1.C.3.b,Concern for Others,3.84,17,11-3031.00,N,IM,Importance,0.22,Financial Managers,4.78
3.99,08/2022,Incumbent,1.C.3.c,Social Orientation,3.42,17,11-3031.00,N,IM,Importance,0.27,Financial Managers,4.56
4.09,08/2022,Incumbent,1.C.4.a,Self-Control,3.49,17,11-3031.00,N,IM,Importance,0.28,Financial Managers,4.69
4.2,08/2022,Incumbent,1.C.4.b,Stress Tolerance,3.92,16,11-3031.00,N,IM,Importance,0.13,Financial Managers,4.47
4.16,08/2022,Incumbent,1.C.4.c,Adaptability/Flexibility,3.93,17,11-3031.00,N,IM,Importance,0.11,Financial Managers,4.39
4.33,08/2022,Incumbent,1.C.5.a,Dependability,3.97,17,11-3031.00,N,IM,Importance,0.17,Financial Managers,4.69
4.68,08/2022,Incumbent,1.C.5.b,Attention to Detail,4.44,17,11-3031.00,N,IM,Importance,0.11,Financial Managers,4.91
4.55,08/2022,Incumbent,1.C.5.c,Integrity,4.01,17,11-3031.00,N,IM,Importance,0.25,Financial Managers,5.0
4.06,08/2022,Incumbent,1.C.6,Independence,3.48,17,11-3031.00,N,IM,Importance,0.28,Financial Managers,4.65
3.73,08/2022,Incumbent,1.C.7.a,Innovation,3.4,17,11-3031.00,N,IM,Importance,0.16,Financial Managers,4.06
4.19,08/2022,Incumbent,1.C.7.b,Analytical Thinking,3.94,17,11-3031.00,N,IM,Importance,0.12,Financial Managers,4.45
4.32,08/2020,Occupational Expert,1.C.1.a,Achievement/Effort,3.94,25,11-3031.01,N,IM,Importance,0.12,Treasurers and Controllers,4.45
4.52,08/2020,Occupational Expert,1.C.1.b,Persistence,3.94,25,11-3031.01,N,IM,Importance,0.12,Treasurers and Controllers,4.45
4.48,08/2020,Occupational Expert,1.C.1.c,Initiative,3.94,25,11-3031.01,N,IM,Importance,0.12,Treasurers and Controllers,4.45
4.36,08/2020,Occupational Expert,1.C.2.b,Leadership,3.94,25,11-3031.01,N,IM,Importance,0.12,Treasurers and Controllers,4.45
4.32,08/2020,Occupational Expert,1.C.3.a,Cooperation,3.94,25,11-3031.01,N,IM,Importance,0.12,Treasurers and Controllers,4.45
3.64,08/2020,Occupational Expert,1.C.3.b,Concern for Others,3.94,25,11-3031.01,N,IM,Importance,0.12,Treasurers and Controllers,4.45
3.52,08/2020,Occupational Expert,1.C.3.c,Social Orientation,3.94,25,11-3031.01,N,IM,Importance,0.12,Treasurers and Controllers,4.45
4.2,08/2020,Occupational Expert,1.C.4.a,Self-Control,3.94,25,11-3031.01,N,IM,Importance,0.12,Treasurers and Controllers,4.45
4.52,08/2020,Occupational Expert,1.C.4.b,Stress Tolerance,3.94,25,11-3031.01,N,IM,Importance,0.12,Treasurers and Controllers,4.45
4.4,08/2020,Occupational Expert,1.C.4.c,Adaptability/Flexibility,3.94,25,11-3031.01,N,IM,Importance,0.12,Treasurers and Controllers,4.45
4.76,08/2020,Occupational Expert,1.C.5.a,Dependability,3.94,25,11-3031.01,N,IM,Importance,0.12,Treasurers and Controllers,4.45
4.83,08/2020,Occupational Expert,1.C.5.b,Attention to Detail,3.94,24,11-3031.01,N,IM,Importance,0.12,Treasurers and Controllers,4.45
5.0,08/2020,Occupational Expert,1.C.5.c,Integrity,3.94,24,11-3031.01,N,IM,Importance,0.12,Treasurers and Controllers,4.45
4.08,08/2020,Occupational Expert,1.C.6,Independence,3.94,25,11-3031.01,N,IM,Importance,0.12,Treasurers and Controllers,4.45
3.71,08/2020,Occupational Expert,1.C.7.a,Innovation,3.94,24,11-3031.01,N,IM,Importance,0.12,Treasurers and Controllers,4.45
4.62,08/2020,Occupational Expert,1.C.7.b,Analytical Thinking,3.94,24,11-3031.01,N,IM,Importance,0.12,Treasurers and Controllers,4.45
4.56,07/2014,Incumbent,1.C.1.a,Achievement/Effort,4.2,24,11-3031.03,N,IM,Importance,0.17,Investment Fund Managers,4.91
4.52,07/2014,Incumbent,1.C.1.b,Persistence,4.17,24,11-3031.03,N,IM,Importance,0.17,Investment Fund Managers,4.87
4.49,07/2014,Incumbent,1.C.1.c,Initiative,4.06,24,11-3031.03,N,IM,Importance,0.21,Investment Fund Managers,4.92
3.99,07/2014,Incumbent,1.C.2.b,Leadership,3.51,24,11-3031.03,N,IM,Importance,0.23,Investment Fund Managers,4.46
4.15,07/2014,Incumbent,1.C.3.a,Cooperation,3.83,25,11-3031.03,N,IM,Importance,0.15,Investment Fund Managers,4.46
3.04,07/2014,Incumbent,1.C.3.b,Concern for Others,2.76,25,11-3031.03,N,IM,Importance,0.14,Investment Fund Managers,3.33
3.08,07/2014,Incumbent,1.C.3.c,Social Orientation,2.68,25,11-3031.03,N,IM,Importance,0.2,Investment Fund Managers,3.49
4.06,07/2014,Incumbent,1.C.4.a,Self-Control,3.77,25,11-3031.03,N,IM,Importance,0.14,Investment Fund Managers,4.36
4.61,07/2014,Incumbent,1.C.4.b,Stress Tolerance,4.35,25,11-3031.03,N,IM,Importance,0.13,Investment Fund Managers,4.88
3.75,07/2014,Incumbent,1.C.4.c,Adaptability/Flexibility,3.38,25,11-3031.03,N,IM,Importance,0.18,Investment Fund Managers,4.13
4.5,07/2014,Incumbent,1.C.5.a,Dependability,4.18,25,11-3031.03,N,IM,Importance,0.16,Investment Fund Managers,4.82
4.39,07/2014,Incumbent,1.C.5.b,Attention to Detail,4.13,25,11-3031.03,N,IM,Importance,0.12,Investment Fund Managers,4.65
4.92,07/2014,Incumbent,1.C.5.c,Integrity,4.82,25,11-3031.03,N,IM,Importance,0.05,Investment Fund Managers,5.0
3.7,07/2014,Incumbent,1.C.6,Independence,3.24,25,11-3031.03,N,IM,Importance,0.22,Investment Fund Managers,4.16
3.35,07/2014,Incumbent,1.C.7.a,Innovation,3.07,25,11-3031.03,N,IM,Importance,0.13,Investment Fund Managers,3.62
4.79,07/2014,Incumbent,1.C.7.b,Analytical Thinking,4.6,25,11-3031.03,N,IM,Importance,0.09,Investment Fund Managers,4.98
4.12,08/2021,Incumbent,1.C.1.a,Achievement/Effort,3.95,34,11-3051.00,N,IM,Importance,0.08,Industrial Production Managers,4.28
4.19,08/2021,Incumbent,1.C.1.b,Persistence,3.98,34,11-3051.00,N,IM,Importance,0.1,Industrial Production Managers,4.4
4.31,08/2021,Incumbent,1.C.1.c,Initiative,4.04,34,11-3051.00,N,IM,Importance,0.13,Industrial Production Managers,4.57
4.49,08/2021,Incumbent,1.C.2.b,Leadership,4.19,34,11-3051.00,N,IM,Importance,0.15,Industrial Production Managers,4.8
4.29,08/2021,Incumbent,1.C.3.a,Cooperation,4.03,34,11-3051.00,N,IM,Importance,0.13,Industrial Production Managers,4.55
4.1,08/2021,Incumbent,1.C.3.b,Concern for Others,3.8,34,11-3051.00,N,IM,Importance,0.15,Industrial Production Managers,4.4
3.61,08/2021,Incumbent,1.C.3.c,Social Orientation,3.32,33,11-3051.00,N,IM,Importance,0.14,Industrial Production Managers,3.91
4.28,08/2021,Incumbent,1.C.4.a,Self-Control,3.87,34,11-3051.00,N,IM,Importance,0.2,Industrial Production Managers,4.69
4.25,08/2021,Incumbent,1.C.4.b,Stress Tolerance,3.98,34,11-3051.00,N,IM,Importance,0.13,Industrial Production Managers,4.53
4.34,08/2021,Incumbent,1.C.4.c,Adaptability/Flexibility,4.0,33,11-3051.00,N,IM,Importance,0.17,Industrial Production Managers,4.69
4.43,08/2021,Incumbent,1.C.5.a,Dependability,4.18,34,11-3051.00,N,IM,Importance,0.12,Industrial Production Managers,4.69
4.72,08/2021,Incumbent,1.C.5.b,Attention to Detail,4.55,34,11-3051.00,N,IM,Importance,0.08,Industrial Production Managers,4.89
4.48,08/2021,Incumbent,1.C.5.c,Integrity,4.27,33,11-3051.00,N,IM,Importance,0.11,Industrial Production Managers,4.7
4.04,08/2021,Incumbent,1.C.6,Independence,3.74,33,11-3051.00,N,IM,Importance,0.15,Industrial Production Managers,4.35
3.75,08/2021,Incumbent,1.C.7.a,Innovation,3.37,33,11-3051.00,N,IM,Importance,0.19,Industrial Production Managers,4.13
4.09,08/2021,Incumbent,1.C.7.b,Analytical Thinking,3.68,33,11-3051.00,N,IM,Importance,0.2,Industrial Production Managers,4.51
3.94,08/2022,Incumbent,1.C.1.a,Achievement/Effort,3.56,17,11-3051.01,N,IM,Importance,0.18,Quality Control Systems Managers,4.33
3.92,08/2022,Incumbent,1.C.1.b,Persistence,3.47,17,11-3051.01,N,IM,Importance,0.21,Quality Control Systems Managers,4.36
4.74,08/2022,Incumbent,1.C.1.c,Initiative,4.44,17,11-3051.01,N,IM,Importance,0.14,Quality Control Systems Managers,5.0
4.63,08/2022,Incumbent,1.C.2.b,Leadership,4.27,17,11-3051.01,N,IM,Importance,0.17,Quality Control Systems Managers,4.99
4.59,08/2022,Incumbent,1.C.3.a,Cooperation,4.22,17,11-3051.01,N,IM,Importance,0.17,Quality Control Systems Managers,4.96
3.97,08/2022,Incumbent,1.C.3.b,Concern for Others,3.3,17,11-3051.01,N,IM,Importance,0.32,Quality Control Systems Managers,4.64
