2010_eeo_tabulation_census_code,2010_eeo_tabulation_census_occupation_title,2010_soc_code,opm_series_category,opm_series_number,opm_series_title
1320,AEROSPACE ENGINEERS,17-2011,AEROSPACE ENGINEERING,GS-0861,Aerospace Engineer
1760,"PHYSICAL SCIENTISTS, ALL OTHER",19-2099,GENERAL PHYSICAL SCIENCE,GS-1301,Physical Scientist
1700,ASTRONOMERS & PHYSICISTS,19-2010,HEALTH PHYSICS,GS-1306,Health Physicist
1700,ASTRONOMERS & PHYSICISTS,19-2010,PHYSICS,GS-1310,Physicist
1720,CHEMISTS & MATERIALS SCIENTISTS,19-2030,CHEMISTRY,GS-1320,Chemist
1720,CHEMISTS & MATERIALS SCIENTISTS,19-2030,METALLURGY,GS-1321,Metallurgist
1710,ATMOSPHERIC & SPACE SCIENTISTS,19-2021,METEOROLOGY,GS-1340,Meteorologist
1240,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS & STATISTICIANS",15-20,MATHEMATICS,GS-1520,Mathematician
1240,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS & STATISTICIANS",15-20,GENERAL MATHEMATICS AND STATISTICS,GS-1501,Mathematician and Statistician
1240,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS & STATISTICIANS",15-20,MATHEMATICAL STATISTICS,GS-1529,Mathematical Statistician
1005,COMPUTER & INFORMATION RESEARCH SCIENTISTS,15-1111,COMPUTER SCIENCE,GS-1550,Computer Scientist
1240,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS & STATISTICIANS",15-20,STATISTICS,GS-1530,Statistician
1220,OPERATIONS RESEARCH ANALYSTS,15-2031,OPERATIONS RESEARCH,GS-1515,Operations Research Analyst
1600,AGRICULTURAL & FOOD SCIENTISTS,19-1010,AGRONOMY,GS-0471,Agronomist
1310,"SURVEYORS, CARTOGRAPHERS, & PHOTOGRAMMETRISTS",17-1020,CARTOGRAPHY,GS-1370,Cartographer
1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS & SOCIOLOGISTS#",19-30,GEOGRAPHY,GS-0150,Geographer
1760,"PHYSICAL SCIENTISTS, ALL OTHER",19-2099,PHOTOGRAPHIC TECHNOLOGYSeries Discontinued,GS-1386,Photographic Technologist
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Expert (Engineering)
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Consultant (Engineering)
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,ENGINEERING  ARCHITECTURE STUDENT TRAINEE,GS-0899,Student Trainee (Engineering)
1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",17-3020,ENGINEERING TECHNICAL,GS-0802,Engineering Aid
1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",17-3020,ENGINEERING TECHNICAL,GS-0802,Engineering Technician (Architecture)
1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",17-3020,ENGINEERING TECHNICAL,GS-0802,Engineering Technician (Civil)
1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",17-3020,ENGINEERING TECHNICAL,GS-0802,Engineering Technician (Chemical)
1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",17-3020,ENGINEERING TECHNICAL,GS-0802,Engineering Technician (Mining)
1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",17-3020,ENGINEERING TECHNICAL,GS-0802,Engineering Technician (Electrical)
1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",17-3020,ENGINEERING TECHNICAL,GS-0802,Engineering Technician
1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",17-3020,ENGINEERING TECHNICAL,GS-0802,Engineering Technician (Materials)
1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",17-3020,ENGINEERING TECHNICAL,GS-0802,Engineering Technician (Mechanical)
1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",17-3020,ENGINEERING TECHNICAL,GS-0802,Engineering Technician (Nuclear)
1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",17-3020,ENGINEERING TECHNICAL,GS-0802,Engineering Technician (Naval Architecture)
1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",17-3020,INDUSTRIAL ENGINEERING TECHNICAL,GS-0895,Industrial Engineering Technician
1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",17-3020,ENGINEERING TECHNICAL,GS-0802,Engineering Technician (Aerospace)
1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",17-3020,INDUSTRIAL ENGINEERING TECHNICAL,GS-0895,Industrial Engineering Aid
1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",17-3020,ENGINEERING TECHNICAL,GS-0802,Engineering Technician (Petroleum)
1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",17-3020,ENGINEERING TECHNICAL,GS-0802,Engineering Technician (Drafting)
1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",17-3020,ELECTRONICS TECHNICAL,GS-0856,Electronics Technician
1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",17-3020,ELECTRONICS TECHNICAL,GS-0856,Electronics Aid
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,EQUIPMENT FACILITIES  SERVICES ASSISTANCE,GS-1603,"Equipment, Facilities, and Services Assistant"
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,EQUIPMENT FACILITIES  SERVICES ASSISTANCE,GS-1603,Facility Services Assistant
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,EQUIPMENT FACILITIES  SERVICES ASSISTANCE,GS-1603,Printing Services Assistant
1240,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS & STATISTICIANS",15-20,MATHEMATICS TECHNICIAN,GS-1521,Mathematics Technician
1240,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS & STATISTICIANS",15-20,MATHEMATICS TECHNICIAN,GS-1521,Mathematics Aid
1965,"MISCELLANEOUS LIFE, PHYSICAL, & SOCIAL SCIENCE TECHNICIANS, INCLUDING SOCIAL SCIENCE RESEARCH ASSISTANTS#",19-40,PHYSICAL SCIENCE TECHNICIAN,GS-1311,Physical Science Technician
1910,BIOLOGICAL TECHNICIANS,19-4021,BIOLOGICAL SCIENCE TECHNICIAN,GS-0404,Biological Science Aid
1910,BIOLOGICAL TECHNICIANS,19-4021,BIOLOGICAL SCIENCE TECHNICIAN,GS-0404,Biological Science Technician
3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS,29-9000,SAFETY TECHNICIAN,GS-0019,Safety Technician
565,COMPLIANCE OFFICERS,13-1041,COMPLIANCE INSPECTION  SUPPORT,GS-1802,"Compliance, Inspection, and Support Technician"
3300,CLINICAL LABORATORY TECHNOLOGISTS & TECHNICIANS,29-2010,MEDICAL TECHNICIAN,GS-0645,Medical Technician
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,GENERAL STUDENT TRAINEE,GS-0099,Student Trainee (General)
1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS & SOCIOLOGISTS#",19-30,SOCIAL SCIENCE STUDENT TRAINEE,GS-0199,Student Trainee (Social Science)
1610,BIOLOGICAL SCIENTISTS,19-1020,BIOLOGICAL SCIENCE STUDENT TRAINEE,GS-0499,Student Trainee (Biological Sciences)
1760,"PHYSICAL SCIENTISTS, ALL OTHER",19-2099,PHYSICAL SCIENCE STUDENT TRAINEE,GS-1399,Student Trainee (Physical Sciences)
1240,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS & STATISTICIANS",15-20,MATHEMATICS  STATISTICS STUDENT TRAINEE,GS-1599,Student Trainee (Mathematics and Statistics)
3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS,29-9000,MEDICAL  HEALTH STUDENT TRAINEE,GS-0699,Student Trainee (Medical and Health)
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,ENGINEERING  ARCHITECTURE STUDENT TRAINEE,GS-0899,Student Trainee (Engineering Technician)
3250,VETERINARIANS,29-1131,VETERINARY STUDENT TRAINEE,GS-0799,Student Trainee (Veterinary Medical Science)
2600,ARTISTS & RELATED WORKERS,27-1010,ILLUSTRATING,GS-1020,Illustrator
2910,PHOTOGRAPHERS,27-4021,PHOTOGRAPHY,GS-1060,Photographer
2910,PHOTOGRAPHERS,27-4021,PHOTOGRAPHY,GS-1060,Photographer (Laboratory)
2910,PHOTOGRAPHERS,27-4021,PHOTOGRAPHY,GS-1060,Photographer (Scientific and Technical)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,QUALITY ASSURANCE,GS-1910,Quality Assurance Specialist
6660,CONSTRUCTION & BUILDING INSPECTORS,47-4011,CONSTRUCTION CONTROL TECHNICAL,GS-0809,Construction Control Representative
6660,CONSTRUCTION & BUILDING INSPECTORS,47-4011,CONSTRUCTION CONTROL TECHNICAL,GS-0809,Construction Control Inspector
3740,FIREFIGHTERS,33-2011,FIRE PROTECTION  PREVENTION,GS-0081,Fire Protection Specialist
3740,FIREFIGHTERS,33-2011,FIRE PROTECTION  PREVENTION,GS-0081,Fire Protection Inspector
3740,FIREFIGHTERS,33-2011,FIRE PROTECTION  PREVENTION,GS-0081,Firefighter
3930,SECURITY GUARDS & GAMING SURVEILLANCE OFFICERS,33-9030,SECURITY GUARD,GS-0085,Security Guard
140,INDUSTRIAL PRODUCTION MANAGERS,ov-51,PRODUCTION CONTROL,GS-1152,Production Controller
140,INDUSTRIAL PRODUCTION MANAGERS,ov-51,PRODUCTION CONTROL,GS-1152,Production Controller (Aerospace)
7140,AIRCRAFT MECHANICS & SERVICE TECHNICIANS,49-3011,AIRCREW TECHNICIAN,GS-2185,Flight Engineer
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,MISCELLANEOUS CLERK  ASSISTANT,GS-0303,Clerk
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,MISCELLANEOUS CLERK  ASSISTANT,GS-0303,Administrative Support Assistant
5510,COURIERS & MESSENGERS,43-5021,MESSENGER,GS-0302,Messenger
5400,RECEPTIONISTS & INFORMATION CLERKS,43-4171,INFORMATION RECEPTIONIST,GS-0304,Information Receptionist
5850,"MAIL CLERKS & MAIL MACHINE OPERATORS, EXCEPT POSTAL SERVICE",43-9051,MAIL  FILE,GS-0305,Mail and File Clerk
5850,"MAIL CLERKS & MAIL MACHINE OPERATORS, EXCEPT POSTAL SERVICE",43-9051,MAIL  FILE,GS-0305,Mail Clerk
5850,"MAIL CLERKS & MAIL MACHINE OPERATORS, EXCEPT POSTAL SERVICE",43-9051,MAIL  FILE,GS-0305,File Clerk
5850,"MAIL CLERKS & MAIL MACHINE OPERATORS, EXCEPT POSTAL SERVICE",43-9051,MAIL  FILE,GS-0305,Mail and File Assistant
5350,CORRESPONDENCE CLERKS & ORDER CLERKS,43-4,CORRESPONDENCE CLERK,GS-0309,Correspondence Clerk
5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",43-4161,HUMAN RESOURCESASSISTANCE,GS-0203,Human Resources Assistant
5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",43-4161,HUMAN RESOURCESASSISTANCE,GS-0203,Human Resources Assistant (Information Systems)
5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",43-4161,HUMAN RESOURCESASSISTANCE,GS-0203,Human Resources Assistant (Classification)
5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",43-4161,HUMAN RESOURCESASSISTANCE,GS-0203,Human Resources Assistant (Recruitment and Placement)
5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",43-4161,HUMAN RESOURCESASSISTANCE,GS-0203,Human Resources Assistant (Employee Benefits)
5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",43-4161,HUMAN RESOURCESASSISTANCE,GS-0203,Human Resources Assistant (Human Resource Development)
5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",43-4161,HUMAN RESOURCESASSISTANCE,GS-0203,Human Resources Assistant (Performance Management)
5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",43-4161,HUMAN RESOURCESASSISTANCE,GS-0203,Human Resources Assistant (Employee Relations)
5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",43-4161,HUMAN RESOURCESASSISTANCE,GS-0203,Human Resources Assistant (Labor Relations)
2550,"OTHER EDUCATION, TRAINING & LIBRARY WORKERS",25-90,EDUCATION  TRAINING TECHNICIANS,GS-1702,Educational and Training Technician
5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",43-4161,HUMAN RESOURCESASSISTANCE,GS-0203,Human Resources Assistant (OA
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,MISCELLANEOUS CLERK  ASSISTANT,GS-0303,Resources Assistant
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,EQUAL OPPORTUNITY ASSISTANCE,GS-0361,Equal Opportunity Assistant
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,SECURITY CLERICAL  ASSISTANCE,GS-0086,Security Assistant
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,EQUIPMENT FACILITIES  SERVICES ASSISTANCE,GS-1603,Printing Services Assistant
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,LANGUAGE CLERICAL,GS-1046,Language Clerk
5910,PROOFREADERS & COPY MARKERS,43-9081,EDITORIAL ASSISTANCE,GS-1087,Editorial Assistant
5920,STATISTICAL ASSISTANTS,43-9111,STATISTICAL ASSISTANT,GS-1531,Statistical Assistant
1540,DRAFTERS,17-3010,OFFICE DRAFTINGSeries Discontinued,GS-1021,Office Draftsman
5800,COMPUTER OPERATORS,43-9011,COMPUTER CLERK  ASSISTANT,GS-0335,Computer Assistant
2400,"ARCHIVISTS, CURATORS & MUSEUM TECHNICIANS",25-4010,ARCHIVES TECHNICIAN,GS-1421,Archives Technician
3510,MEDICAL RECORDS & HEALTH INFORMATION TECHNICIANS,29-2071,MEDICAL RECORDS TECHNICIAN,GS-0675,Medical Records Technician
5030,"COMMUNICATIONS EQUIPMENT OPERATORS, ALL OTHER",43-2099,COMMUNICATIONS CLERICAL,GS-0394,Communications Clerk
5700,SECRETARIES & ADMINISTRATIVE ASSISTANTS,43-6010,SECRETARY,GS-0318,Secretary
5700,SECRETARIES & ADMINISTRATIVE ASSISTANTS,43-6010,SECRETARY,GS-0318,Secretary (Stenography)
5700,SECRETARIES & ADMINISTRATIVE ASSISTANTS,43-6010,SECRETARY,GS-0318,Secretary (Typing)
5700,SECRETARIES & ADMINISTRATIVE ASSISTANTS,43-6010,SECRETARY,GS-0318,Secretary (Stenography/Office Automation)
5700,SECRETARIES & ADMINISTRATIVE ASSISTANTS,43-6010,SECRETARY,GS-0318,Secretary (Office Automation)
5000,FIRST-LINE SUPERVISORS OF OFFICE & ADMINISTRATIVE SUPPORT WORKERS,43-1011,WORK UNIT SUPERVISING,GS-0313,Work Unit Supervisor
5820,WORD PROCESSORS & TYPISTS,43-9022,CLERKTYPIST,GS-0322,Clerk-Typist
2160,MISCELLANEOUS LEGAL SUPPORT WORKERS,23-2090,CLOSED MICROPHONE REPORTER,GS-0319,Closed Microphone Reporter
5820,WORD PROCESSORS & TYPISTS,43-9022,OFFICE AUTOMATION CLERICAL  ASSISTANCE,GS-0326,Office Automation Clerk
5820,WORD PROCESSORS & TYPISTS,43-9022,OFFICE AUTOMATION CLERICAL  ASSISTANCE,GS-0326,Office Automation Assistant
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,MISCELLANEOUS CLERK  ASSISTANT,GS-0303,Management Support Clerk
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,MISCELLANEOUS CLERK  ASSISTANT,GS-0303,Management Support Assistant
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,MISCELLANEOUS CLERK  ASSISTANT,GS-0303,Executive Support Assistant
5900,"OFFICE MACHINE OPERATORS, EXCEPT COMPUTERS",43-9071,EQUIPMENT OPERATOR,GS-0350,Equipment Operator
5800,COMPUTER OPERATORS,43-9011,COMPUTER OPERATION,GS-0332,Computer Operator
5810,DATA ENTRY KEYERS,43-9021,DATA TRANSCRIBER,GS-0356,Data Transcriber
0630,HUMAN RESOURCES WORKERS,13-1070,HUMAN RESOURCES MANAGEMENT STUDENT TRAINEE,GS-0299,Student Trainee
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,ADMINISTRATION  OFFICE SUPPORT STUDENT TRAINEE,GS-0399,Student Trainee (Administrative)
0950,"FINANCIAL SPECIALISTS, ALL OTHER",13-2099,FINANCIAL MANAGEMENT STUDENT TRAINEE,GS-0599,Student Trainee (Accounting and Budget)
2160,MISCELLANEOUS LEGAL SUPPORT WORKERS,23-2090,LEGAL OCCUPATIONS STUDENT TRAINEE,GS-0999,Student Trainee (Legal)
2600,ARTISTS & RELATED WORKERS,27-1010,INFORMATION  ARTS STUDENT TRAINEE,GS-1099,Student Trainee (Information and Arts)
2600,ARTISTS & RELATED WORKERS,27-1010,INFORMATION  ARTS STUDENT TRAINEE,GS-1099,Student Trainee (Public Affairs)
2600,ARTISTS & RELATED WORKERS,27-1010,INFORMATION  ARTS STUDENT TRAINEE,GS-1099,Student Trainee (Writing and Editing)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,BUSINESS  INDUSTRY STUDENT TRAINEE,GS-1199,Student Trainee (Business and Industry)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,BUSINESS  INDUSTRY STUDENT TRAINEE,GS-1199,Student Trainee (Procurement)
2160,MISCELLANEOUS LEGAL SUPPORT WORKERS,23-2090,COPYRIGHT  PATENT STUDENT TRAINEE,GS-1299,Student Trainee (Copyright and Patent)
2550,"OTHER EDUCATION, TRAINING & LIBRARY WORKERS",25-90,LIBRARY  ARCHIVES STUDENT TRAINEE,GS-1499,Student Trainee (Library and Archives)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,EQUIPMENT FACILITIES  SERVICES STUDENT TRAINEE,GS-1699,"Student Trainee (Equipment, Facilities, and Services)"
2340,OTHER TEACHERS & INSTRUCTORS,25-3000,EDUCATION STUDENT TRAINEE,GS-1799,Student Trainee (Education)
565,COMPLIANCE OFFICERS,13-1041,INVESTIGATION STUDENT TRAINEE,GS-1899,Student Trainee (Investigation)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,SUPPLY STUDENT TRAINEE,GS-2099,Student Trainee (Supply)
9420,"MISCELLANEOUS TRANSPORTATION WORKERS, INCLUDING BRIDGE & LOCK TENDERS & TRAFFIC TECHNICIANS",53-60,TRANSPORTATION STUDENT TRAINEE,GS-2199,Student Trainee (Transportation)
1050,COMPUTER SUPPORT SPECIALISTS#,15-1150,INFORMATION TECHNOLOGY TRAINEE,GS-2299,Student Trainee (Information Technology)
8740,"INSPECTORS, TESTERS, SORTERS, SAMPLERS, & WEIGHERS",51-9061,QUALITY INSPECTION STUDENT TRAINEE,GS-1999,Student Trainee (Quality Assurance)
0630,HUMAN RESOURCES WORKERS,13-1070,HUMAN RESOURCES MANAGEMENT STUDENT TRAINEE,GS-0299,Student Trainee (Equal Employment Opportunity)
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,ADMINISTRATION  OFFICE SUPPORT STUDENT TRAINEE,GS-0399,Student Trainee (Office Support)
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,MANAGEMENT  PROGRAM CLERICAL  ASSISTANCE,GS-0344,Management Assistant
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,MANAGEMENT  PROGRAM CLERICAL  ASSISTANCE,GS-0344,Program Assistant
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,MANAGEMENT  PROGRAM CLERICAL  ASSISTANCE,GS-0344,Management and Program Assistant
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,MANAGEMENT  PROGRAM CLERICAL  ASSISTANCE,GS-0344,Management and Program Assistant (OA)
5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS",43-3031,FINANCIAL CLERICAL  TECHNICIAN,GS-0503,Financial Technician
5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS",43-3031,FINANCIAL CLERICAL  TECHNICIAN,GS-0503,Financial Clerk
5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS",43-3031,BUDGET CLERICAL  ASSISTANCE,GS-0561,Budget Technician
5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS",43-3031,BUDGET CLERICAL  ASSISTANCE,GS-0561,Budget Clerk
5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS",43-3031,ACCOUNTING TECHNICIAN,GS-0525,Accounts Maintenance Clerk
5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS",43-3031,ACCOUNTING TECHNICIAN,GS-0525,Accounting Technician
4720,CASHIERS,41-2010,CASH PROCESSING,GS-0530,Cashier
5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS",43-3031,VOUCHER EXAMINING,GS-0540,Voucher Examiner
5140,PAYROLL & TIMEKEEPING CLERKS,43-3051,CIVILIAN PAY,GS-0544,Civilian Pay Technician
0530,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, & FARM PRODUCTS",13-1023,PURCHASING,GS-1105,Purchasing Agent (OA)
5150,PROCUREMENT CLERKS,43-3061,PROCUREMENT CLERICAL  TECHNICIAN,GS-1106,Procurement Technician
5150,PROCUREMENT CLERKS,43-3061,PROCUREMENT CLERICAL  TECHNICIAN,GS-1106,Procurement Clerk
5150,PROCUREMENT CLERKS,43-3061,SUPPLY CLERICAL  TECHNICIAN,GS-2005,Supply Technician
5150,PROCUREMENT CLERKS,43-3061,SUPPLY CLERICAL  TECHNICIAN,GS-2005,Supply Clerk
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,PROPERTY DISPOSAL CLERICAL  TECHNICIAN,GS-1107,Property Disposal Technician
5500,CARGO & FREIGHT AGENTS,43-5011,FREIGHT RATE,GS-2131,Freight Rate Specialist
5500,CARGO & FREIGHT AGENTS,43-5011,CARGO SCHEDULING,GS-2144,Cargo Scheduler
5520,DISPATCHERS,43-5030,DISPATCHING,GS-2151,Automotive Equipment Dispatcher
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,TRANSPORTATION CLERK  ASSISTANT,GS-2102,Transportation Assistant
2160,MISCELLANEOUS LEGAL SUPPORT WORKERS,23-2090,LEGAL ASSISTANCE,GS-0986,Legal Assistant
2160,MISCELLANEOUS LEGAL SUPPORT WORKERS,23-2090,PATENT TECHNICIAN,GS-1202,Patent Technician
2160,MISCELLANEOUS LEGAL SUPPORT WORKERS,23-2090,LEGAL ASSISTANCE,GS-0986,Legal Assistant (OA)
